資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
經濟統計區圖資,5970,1.提供經濟地理統計區圖資，以「統計區分類標準」為依據，配合工商登記與校正調查資料，規劃經濟統計區，包括經濟一級發布區、經濟二級發布區、經濟三級發布區圖資。2.提供全台22個縣市經濟統計圖資。,TOWN_ID;TOWN_NA;COUN_ID;COUN_NA;CODE3;CODE2;CODE1,經濟部
貨品基本資料 (統計參考用),5971,提供2~11碼出進口貨品號列及其中英文貨名(含已截止歷史資料)。,貨品號列;實施日期;截止日期;中文貨名;英文貨名,經濟部國際貿易局
年度中小企業重要統計表,5972,年度中小企業家數、銷售值、出口值及就業人數統計資料,年度;檔案名稱;下載連結,經濟部中小企業處
國家磐石獎,5973,歷屆獲選國家磐石獎企業,屆別;公司名稱;網址;地址;電話,經濟部中小企業處
創新研究獎,5974,歷屆獲選創新研究獎企業名單,屆別;公司名稱(中文);公司名稱(英文);得獎標的(中文),經濟部中小企業處
小巨人獎,5975,歷屆獲選小巨人獎企業名單,屆別;公司名稱;電話;地址,經濟部中小企業處
臺灣活動斷層分布圖(五十萬分之一紙圖版更新數值檔),5976,為最新全台活動斷層分布圖，可直接套繪Google Earth軟體。,資料內容為各活動斷層位置分布線型及各活動斷層名稱，座標投影為WGS84，資料格式為經緯度,經濟部中央地質調查所
楠梓、高雄軟體園區就業資訊,5977,提供楠梓、高雄軟體園區之就業資訊,統一編號;求才廠商;工作內容;待遇性質;教育程度;人數;工作區域,經濟部加工出口區管理處
ISO認可登錄廠商查詢,5978,提供經濟部標準檢驗局認可ISO登錄廠商資料,廠商代號;廠商名稱;廠址;電話;傳真;登錄日期;登錄範圍;證書有效期限;版本,經濟部標準檢驗局
各類貨品檢驗合格名單,5979,提供經濟部標準檢驗局各類貨品檢驗書面審查、抽批檢驗合格名單,年月;貨品類別;廠商名稱;貨品名稱;批數;貨品號列;自印標識號碼;標示總類1;標示總類2;標示號碼起;標示號碼迄;統一編號,經濟部標準檢驗局
台灣區土石生產量值表,5980,本資料集按月更錄國內砂石碎解洗選場自產砂、碎石、級配或其他使用形式之各類砂石製品單價、產量、及產值等單月（含累計）統計數據，提供社會大眾參考並作為產官學界研析之基礎資訊。,項目;本月單價;本月產量;本月產值,經濟部礦務局
水利防災資訊,5981,"水利署整合了氣象、雨量、警戒、災情、崩塌、監控、淹水潛勢、土石流和水文水資源等資訊，提供KML下載，使用者可於「Google Earth」呈現了解即時的狀況。 本資料集係連結到KML(Keyhole Markup Language)檔案清冊，該格式是基於XML（eXtensible Markup Language,可擴展標記語言）語法標準的一種標記語言（markup language），採用標記結構，含有嵌套的元素和屬性。由Google旗下的Keyhole公司發展並維護，用來表達地理標記。根據KML語言編寫的文件則為KML文件，格式同樣採用的XML文件格式，應用於Google地球相關軟體中（Google Earth，Google Map, Google Maps for mobile...），用於顯示地理數據（包括點、線、面、多邊形，多面體以及模型...）。而現在很多GIS相關系統也追隨Google開始採用此種格式進行地理數據的交換，本資料之KML採欄位，編碼皆為UTF-8。",NAME,經濟部水利署
防災資訊_淹水警戒,5982,"經濟部水利署災害緊急應變小組，運用長期防災應變等相關經驗，進一步結合雨量、水位、水庫等即時資料，透過電腦科技的運算，提供民眾與相關單位即時淹水警戒。讓民眾了解居家淹水風險，及早準備，降低災害的發生。 本資料集係連結到KML(Keyhole Markup Language)檔案清冊，該格式是基於XML（eXtensible Markup Language,可擴展標記語言）語法標準的一種標記語言（markup language），採用標記結構，含有嵌套的元素和屬性。由Google旗下的Keyhole公司發展並維護，用來表達地理標記。根據KML語言編寫的文件則為KML文件，格式同樣採用的XML文件格式，應用於Google地球相關軟體中（Google Earth，Google Map, Google Maps for mobile...），用於顯示地理數據（包括點、線、面、多邊形，多面體以及模型...）。而現在很多GIS相關系統也追隨Google開始採用此種格式進行地理數據的交換，本資料之KML採欄位，編碼皆為UTF-8。",NAME,經濟部水利署
