(年)檔案數量統計表,['45626']
106-井下應變儀資料處理暨地殼變形分析(1-4),['77881']
106-活動斷層帶大地測量-測量成果報告,"['77882', '77883', '77884']"
107-GNSS測量總報告,['112056']
107-活動斷層近地表構造特性調查總報告,['112059']
107-精密水準測量總報告,['112057']
1百萬分之1臺灣區域地質圖數值檔-臺灣,['6694']
1秒搞懂政府網站創意競賽得獎名單,['41463']
1至97章中國大陸物品開放及不開放情形統計,['41508']
2015-2017資訊服務產業專業人才需求調查,['16404']
2015IPO得獎名單,['32488']
2016鐙烜獎獲獎名單,['32613']
2017智慧機械產學合作人才培育執行成果文宣,['86545']
2017鐙烜獎得獎名單,['45317']
2十5萬分之1臺灣區域地質圖數值檔-臺灣,['6695']
30分鐘快速上手集水區地形及地質資料庫應用服務,['45253']
3大科學園區公司資料集,['29277']
5萬分之1地質圖幅索引圖,['8293']
APEC小辭典,['41505']
APICTA Awards歷年競賽我國得獎名單,['29786']
AU 類自動化技術服務機構登錄合格名單,['32451']
CITES許可文件資料,['41510']
DS Forum參展廠商名單,['22220']
ECFA早收清單業管機關聯絡窗口,['22246']
FINDIT平台-新創企業補給站-中央各部會,['95996']
FINDIT平台-研究專區,['95995']
GEM報告,['16378']
HACCP外銷食品加工廠認可登錄廠商資料集,['30177']
ISO認可登錄廠商查詢,['5978']
LED產業專業人才需求調求,['22240']
List of Antidumping Investigation Cases,['45619']
List of Antidumping Review Cases,['45620']
List of Safeguard Investigation Cases,['45621']
Mobileheroes 通訊大賽歷屆得獎作品團隊,['22326']
OTOP城鄉特色網店家列表,['45359']
"Open Data of What's New of International trade Commission, the Ministry of Economic Affairs",['45622']
Open Data創新應用競賽歷年得獎名單,['41462']
Open Data跨國黑客松歷年得獎名單,['59633']
Program participants share their experiences,['77851']
SBTR績優廠商,['128508']
WTO小詞典,['22660']
「A+企業創新研發淬鍊計畫」-「前瞻技術研發計畫」補助計畫清單,['45602']
「A+企業創新研發淬鍊計畫」-「整合型研發計畫」補助計畫清單,['45603']
「A+企業創新研發淬鍊計畫」-「鼓勵國內企業在台設立研發中心」補助計畫清單,['110295']
「國際技術合作計畫」研習統計,['8856']
