1級監控橋梁,一級監控橋梁,16195,主要內容為一級監控橋梁相關圖資,資料名稱;資料網址,交通部公路總局
1級監控路段,一級監控路段,16193,主要內容為一級監控路段相關圖資,資料名稱;資料網址,交通部公路總局
1週農業氣象預報,一週農業氣象預報,9185,未來一週農業氣象預報，包含:未來天氣概況、各地天氣預報及農事建議,locationName;weatherElements,交通部中央氣象局
24小時雨量預測-颱風期間各地區24小時雨量預測,24小時雨量預測-颱風期間各地區24小時雨量預測,41439,颱風期間各地區24小時雨量預測(陸上颱風警報發佈期間),resourceDesc;mimeType;uri,交通部中央氣象局
2級監控路段,二級監控路段,16194,主要內容為二級監控路段相關圖資,資料名稱;資料網址,交通部公路總局
3+2碼郵遞區號,3+2碼郵遞區號,5948,本資料集主要提供3+2郵遞區號資料,Zip5;City;Area;Road;Scope,中華郵政股份有限公司
30天觀測資料-本局屬地面測站觀測資料,30天觀測資料-本局屬地面測站觀測資料,9206,本局所屬地面測站最近30天觀測資料,station;stationObsTimes;stationObsStatistics,交通部中央氣象局
3碼郵遞區號與行政區中心點經緯度對照表,3碼郵遞區號與行政區中心點經緯度對照表,25489,本資料集主要提供3碼郵遞區號與行政區中心點經緯度對照表,行政區名;_x0033_碼郵遞區號;中心點經度;中心點緯度;TGOS_URL,中華郵政股份有限公司
3碼郵遞區號與行政區地理座標對照KML,3碼郵遞區號與行政區地理座標對照KML,37759,中華郵政公司郵務業務資料,TOWNID;TOWNCODE;COUNTYNAME;TOWNNAME;TOWNENG;COUNTYID;COUNTYCODE;ZIPCODE;CENTERLONGITUDE;CENTERLATITUDE,中華郵政股份有限公司
CCTV 動態資訊(cctv_value..gz),CCTV 動態資訊(cctv_value.xml.gz),37666,CCTV 動態資訊,資料集名稱;網址,交通部高速公路局
CCTV 靜態資訊(cctv_info..gz),CCTV 靜態資訊(cctv_info.xml.gz),37665,CCTV 靜態資訊,資料集名稱;網址,交通部高速公路局
CMS 動態資訊(cms_value..gz),CMS 動態資訊(cms_value.xml.gz),37668,CMS 動態資訊,資料集名稱;網址,交通部高速公路局
CMS 靜態資訊(cms_info..gz),CMS 靜態資訊(cms_info.xml.gz),37667,CMS 靜態資訊,資料集名稱;網址,交通部高速公路局
ETC計程年度運作狀況表,ETC計程年度運作狀況表,45760,ETC年度運作狀況資料,ETC運作統計;1月;2月;3月;4月;5月;6月;7月;8月;9月;10月;11月;12月,交通部高速公路局
QPESUMS-對流胞即時監測透明圖層,QPESUMS-對流胞即時監測透明圖層,74956,QPESUMS系統所產出資料-雷達資料分析之對流胞即時監測圖,datasetDescription;parameterName;resourceDesc,交通部中央氣象局
QPESUMS-未來1小時定量降雨預報格點資料,QPESUMS-未來1小時定量降雨預報格點資料,42619,未來1小時定量降雨預報格點資料,datasetDescription;parameterName,交通部中央氣象局
QPESUMS-過去1小時定量降雨估計格點資料,QPESUMS-過去1小時定量降雨估計格點資料,42623,QPESUMS系統所產出資料-過去1小時雷達降水估計格點資料,datasetDescription;parameterName,交通部中央氣象局
VD 1分鐘動態資訊(vd_value..gz),VD 一分鐘動態資訊(vd_value.xml.gz),37662,VD 一分鐘動態資訊,資料集名稱;網址,交通部高速公路局
VD 5分鐘動態資訊(vd_value5..gz),VD 五分鐘動態資訊(vd_value5.xml.gz),37663,VD 五分鐘動態資訊,資料集名稱;網址,交通部高速公路局
VD 靜態資訊(vd_info..gz),VD 靜態資訊(vd_info.xml.gz),37661,VD 靜態資訊,資料集名稱;網址,交通部高速公路局
eTag EPC ID 編碼原則,eTag EPC ID 編碼原則,9453,eTag EPC ID 編碼原則,車種代碼;車種,交通部高速公路局
i郵箱據點,i郵箱據點,52779,本資料集主要提供i郵箱據點資料,名稱;郵遞區號;地址;相對位置;營業時間;座標x;座標y;儲格數;櫃型;付費方式,中華郵政股份有限公司
「中山高速公路員林-高雄段拓寬工程計畫環境影響差異分析報告(國道1號增設銅鑼交流道工程)環境監測報告書,「中山高速公路員林-高雄段拓寬工程計畫環境影響差異分析報告(國道1號增設銅鑼交流道工程)環境監測報告書,129933,「中山高速公路員林-高雄段拓寬工程計畫環境影響差異分析報告(國道1號增設銅鑼交流道工程)委託環境監測報告書,工程名稱;環境監測報告,交通部高速公路局
「國3新台5及南港交流道改善工程」環境監測報告,「國3新台五及南港交流道改善工程」環境監測報告,129936,「國3新台五及南港交流道改善工程」環境監測報告,工程名稱;環境監測報告,交通部高速公路局
「客運碼頭之船港間岸接設施規劃」研究報告,「客運碼頭之船港間岸接設施規劃」研究報告,57184,「客運碼頭之船港間岸接設施規劃」研究報告,圖目錄;表目錄;摘要;緒論;文獻回顧;我國海運客運環境現況調查;岸接設施調查及分析;改善方案問卷調查及分析;各類型碼頭適用之岸接設施;建議改善方案;結論與建議;參考文獻,交通部航港局
「改道路線」標誌標準化,「改道路線」標誌標準化,106440,提供「改道路線」標誌之標準化型式,檔案網址,交通部高速公路局
「遊艇碼頭設施規劃及設計參考手冊」研究報告,「遊艇碼頭設施規劃及設計參考手冊」研究報告,57175,「遊艇碼頭設施規劃及設計參考手冊」研究報告,前置研究;前言;遊艇種類及遊艇碼頭定義;規劃及設計參考手冊;通則;遊艇碼頭選址;規劃設計條件;總平面布置規劃;港灣構造物;陸上服務設施;碼頭配套設施,交通部航港局
