1級監控橋梁,['16195']
1級監控路段,['16193']
1週農業氣象預報,['9185']
24小時雨量預測-颱風期間各地區24小時雨量預測,['41439']
2級監控路段,['16194']
3+2碼郵遞區號,['5948']
30天觀測資料-本局屬地面測站觀測資料,['9206']
3碼郵遞區號與行政區中心點經緯度對照表,['25489']
3碼郵遞區號與行政區地理座標對照KML,['37759']
CCTV 動態資訊(cctv_value..gz),['37666']
CCTV 靜態資訊(cctv_info..gz),['37665']
CMS 動態資訊(cms_value..gz),['37668']
CMS 靜態資訊(cms_info..gz),['37667']
ETC計程年度運作狀況表,['45760']
QPESUMS-對流胞即時監測透明圖層,['74956']
QPESUMS-未來1小時定量降雨預報格點資料,['42619']
QPESUMS-過去1小時定量降雨估計格點資料,['42623']
VD 1分鐘動態資訊(vd_value..gz),['37662']
VD 5分鐘動態資訊(vd_value5..gz),['37663']
VD 靜態資訊(vd_info..gz),['37661']
eTag EPC ID 編碼原則,['9453']
i郵箱據點,['52779']
「中山高速公路員林-高雄段拓寬工程計畫環境影響差異分析報告(國道1號增設銅鑼交流道工程)環境監測報告書,['129933']
「國3新台5及南港交流道改善工程」環境監測報告,['129936']
「客運碼頭之船港間岸接設施規劃」研究報告,['57184']
「改道路線」標誌標準化,['106440']
「遊艇碼頭設施規劃及設計參考手冊」研究報告,['57175']
一般公路汽車客運概況,['30394']
一般天氣預報-1週縣市天氣預報,"['9219', '15791']"
一般天氣預報-7天天氣預報,"['9218', '15792']"
一般天氣預報-今明36小時天氣預報,"['6069', '15790']"
一般天氣預報-全球都市天氣預報,"['9220', '15793']"
一般天氣預報-天氣小幫手,"['9221', '9222', '9223', '9224', '9225', '9226', '9228', '9229', '9230', '9231', '9232', '9233', '9234', '9235', '9236', '9237', '9238', '9239', '9240', '9241', '9242', '9243']"
不按址投遞區域,['7966']
中央氣象局代管用戶設備業務暨產品之費用公告,['10454']
中央氣象局促請廣電媒體於假日加強播報漁業氣象報告函,['10253']
中央氣象局公務出國報告,['10235']
中央氣象局前瞻計畫特別決算,['99210']
中央氣象局及附屬氣象測報機構提供場地拍攝影片收費一覽表,['10539']
