「愛臺十2建設-綠色造林」植栽統計,「愛臺十二建設-綠色造林」植栽統計,7029,僑務委員會為鼓勵僑胞參與綠色造林，配合節能減碳及國土保育政策，於98年訂定「僑務委員會推動海外僑胞響應愛台12建設-綠色造林實施計畫」，鼓勵海外僑界因地制宜自行募款贊助國內綠色造林計畫，總計贊助國內20個地區植栽計畫。本資料集不再更新。,計畫名稱;區域說明;植栽面積平方公尺;喬木;灌木,僑務委員會
「政策諮詢(眾開講)」議題,僑務委員會「政策諮詢(眾開講)」議題,46772,為營造開放政府，傾聽民眾的心聲，行政院自104年2月建置「公共政策網路參與平臺」，提供各機關規劃中之政策，放置網路開放討論。,發布日期;截止日期;議題;民眾留言則數,僑務委員會
「海外僑胞百校植樹愛臺灣計畫」植栽統計,「海外僑胞百校植樹愛臺灣計畫」植栽統計,7030,僑務委員會為鼓勵僑胞參與綠色造林，配合節能減碳及國土保育政策， 99年9月起僑委會續推動「海外僑胞百校植樹愛台灣」計畫，已完成媒合101個中小學校園植栽計畫。本資料集不再更新。,提案單位;需求學校;植哉面積平方公尺;喬木;灌木,僑務委員會
世界暨洲際臺灣商會聯合總會會議概況,世界暨洲際臺灣商會聯合總會會議概況,7031,為整合在海外各地成立之臺灣商會，期凝聚臺商整體力量配合政府政策，促進全球各地經貿交流與投資合作，本會積極輔導世界性及6個洲際性臺灣商會聯合總會舉辦理監事聯席會議、年會及會員代表大會活動。,商會名稱;活動內容;舉辦地點;舉辦時間;參加人次,僑務委員會
世界暨洲際臺灣商會聯合總會會議活動統計資料,世界暨洲際臺灣商會聯合總會會議活動統計資料,9745,為整合在海外各地成立之臺灣商會，期凝聚臺商整體力量配合政府政策，促進全球各地經貿交流與投資合作，本會積極輔導世界性及6個洲際性臺灣商會聯合總會舉辦各式活動。,年度;地區別;年會場次;理監事場次;參加會議人次,僑務委員會
世界臺灣商會聯合總會及各分會分布情形,世界臺灣商會聯合總會及各分會分布情形,7028,一、1981年代以後，隨著我國產業發展，赴海外投資者日益增多，海外臺商逐步結合，經政府輔導於各地成立臺商組織。1994年由本會與經濟部共同輔導成立「世界臺灣商會聯合總會」，轄下設有6個洲際臺灣商會聯合總會，以及各地區商會。本會為扶植海外臺灣商會之發展，在會務運作及活動經費等方面給予協助。 二、本資料集主要內容包括各洲、各國及臺灣商會名稱等資料，並以加入「世界臺灣商會聯合總會」之各地區商會會員為限。,洲別;國家;商會名稱,僑務委員會
世界臺灣商會聯合總會所屬商會個數,世界臺灣商會聯合總會所屬商會個數─按地區別分,68585,僑務委員會為輔導海外臺灣商會之發展，在會務運作及活動等方面均有給予協助，各地臺灣商會大多加入世界臺灣商會聯合總會體系。本資料集內容包括世界臺灣商會聯合總會所屬洲際商會與地區商會數及所占百分比、總會及洲際商會網址資料。,地區別;洲際商會;地區商會;占比;網址,僑務委員會
中華函授學校學生入學人數-性別及年齡別,中華函授學校學生入學人數─性別及年齡別,56022,本資料主要是93-105年中華函授學校學生入學人數－性別及年齡別，中華函授學校自105年起停止招生，爰不再更新資料。,學年度;男;女;未滿15歲;15~19歲;20~24歲;25~29歲;30~34歲;35~39歲;40~44歲;45~49歲;50~54歲;55~59歲;60~64歲;65~69歲;滿70歲以上;年齡未詳;人數合計,僑務委員會
人力性別統計分析,僑務委員會人力性別統計分析,13262,僑務委員會人員組成等之性別統計。,人數;年度;合計;男;女,僑務委員會
人民申請提供政府資訊案件統計,僑務委員會人民申請提供政府資訊案件統計,13092,有關人民向本會請求提供本會資訊（含本會檔案），而依檔案法或政府資訊公開法受理之案件,年度;月份;本月已辦結之人民申請提供政府資訊案件總數-D=A+B+C;本月已辦結之人民申請提供政府資訊案件-機關檔案應用類D1;本月已辦結之人民申請提供政府資訊案件-其他政府資訊類D2;人民申請提供政府資訊案件申請內容全部核准案件數小計A;人民申請提供政府資訊案件申請內容全部核准案件數-機關檔案應用類A1;人民申請提供政府資訊案件申請內容全部核准案件數-其他政府資訊類A2;人民申請提供政府資訊案件申請內容部分核准案件數小計B;人民申請提供政府資訊案件申請內容部分核准案件數-機關檔案應用類B1;人民申請提供政府資訊案件申請內容部分核准案件數-其他政府資訊類B2;人民申請提供政府資訊案件申請內容全部駁回案件數小計C;人民申請提供政府資訊案件申請內容全部駁回案件數-機關檔案應用類C1;人民申請提供政府資訊案件申請內容全部駁回案件數-其他政府資訊類C2;人民申請提供政府資訊案件目的-權益保障;人民申請提供政府資訊案件目的-事證稽憑;人民申請提供政府資訊案件目的-業務參考;人民申請提供政府資訊案件目的-學術研究;人民申請提供政府資訊案件目的-歷史考證;人民申請提供政府資訊案件目的-其他,僑務委員會
人民陳情案件統計,僑務委員會人民陳情案件統計,7200,為確實檢視與增進人民陳情案件處理時效，本會每月定期檢討案件處理情形，期以更快速、兼具效率與品質方式回應僑胞之需求；本資料集主要內容包括歷年本會人民陳情案件總收件數資料。,年度;1月;2月;3月;4月;5月;6月;7月;8月;9月;10月;11月;12月,僑務委員會
休士頓文教中心辦理「臺灣文化導覽-Splendor of Taiwan」活動情形表,休士頓文教中心辦理「臺灣文化導覽─Splendor of Taiwan」活動情形表,56025,97年至108年休士頓中心辦理「臺灣文化導覽─Splendor of Taiwan」活動場次及參訪人數,,僑務委員會
供應全球僑校教材冊數統計表,供應全球僑校教材冊數統計表,56020,本資料集為供應全球僑校教材冊數統計數據。,年度;亞洲;北美洲;中南美洲;歐洲;非洲;大洋洲,僑務委員會
僑務電子報歷年新聞上傳則數統計,僑務電子報歷年新聞上傳則數統計,80151,本資料集係「僑務電子報」自106年5月20日啟用後，上傳之國內重點報導、海外僑社、國際兩岸、新南向政策及英文新聞等年度新聞則數。,年度;聚焦臺灣;僑社新聞;國際兩岸;新南向快訊;英文新聞,僑務委員會
僑務電子報訂戶統計,僑務電子報訂戶統計,7199,本資料集係100年3月推出「宏觀周報電子報」，經106年5月20日改版為「僑務電子報」後，至106年12月31日訂閱服務結束止，累積之年度總訂戶數。本資料集已不再更新。,年份;電子報訂戶(人),僑務委員會
僑民對921大地震之反應及捐款情形,僑民對九二一大地震之反應及捐款情形,6295,民國88年臺灣發生50年來災情最為慘重的921大地震，震驚海內外各地，華僑雖身處異鄉，但發揮血濃於水的情感，出錢出力，全力投入救災及災後復健行列；本資料集內容包括5大洲60個國家地區對921大地震的慰問及捐款。,地區別;僑團來的慰問電(函)數;僑領來的慰問電(函)數;捐款筆數;捐款折合新台幣(千元);捐款折合美金(元),僑務委員會
僑民熱心公益自動捐獻金額,僑民熱心公益自動捐獻金額,7022,僑民每年熱心公益自動捐獻金額，主要用途包括勞軍、救災及其它指定用途或不指定用途之一般捐款。,年別;勞軍_千美元;救災_千美元;一般捐款_千美元,僑務委員會
僑生就讀大專院校男、女僑生人數及所占比例,僑生就讀大專院校男、女僑生人數及所占比例,52278,僑生就讀之大專校院遍及全臺各地，本資料集內容包含歷學年度在學之男、女僑生人數及所占比例。,學年度;總在學人數;男生;男生比例;女生;女生比例,僑務委員會
僑生春節祭祖暨師生聯歡餐會辦理情形,僑生春節祭祖暨師生聯歡餐會辦理情形,52279,本資料集內容包含歷年辦理學校數及總參與人數。,年度;辦理學校數;參與總人數,僑務委員會
僑生申請自行來臺就學人數統計表,僑生申請自行來臺就學人數統計表,48209,自行來臺入學為僑生升學管道之一，辦理方式為櫃檯申辦，本資料集內容包含歷年申請學生人數。,年度;國小;國中;高中;高職;五專,僑務委員會
僑界急難救助協會,僑界急難救助協會,68269,旅居海外僑民發揮僑界血濃於水的關懷及善意，建立一個全球性的僑界急難救助網絡，協助駐外館處推動旅外國人急難救助工作。本資料集內容包括全球各地區僑界急難救助協會之所在地、團體名稱、團體聯絡資訊。,地區;協會名稱;聯絡電話;電子郵件／LINE帳號,僑務委員會
僑臺商組織幹部培訓班參加人數,僑臺商組織幹部培訓班參加人數─按班別及僑居地別分,48190,本資料集主要內容包括歷年僑臺商組織幹部返臺參加培訓之人數。,年度;班別;亞洲;美洲;歐洲;大洋洲;非洲;活動內容,僑務委員會
公益勸募受理捐贈辦理情形,公益勸募受理捐贈辦理情形,13091,依「公益勸募條例」第5條及第6條規定，政府機關接受主動捐贈，應於年度終了後兩個月，將辦理情形函報上級機關備查；復依「公益勸募條例施行細則」第5條及第6條規定，政府機關辦理公開徵信時，應至少每六個月將捐贈人之基本資料及辦理情形刊登於所屬網站或發行之刊物。,捐贈者;捐贈金額(單位：新臺幣元)/捐贈物資;捐贈年月;捐贈用途;收據編號;辦理情形,僑務委員會
函授教育入學及結業學生人數,函授教育入學及結業學生人數,6293,為推展海外華文教育，增加僑胞終身學習機會，本會函校前開設有華文教師、文史藝術、華語文應用、農工、商業及管理、家庭與兒童、餐飲、電腦資訊及中小學進修等9門學科、79種函授教育課程，本資料集主要內容包括各洲函授學校學生入學及結業人數；另函校105年起停止招生，爰不再更新資料。,學年度;類別;亞洲;美洲;歐洲;大洋洲;非洲,僑務委員會
北美地區海外民俗文化種子教師培訓班培訓人數,北美地區海外民俗文化種子教師培訓班培訓人數,6481,本資料集內容包括98至105年北美地區海外民俗文化種子教師培訓班各地區培訓人數。該項業務業於105年結束；未來資料不再更新。,年度;華府;波士頓;紐約;休士頓;邁阿密;芝加哥;亞特蘭大;西雅圖;舊金山;洛杉磯;多倫多;溫哥華,僑務委員會
北美地區臺語教師研習會培訓人數,北美地區臺語教師研習會培訓人數,9746,本資料集主要內容包括95至107年北美地區參加海外臺語教師研習會之人數。,年度;人數,僑務委員會
北美地區青年志工培訓人數」,北美地區青年志工培訓人數」,9740,本會辦理海外青年志工培訓活動，厚植僑社永續發展根基。本資料集主要內容包括近年北美地區青年志工培訓人數之統計資料。,年度;培訓梯次;培訓日期;完成培訓人數,僑務委員會
十月慶典回國僑胞報到人數,十月慶典回國僑胞報到人數,6292,每年10月，海外各地僑社均舉行多采多姿的慶祝活動，各地僑團並分別組團回國參加十月慶典；本資料集主要內容包括近年各洲十月慶典僑胞報到人數及性別統計。,年別;亞洲;美洲;歐洲;大洋洲;非洲;其他;男;女,僑務委員會
印尼僑生來臺升學輔導訓練班錄取分發大學校院人數,印尼僑生來臺升學輔導訓練班錄取分發大學校院人數,46786,本資料集內容包含歷年印尼僑生錄取分發大學校院人數。,學年度;類組;公立學校;私立學校;師大僑先部,僑務委員會
受理捐贈僑生獎助學金核發情形,受理捐贈僑生獎助學金核發情形-按年別分,9741,本會受理僑團、愛國僑胞及社會人士捐贈獎助學金，以作育優秀之在學僑生，計有90多項基金，每年核發獎助學金金額從新臺幣5千元至14萬餘元不等；本資料集係歷年大專校院僑生獲得獎助之人數。,年別;核發人數;核發總金額,僑務委員會
各級學校及海青班在學僑生人數統計,各級學校及海青班在學僑生人數統計,6112,所謂「僑生」係依據「僑生回國就學及輔導辦法」規定來臺就學者，而「港澳生」則依「香港澳門居民來臺就學辦法」規定辦理，以鼓勵港澳學生來臺升學；本資料集內容包括歷學年度公私立大學、國防醫學院、僑生先修部、專科學校、高國中、職業學校、國小及海青班等在學僑生人數等9大類資料。,學年度;總 計;各級學校計;公私立大學;國防醫學院;僑生先修部;專科學校;高國中;職業學校;國小;各級補校;海青班,僑務委員會
各項海外青年研習活動人數,各項海外青年研習活動人數,6480,為促進海外青年對我國政經社會發展現況之瞭解及宣揚傳統中華文化暨認識臺灣，舉辦各項海外青年活動，如：臺灣觀摩團、暑期研習營及華語文研習班等；本資料集內容包括近年上述各項海外青年參與人數等3大類資料。,年度;海外青年臺灣觀摩團;海外青年華語文研習班;海外青年臺灣學習體驗營;海外華裔青(少)年暑期研習營,僑務委員會
國人常赴度假打工地區之緊急聯繫僑團及商會清單,國人常赴度假打工地區之緊急聯繫僑團及商會清單,42791,本資料集主要內容海外度假打工地區之緊急聯繫僑團及商會之名稱及聯絡電話。,項次;填表國家;填表地區;僑團名稱;負責人或聯絡人;聯絡電話,僑務委員會
國內僑民暨歸僑團體地址及聯絡資訊,國內僑民暨歸僑團體地址及聯絡資訊,9739,國內民間成立服務僑胞之社團，促進各地僑民團結聯繫；本資料集內容包括國內僑民暨歸僑團體名稱及聯絡資料。,名稱;地址;電話;電傳;網頁,僑務委員會
大專畢業僑生統計,大專畢業僑生統計－按研習科別分,9742,僑生就讀之大專校院遍及全臺各地；近學年度大專畢業者中，以藝術科人數最多，商科次之，再者為工科。,學年度;教育;藝術;文;商;法;理;醫;工;農;運輸通信;觀光及服務;大眾傳播;其他,僑務委員會
大專院校畢業僑生人數,大專院校畢業僑生人數,6294,僑生就讀之大專院校遍及全臺各地；本資料集內容包括歷學年度來自各洲僑生在臺灣的大專院校畢業人數。,學年度;總計;亞洲;美洲;歐洲;大洋洲;非洲,僑務委員會
大專院校畢業僑生人數,大專院校畢業僑生人數─按校別分,46788,本資料集主要內容包括歷年大專校院畢業僑生人數─按校別分。,校別;41至75學年度;76至80學年度;81至85學年度;86至90學年度;91學年度;92學年度;93學年度;94學年度;95學年度;96學年度;97學年度;98學年度;99學年度;100學年度;101學年度;102學年度;103學年度;104學年度;105學年度;106學年度;107學年度,僑務委員會
大專院校畢業僑生人數,大專院校畢業僑生人數─按性別,55929,本資料集主要內容包括歷年大專畢業僑生人數性別比例。,學年度;身分別;男;女;男女合計,僑務委員會
委託研究計畫報告,僑務委員會委託研究計畫報告,13093,為提供政府政策制定參考，僑務委員會委託專業學術機構或個人就僑務政策進行研究與建議，並提出研究計畫報告，本資料集內容包含計畫年度、計畫名稱、計畫主持人等資訊。,年度;計畫名稱;計畫主持人,僑務委員會
