「愛臺十2建設-綠色造林」植栽統計,['7029']
「政策諮詢(眾開講)」議題,['46772']
「海外僑胞百校植樹愛臺灣計畫」植栽統計,['7030']
世界暨洲際臺灣商會聯合總會會議概況,['7031']
世界暨洲際臺灣商會聯合總會會議活動統計資料,['9745']
世界臺灣商會聯合總會及各分會分布情形,['7028']
世界臺灣商會聯合總會所屬商會個數,['68585']
中華函授學校學生入學人數-性別及年齡別,['56022']
人力性別統計分析,['13262']
人民申請提供政府資訊案件統計,['13092']
人民陳情案件統計,['7200']
休士頓文教中心辦理「臺灣文化導覽-Splendor of Taiwan」活動情形表,['56025']
供應全球僑校教材冊數統計表,['56020']
僑務電子報歷年新聞上傳則數統計,['80151']
僑務電子報訂戶統計,['7199']
僑民對921大地震之反應及捐款情形,['6295']
僑民熱心公益自動捐獻金額,['7022']
僑生就讀大專院校男、女僑生人數及所占比例,['52278']
僑生春節祭祖暨師生聯歡餐會辦理情形,['52279']
僑生申請自行來臺就學人數統計表,['48209']
僑界急難救助協會,['68269']
僑臺商組織幹部培訓班參加人數,['48190']
公益勸募受理捐贈辦理情形,['13091']
函授教育入學及結業學生人數,['6293']
北美地區海外民俗文化種子教師培訓班培訓人數,['6481']
北美地區臺語教師研習會培訓人數,['9746']
北美地區青年志工培訓人數」,['9740']
十月慶典回國僑胞報到人數,['6292']
印尼僑生來臺升學輔導訓練班錄取分發大學校院人數,['46786']
受理捐贈僑生獎助學金核發情形,['9741']
各級學校及海青班在學僑生人數統計,['6112']
各項海外青年研習活動人數,['6480']
國人常赴度假打工地區之緊急聯繫僑團及商會清單,['42791']
國內僑民暨歸僑團體地址及聯絡資訊,['9739']
大專畢業僑生統計,['9742']
大專院校畢業僑生人數,"['6294', '46788', '55929']"
委託研究計畫報告,['13093']
宏觀電子報歷年新聞上傳則數統計,['7198']
授予僑營臺灣美食標章餐廳名單,['31650']
提供政府資訊收費標準表,['13090']
政府資料開放行動方案,['117722']
政策宣導廣告資料,['13259']
春節及國慶文化訪問團辦理情形,['46778']
會計月報,['21116']
核發華僑身分證明書案件,['6303']
歷屆中美洲暨巴拿馬6國中華、華僑總會聯合總會召開年會時間及地點,['6302']
歷屆亞洲華僑、華人聯誼會資料,['7026']
歷屆歐洲華僑團體聯誼會召開年會時間及地點,['6301']
歷屆美洲各地中華會館、中華公所、華僑總會聯誼會召開年會時間及地點,['6300']
歷屆非洲地區華人聯誼會召開年會時間及地點,['7027']
歷年中華函授學校學生入學人數-教育程度別,['56065']
歷年中華函授學校學生入學人數-職業別,['56063']
歷年中華函授學校學生入學人次,['46781']
歷年僑務研究碩博士論文獎助得獎名單,['9744']
歷年大型民俗文化用品採購情形,['55931']
歷年大洋洲華僑團體聯合會,['7033']
歷年採購案件,['13094']
歷年書刊流通中心贈書情形,['55935']
