資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
第2批書畫類文物後設資料,6092,故宮書畫類文物之描述性文字資料,主要包括品名;作者;主題或關鍵字;識別資料;尺寸;關聯資料,國立故宮博物院
第1批書畫類文物後設資料,6093,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第1批器物類文物後設資料,6135,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第2批器物類文物後設資料,6136,故宮銅器類文物之描述性文字資料,主要包括品名;識別資料;尺寸;資料類型;描述,國立故宮博物院
第3批器物類文物後設資料,6137,故宮器物類文物之描述性文字資料,主要包括品名;時代;主題;識別資料;尺寸,國立故宮博物院
第3批書畫類文物後設資料,6898,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第4批書畫類文物後設資料,6899,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第5批書畫類文物後設資料,6900,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第6批書畫類文物後設資料,6901,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第7批書畫類文物後設資料,6902,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第4批器物類文物後設資料,6903,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第5批器物類文物後設資料,6904,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第6批器物類文物後設資料,6905,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第7批器物類文物後設資料,6906,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第8批器物類文物後設資料,6907,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第9批器物類文物後設資料,6908,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第10批器物類文物後設資料,6909,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第11批器物類文物後設資料,6910,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第12批器物類文物後設資料,6911,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第13批器物類文物後設資料,6912,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第14批器物類文物後設資料,6913,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第15批器物類文物後設資料,6914,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第16批器物類文物後設資料,6915,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第17批器物類文物後設資料,6916,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第18批器物類文物後設資料,7041,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第8批書畫類文物後設資料,7042,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第9批書畫類文物後設資料,7043,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第10批書畫類文物後設資料,7044,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第11批書畫類文物後設資料,7045,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第12批書畫類文物後設資料,7046,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第13批書畫類文物後設資料,7047,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第14批書畫類文物後設資料,7048,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第15批書畫類文物後設資料,7049,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第16批書畫類文物後設資料,7050,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第17批書畫類文物後設資料,7051,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第19批器物類文物後設資料,7244,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第20批器物類文物後設資料,7245,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第21批器物類文物後設資料,7246,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第22批器物類文物後設資料,7247,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第23批器物類文物後設資料,7248,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第24批器物類文物後設資料,7249,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第25批器物類文物後設資料,7250,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第26批器物類文物後設資料,7251,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第27批器物類文物後設資料,7252,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第28批器物類文物後設資料,7253,故宮銅器類文物之描述性文字資料,主要包括品名;時代;識別資料;尺寸;資料類型;描述,國立故宮博物院
第18批書畫類文物後設資料,7254,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第19批書畫類文物後設資料,7255,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第20批書畫類文物後設資料,7256,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第21批書畫類文物後設資料,7257,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
第22批書畫類文物後設資料,7258,故宮書畫類文物之描述性文字資料,主要包括品名;作者;識別資料;尺寸;關聯資料;語言,國立故宮博物院
善本古籍資料集一,9771,故宮善本古籍之文字性描述資料,"主要包括內容主題,著者,版本,冊數",國立故宮博物院
善本古籍資料集二,9772,故宮善本古籍之文字性描述資料,"主要為內容主題,版本,冊數",國立故宮博物院
善本古籍資料集三,9773,故宮善本古籍之文字性描述資料,"主要包括內容主題,著者,版本,冊數",國立故宮博物院
善本古籍資料集四,9774,故宮善本古籍之文字性描述資料,"主要包括內容主題,著者,版本,冊數",國立故宮博物院
善本古籍資料集五,9775,故宮善本古籍之文字性描述資料,"主要包括內容主題,著者,版本,冊數",國立故宮博物院
大清國史人物列傳及傳包傳稿資料集一,9776,故宮之大清國史人物列傳及傳包傳稿之文字描述資料,"主要包括文獻類別,品名,版本",國立故宮博物院
大清國史人物列傳及傳包傳稿資料集二,9777,故宮之大清國史人物列傳及傳包傳稿之文字描述資料,"主要包括文獻類別,品名,版本",國立故宮博物院
大清國史人物列傳及傳包傳稿資料集三,9778,故宮之大清國史人物列傳及傳包傳稿之文字描述資料,"主要包括文獻類別,品名,版本",國立故宮博物院
大清國史人物列傳及傳包傳稿資料集四,9779,故宮之大清國史人物列傳及傳包傳稿之文字描述資料,"主要包括文獻類別,品名,版本",國立故宮博物院
大清國史人物列傳及傳包傳稿資料集五,9780,故宮之大清國史人物列傳及傳包傳稿之文字描述資料,"主要包括文獻類別,品名,版本",國立故宮博物院
故宮清代檔案資料集一,9781,故宮清代檔案之文字描述資料,"主要包括文獻類名,卷冊,事由",國立故宮博物院
故宮清代檔案資料集二,9782,故宮清代檔案之文字描述資料,"主要包括文獻類名,卷冊,事由",國立故宮博物院
故宮清代檔案資料集三,9783,故宮清代檔案之文字描述資料,"主要包括文獻類名,卷冊,事由",國立故宮博物院
故宮清代檔案資料集四,9784,故宮清代檔案之文字描述資料,"主要包括文獻類名,卷冊,事由",國立故宮博物院
故宮清代檔案資料集五,9785,故宮清代檔案之文字描述資料,"主要包括文獻類名,卷冊,事由",國立故宮博物院
104年度故宮文物藝術發展基金附屬單位預算,12386,收支預計表、餘絀撥補預計表、現金流量預計表,前年度決算數;本年度預算數;上年度預算數,國立故宮博物院
104年度國立故宮博物院單位預算,12387,提供104年度國立故宮博物院單位預算歲入來源別預算表、歲出機關別預算表及其附屬表等,歲入來源別預算表;歲出機關別預算表;歲入項目說明提要表;歲出計畫提要及分支計畫概況表;各項費用彙計表;歲出一級用途別科目分析表;資本支出分析表;人事費分析表;預算員額明細表;公務車輛明細表;現有辦公房舍明細表;捐助經費分析表;派員出國計畫預算總表;派員出國計畫預算類別表－考察;視察;訪問;派員出國計畫預算類別表－開會;談判;派員赴大陸計畫預算類別表;歲出按職能及經濟性綜合分類表;跨年期計畫概況表,國立故宮博物院
國立故宮博物院104年Open Data諮詢小組(研商)會議記錄,18433,"記錄本年度故宮open data諮詢/研商會議之重要結論: 1. 本院open data專區將於10月份改版, 圖像免費供教學使用 2. 於本院既有授權規範範圍內使用 3. 將提供文物圖像,並以展覽等各方式分類, 以利使用 4. 院外民間代表將提報長官圈選 5. 國發會平台之上傳資料仍維持現有資料型態",無,國立故宮博物院
故宮文物藝術發展基金103年決算及104年1-7月報表,19839,故宮文物藝術發展基金103年決算及104年1-7月報表,"103年決算,平衡表,收支餘絀表, 購建固定資產",國立故宮博物院
國立故宮博物院104年1月會計報告,19844,國立故宮博物院104年1月會計報告,"歲出保留數額表,歲入累計表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",國立故宮博物院
國立故宮博物院104年2月會計報告,19847,國立故宮博物院104年2月會計報告,"歲出保留數額表,歲入累計表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",國立故宮博物院
國立故宮博物院104年3月會計報告,19849,國立故宮博物院104年3月會計報告,"歲出保留數額表,歲入累計表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",國立故宮博物院
國立故宮博物院104年4月會計報告,19850,國立故宮博物院104年4月會計報告,"歲出保留數額表,歲入累計表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",國立故宮博物院
國立故宮博物院104年5月會計報告,19852,國立故宮博物院104年5月會計報告,"歲出保留數額表,歲入累計表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",國立故宮博物院
國立故宮博物院104年6月會計報告,19855,國立故宮博物院104年6月會計報告,"歲出保留數額表,歲入累計表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",國立故宮博物院
國立故宮博物院104年7月會計報告,19857,國立故宮博物院104年7月會計報告,"歲出保留數額表,歲入累計表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",國立故宮博物院
國立故宮博物院103年度決算報表,19907,國立故宮博物院103年度決算報表,歲入歲出決算及平衡表,國立故宮博物院
故宮文物藝術發展基金104年度法定預算,20293,故宮文物藝術發展基金104年度法定預算,"收支預計表,現金流量預計表,餘絀撥補預計表",國立故宮博物院
故宮文物藝術發展基金105年度預算案,21001,故宮文物藝術發展基金105年度預算案,"收支預計, 現金流量",國立故宮博物院
國立故宮博物院105年度單位預算,21003,國立故宮博物院105年度單位預算,"105年各項歲入,歲出,支出,費用",國立故宮博物院
國立故宮博物院8月份會計報告,21910,"累計表,平衡表,出納表等",,國立故宮博物院
故宮文物藝術發展基金103年度決算,22098,"流量,撥補決算表等","流量,撥補決算表",國立故宮博物院
故宮文物藝術發展基金104年1月會計月報,22099,"平衡表,餘黜表等","平衡表,餘黜表",國立故宮博物院
故宮文物藝術發展基金104年2月會計月報,22100,"平衡表,餘黜表等","平衡表,餘黜表",國立故宮博物院
故宮文物藝術發展基金104年3月會計月報,22101,"平衡表,餘黜表等","平衡表,餘黜表",國立故宮博物院
故宮文物藝術發展基金104年4月會計月報,22102,"餘絀表,平衡表等","餘黜表,平衡表",國立故宮博物院
故宮文物藝術發展基金104年5月會計月報,22103,"平衡表,餘黜表等","平衡表,餘黜表",國立故宮博物院
故宮文物藝術發展基金104年6月會計月報,22104,"餘絀表,平衡表等","餘絀表,平衡表",國立故宮博物院
故宮文物藝術發展基金104年7月會計月報,22105,"餘黜表,平衡表等","餘黜表,平衡表",國立故宮博物院
105年度法定預算,27360,105年度法定預算,105年度法定預算,國立故宮博物院
國立故宮博物院106年度單位預算,35642,國立故宮博物院106年度單位預算,國立故宮博物院106年度單位預算,國立故宮博物院
故宮文物藝術發展基金106年度預算案,35645,故宮文物藝術發展基金106年度預算案,故宮文物藝術發展基金106年度預算案,國立故宮博物院
106年度國立故宮博物院單位預算,43578,提供106年度國立故宮博物院單位預算歲入來源別預算表、歲出機關別預算表及其附屬表等,人事費用分析表;公務車輛明細表;各項費用彙計表;委辦經費分析表;員出國計畫預算總表;派員出國計畫類別表-考察;派員出國計畫類別表-開會;派員赴大陸計畫預算表;捐助經費分析表;歲入來源別預算表;歲入項目說明提要表;歲出用途別科目分析表;歲出按職能及經濟性綜合分類表;歲出計畫提要及分支計畫概況表;歲出機關別預算表;資本支出分析表;跨年期計畫概況表;預算員額明細表;辦公房舍明細表,國立故宮博物院
107年度國立故宮博物院單位預算,54397,"107年度人事費用分析表, 107年度公務車輛明細表, 107年度各項費用彙計表, 107年度委辦經費分析表, 107年度派員出國計畫預, 107年度派員出國計畫類, 107年度派員出國計畫類, 107年度派員出國計畫類, 107年度派員赴大陸計畫, 107年度捐助經費分析表, 107年度歲入來源別預算, 107年度歲入項目說明提, 107年度歲出用途別科目, 107年度歲出按職能及經, 107年度歲出計畫提要及, 107年度歲出機關別預算, 107年度補助經費分析表, 107年度資本支出分析表, 107年度跨年期計畫概況, 107年度預算員額明細表, 107年度辦公房舍明細表,",,國立故宮博物院
2004年國立故宮博物院參觀人數,61227,2004年國立故宮博物院參觀人數,Vistor_Year;1;2;3;4;5;6;7;8;9;10;11;12,國立故宮博物院
2005年國立故宮博物院參觀人數,61228,2005年國立故宮博物院參觀人數,Vistor_Year;1;2;3;4;5;6;7;8;9;10;11;12,國立故宮博物院
2006年國立故宮博物院參觀人數,61230,2006年國立故宮博物院參觀人數,,國立故宮博物院
2007年國立故宮博物院參觀人數,61232,2007年國立故宮博物院參觀人數,Vistor_Year;1;2;3;4;5;6;7;8;9;10;11;12,國立故宮博物院
2008年國立故宮博物院參觀人數,61235,2008年國立故宮博物院參觀人數,Vistor_Year;1;2;3;4;5;6;7;8;9;10;11;12,國立故宮博物院
2009年國立故宮博物院參觀人數,61236,2009年國立故宮博物院參觀人,Vistor_Year;1;2;3;4;5;6;7;8;9;10;11;12,國立故宮博物院
2010年國立故宮博物院參觀人數,61238,2010年國立故宮博物院參觀人數,Vistor_Year;1;2;3;4;5;6;7;8;9;10;11;12,國立故宮博物院
2011年國立故宮博物院參觀人數,61239,2011年國立故宮博物院參觀人數,Vistor_Year;1;2;3;4;5;6;7;8;9;10;11;12,國立故宮博物院
2012年國立故宮博物院參觀人數,61241,2012年國立故宮博物院參觀人數,Vistor_Year;1;2;3;4;5;6;7;8;9;10;11;12,國立故宮博物院
2013年國立故宮博物院參觀人數,61242,2013年國立故宮博物院參觀人數,Vistor_Year;1;2;3;4;5;6;7;8;9;10;11;12,國立故宮博物院
2014年國立故宮博物院參觀人數,61243,2014年國立故宮博物院參觀人數,Vistor_Year;1;2;3;4;5;6;7;8;9;10;11;12,國立故宮博物院
107年度國立故宮博物院法定預算,77739,107年度國立故宮博物院法定預算,款;項;目;節;科目名稱;預算科目編號;人事費;業務費_經;奬補助費_經;債務費;預備金_經;經常支出小計;業務費_資;設備及投資;奬補助費_資;預備金_資;資本支出小計;合計;職能別分類經濟性分類;消費支出_經;債務利息_經;補助地方_經;移轉民間_經;小計_經;資本形成_資;土地購入_資;增資_資;補助地方_資;移轉民間_資;小計_資;總計,國立故宮博物院
國立故宮博物院資料開放諮詢小組會議,78869,國立故宮博物院資料開放諮詢小組會議會議紀錄,會議名稱;時間;地點;主席;出席委員;會議紀錄,國立故宮博物院
108年度國立故宮博物院預算案,90448,108年度國立故宮博物院預算案,,國立故宮博物院
【公告】研擬建全圖像管理機制、培育法制人才、完備院藏文物衍生加值法令,102828,【公告】研擬建全圖像管理機制、培育法制人才、完備院藏文物衍生加值法令,,國立故宮博物院
國立故宮博物院107年補(捐)助經費明細表,102830,國立故宮博物院107年補(捐)助經費明細表,,國立故宮博物院
107年度國立故宮博物院單位決算,102832,107年度國立故宮博物院單位決算,,國立故宮博物院
108年度國立故宮博物院法定預算,102834,108年度國立故宮博物院法定預算,,國立故宮博物院
基金107年度決算總說明+主要表,107240,基金107年度決算總說明+主要表,,國立故宮博物院
基金107年度決算上網公告版(審修版),107241,基金107年度決算上網公告版(審修版),,國立故宮博物院
109年度國立故宮博物院預算案,107245,109年度國立故宮博物院預算案,,國立故宮博物院
國立故宮博物院109年度單位預算,118214,國立故宮博物院109年度單位預算,,國立故宮博物院
110年度國立故宮博物院預算案,129781,110年度國立故宮博物院預算案,,國立故宮博物院
國立故宮博物院 基金108年度決算上網公告版,130082,基金108年度決算上網公告版,,國立故宮博物院
國立故宮博物院 基金108年度決算總說明+主要表,130083,國立故宮博物院 基金108年度決算總說明+主要表,,國立故宮博物院
