Open Data諮詢小組(研商)會議記錄,['18433']
【公告】研擬建全圖像管理機制、培育法制人才、完備院藏文物衍生加值法令,['102828']
參觀人數,"['61227', '61228', '61230', '61232', '61235', '61236', '61238', '61239', '61241', '61242', '61243']"
善本古籍資料集,"['9771', '9772', '9773', '9774', '9775']"
單位決算,['102832']
單位預算,"['12387', '21003', '35642', '43578', '54397', '118214']"
器物類文物後設資料,"['6135', '6136', '6137', '6903', '6904', '6905', '6906', '6907', '6908', '6909', '6910', '6911', '6912', '6913', '6914', '6915', '6916', '7041', '7244', '7245', '7246', '7247', '7248', '7249', '7250', '7251', '7252', '7253']"
基金決算上網公告版,['130082']
基金決算上網公告版(審修版),['107241']
基金決算總說明+主要表,"['107240', '130083']"
大清國史人物列傳及傳包傳稿資料集,"['9776', '9777', '9778', '9779', '9780']"
故宮文物藝術發展基金會計月報,"['22099', '22100', '22101', '22102', '22103', '22104', '22105']"
故宮文物藝術發展基金決算,['22098']
故宮文物藝術發展基金決算及報表,['19839']
故宮文物藝術發展基金法定預算,['20293']
故宮文物藝術發展基金附屬單位預算,['12386']
故宮文物藝術發展基金預算案,"['21001', '35645']"
故宮清代檔案資料集,"['9781', '9782', '9783', '9784', '9785']"
書畫類文物後設資料,"['6092', '6093', '6898', '6899', '6900', '6901', '6902', '7042', '7043', '7044', '7045', '7046', '7047', '7048', '7049', '7050', '7051', '7254', '7255', '7256', '7257', '7258']"
會計報告,"['19844', '19847', '19849', '19850', '19852', '19855', '19857', '21910']"
決算報表,['19907']
法定預算,"['27360', '77739', '102834']"
補(捐)助經費明細表,['102830']
資料開放諮詢小組會議,['78869']
預算案,"['90448', '107245', '129781']"
