⾏政院原⼦能委員會輻射偵測中⼼技術服務業務統計,['122595']
中程施政計畫,['119361']
主管之政府原始捐贈之財團法人,['94742']
人員劑量佩章服務之事項及收費基準,['119389']
全國環境輻射偵測即時資訊,['119233']
公文時效統計,['108301']
動力用核子反應器執照費,['119690']
動力用核子反應器運轉人員執照測驗費,['119687']
化學成分、元素、核種檢驗分析之事項及收費基準,['119372']
原子能委員會包件及外包裝之分類,['119863']
原子能委員會及所屬機關提供政府資訊收費標準,['119386']
原子能委員會商品輻射限量標準,['119864']
原子能委員會嚴重污染環境輻射標準,['119865']
原子能委員會國內輻射偵檢合格鋼鐵業名冊,['119852']
原子能委員會放射性物質與可發生游離輻射設備銷售服務業者名單,['119862']
原子能委員會認可之輻射防護訓練業務機構,['119860']
原子能委員會資訊公開案件統計,['119360']
原子能委員會輻射偵測業者名單,['119858']
原子能委員會輻射防護人員訓練業務之訓練課程、時數,['119868']
原子能委員會輻射防護效期屆滿申請展延許可或申請換發證照、證書或執照者，應繳納費額,['120027']
原子能委員會輻射防護申請許可、登記備查或申請核發證照、證書或執照者應繳納費額,['120025']
原子能委員會輻射防護證照、證書或執照登載事項或內容變更，申請換發者應繳納費額,['120028']
原子能委員會鋼鐵建材輻射偵檢訓練之訓練課程、時數規定,['119867']
原子能委員會體外輻射劑量評定機構名單,['119857']
原能會-Youtube專區,['119134']
原能會中程施政計畫(102-105),['110220']
原能會中程施政計畫(106-109),['110223']
原能會委託研究計畫預告表,"['110237', '110241']"
原能會年度施政方針,['119384']
原能會性別比例統計,['119354']
原能會政府科技計畫績效評估報告清單,"['110227', '110231', '119380']"
原能會施政計畫目標與重點,"['110246', '110252', '110254', '110259', '119363']"
原能會與國科會合作計畫--研究重點,['119136']
原能會與國科會合作計畫-核定之研究計畫,"['110151', '110154', '110159', '110162', '110163']"
原能會與國科會合作計畫-研究重點,"['110143', '110144', '110145', '110147']"
原能會與國科會合作計畫核定之研究計畫,['119379']
台灣地區放射性落塵與食品調查偵測報告,['31544']
台灣地區核能設施環境輻射監測報告,['31542']
場地設施使用規費,['119623']
大樓導覽,['119627']
委託研究計畫預告表,['119141']
射源託管服務之事項及收費基準,['119392']
採購案件目錄,['108586']
接收各類放射性廢棄物處理貯存及最終處置收費基準,['119393']
放射性廢棄物處理設施運轉人員證照統計,['108587']
放射性物料管制核發證照收費標準,['119188']
放射性物料管理局會計月報,"['47314', '79685', '108593', '119281', '119282']"
放射性物料管理局決算書表,"['57026', '79666', '108592', '119308', '119310']"
放射性物料管理局法定預算書表,"['47312', '79664', '108590', '119306', '119319']"
放射性物料管理局預算案書表,"['34197', '56943', '108589', '108591', '119305', '119437']"
放射性物質或可發生游離輻射設備操作人員訓練業務之訓練課程、時數規定,['119870']
政府資料開放行動方案,['114484']
政府資料開放諮詢小組歷次會議記錄,['114482']
核子反應器設施持照運轉員人數,['119678']
核子反應器設施監查機構,['119683']
核子燃料之輸入、輸出、過境、轉口與運送審查費及檢查費,['119193']
核安管制紅綠燈績效指標燈號,['119679']
核安管制紅綠燈視察指標燈號,['119703']
核定之研究計畫,"['110200', '110204', '110209', '119370']"
核研所場所外環境輻射監測資訊,['91463']
核能同級品檢證機構,['119685']
核能研究所單位決算書表,['18378']
核能研究所單位預算案,['12161']
核能研究所單位預算法定預算,['107798']
核能研究所對外放射性廢棄物接收處理注意事項,['119195']
核能研究所技術服務之收費方式說明,['108215']
核能研究所接受補助金彙整表,['108218']
核能研究所敦親睦鄰工作作業要點,['108213']
核能研究所敦親睦鄰補捐助彙整表,['108220']
核能研究所會計報告,['18413']
核能研究所碩博士生獎助金彙整表,['108219']
核能研究所規費收費標準,['108212']
核能電廠低放射性廢棄物貯存現況,['119174']
核能電廠基本資料,['109454']
核能電廠最近固化低放射性廢棄物產量,['119187']
核能電廠用過核子燃料貯存數量,['119186']
核能電廠異常事件次數,['119705']
核能電廠緊急應變計畫區地方政府規劃之集結點,['102114']
核能電廠緊急應變計畫區避難收容處所,['102434']
核能電廠自動急停次數,['119704']
核能電廠運轉資訊,['119931']
核能電廠違規件數,['119706']
歷年會計月報(含附屬單位),['78339']
歷年決算書(含附屬單位),['78351']
歷年預算書(含附屬單位),['78350']
游離輻射防護法相關證照統計,['108763']
現年劑量達1毫西弗以上輻射屋查詢系統,['119873']
環境輻射即時監測資訊歷史資料,['102150']
用過核子燃料貯存設施興建、運轉與除役審查費及檢查費,['119192']
研究用核子反應器運轉員執照測驗費,['119689']
科技發展細部計畫,"['110132', '110133', '110134', '110135', '110137', '119366']"
簡化核能電廠附近低密度人口區確認申請作業說明,['28261']
聯合國9類危險物分類,['119866']
設計製作、核醫藥物產製、輻射安全防護評估及研發技術服務收費及成本計算項目,['108210']
輻射偵測中心104 年度決算書表,['119245']
輻射偵測中心會計月報,"['119249', '119251']"
輻射偵測中心歷年度決算書表,['44756']
輻射偵測中心歷年會計月報,['44944']
輻射偵測中心歷年法定預算書,['44943']
輻射偵測中心歷年預算案書表,['55754']
輻射偵測中心決算書表,['119229']
輻射偵測中心法定預算書表,"['119253', '119258']"
輻射偵測中心規費收費標準,['119236']
輻射偵測中心預算案書表,"['119255', '119260', '119262']"
輻射加權因數,['119869']
輻射防護組織加權因數,['120029']
近年委託研究計畫成果,"['110184', '110185', '110186', '119139']"
近年科技發展計畫成果,"['110111', '110123', '110124', '110125', '110126', '119369']"
鈷60輻射照射之事項及收費基準,['119391']
防護面具及空氣濾器檢測之事項及收費基準,['119390']
龍門核能電廠運轉前環境背景輻射監測報告,['31543']
