資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
中部科學園區園區活動訊息,5987,有關園區舉辦各項活動訊息，舉凡兩性聯誼、環保、演講等重要活動訊息。,subject;content;post_date;end_date;show_date;hide_date;URL,科技部中部科學園區管理局
南部科學園區園區活動通報資訊,6073,南部科學園區管理局所提供園區活動通報資訊,,科技部南部科學園區管理局
中央研究院植物標本館標本資料,7511,中研院植物標本館主要蒐藏台灣（含附屬島嶼）及東亞維管束植物。特殊的蒐藏有菊科、秋海棠科、鴨跖草科、珍珠菜屬（報春花科）、細辛屬（馬兜鈴科）、魔芋屬（天南星科）、茜草科、地錦屬（大戟科）及茶科。,,科技部
中央研究院魚類標本資料,7512,"魚類資料庫 鑒於魚類分類系統及種名變動頻仍，臺灣魚種之新記錄或時空分布的資料也幾乎是與日俱增，因此有必要建立資料庫，並藉全球資訊網將隨時修訂之臺灣本土魚類資料公開提供各界查詢使用。 建置目的為: 1.提供學界（特別是魚類分類）最新研究成果之資訊，促進國內外學術交流及提昇學術研究水準。 2.提供政府及民間對臺灣水域生態環境保育、評估，以及漁業資源開發及管理背景參考資料。 3.希望有助於魚類名稱（拉丁學名、中文名及中、英文俗名）之正名及統一。 引用資訊:生物多樣性物種出現紀錄:由中央研究院生物多樣性研究中心魚類資料庫提供 (Accessed through TaiBIF, taibif.tw, YYYY-MM-DD)",,科技部
TaiBIF出版品清單,7513,此資料集為TaiBIF研究團隊歷年所出版的書籍清單，包括臺灣物種名錄、論文集…等等出版版,,科技部
GBIF出版品清單,7514,此資料集為TaiBIF研究團隊翻譯國外GBIF相關出版品清單,,科技部
科技部決算書清冊,7515,科技部歷年單位決算、科發基金決算案及主管決算審定版。,標題;日期;連結網址,科技部
科技部人文與社會科學簡訊出版品清冊,7516,報導科技部與人文司之業務及訊息出版品清冊，並提供學界交流研究工作及規劃發展 等事務之平台。,標題;連結網址,科技部
駐外科技組聯絡資訊,7521,提供各駐外科技組相關聯繫資料,ffice Name/Director Name;Address;Phone/Fax/Email,科技部
新竹科學園區管理局園區巡迴巴士時刻表,7522,新竹科學園區管理局園區各線巡迴巴士班表,,科技部新竹科學園區管理局
科技部訴願決定書清冊,7524,科技部2年內作成之訴願決定書清冊,標題;連結網址,科技部
南部科學園區公共藝術,7526,南部科學園區公共藝術分布及介紹,編號;作品名稱;設置時間;設置地點;作者;創作理念;現況照片;尺寸<br>(公分);材質,科技部南部科學園區管理局
南部科學園區免費巡迴巴士,7527,南部科學園區免費巡迴巴士時刻資料(含南環線/北環線/高科線/假日接駁)。,,科技部南部科學園區管理局
南部科學園區性別與外籍員工統計資料集,7528,從業員工數 亦即就業人數，包括園區事業、核准入區工商服務業、事業主管機關分支單位、育成中心、研究機構等之員工數，不包括營造廠或承攬商所僱用之員工數。,,科技部南部科學園區管理局
南部科學園區污水廠排放水質,7529,南部科學園區管理局台南及高雄科學園區污水廠排放水質資料,,科技部南部科學園區管理局
南部科學園區土地規劃資料集,7530,1.總面積:經都市計畫及非都市計畫審議通過之土地總面積。 總面積＝工業區面積 ＋ 住宅區面積 ＋ 其他用地面積 2.工業區面積:經都市計畫及非都市計畫編為事業專用區之面積。 3.住宅區面積:經都市計畫及非都市計畫編為住宅區之面積。 4.其他用地面積:總面積扣除工業區及住宅區面積。,,科技部南部科學園區管理局
南部科學園區新投資案核准資料集,7531,經科技部園區審議委員會核准投資之南科廠商資訊及南科產業概況,,科技部南部科學園區管理局
南部科學園區產業營業額成長情形比較資料集,7532,營業額 : 園區廠商之銷售淨額（含申報書銷售額、收據合計、銷貨退回及折讓、前期銷售額調整）減可抵減項目（含代收代付、出售固定資產、出售廢料、利息收入、樣品贈送）之餘額。,,科技部南部科學園區管理局
南部科學園區用電量統計資料集,7533,用電量:園區各廠商每月與台電公司訂定之用電契約容量。,,科技部南部科學園區管理局
南部科學園區用水量統計資料集,7534,用水量:水公司針對園區各廠商每月之用水量統計。,,科技部南部科學園區管理局
臺灣物種名錄比對工具,7558,為能提升學名之正確性，本系統蒐羅TaiBNET資料庫之學名資料做為比對校正之參考依據，並能顯示簡便明確的拼字差異及相似程度，以方便使用者鑑別學名字母異同之處，順利且省時地進行名錄之修訂,使用者輸入;比對到的最簡學名;完整學名;accepted_name_code;accepted_name,科技部
地理座標資訊轉換服務,7559,有鑑於過去物種生態分布之地理座標系統不同，造成整合地理資訊上之困難，及物種於地圖上標記之錯誤，因此本系統可提供線上地理座標資訊，以便使用者更新老舊生態分布之資料，得以進一步比較分析與研究，系統提供WGS 84、TM2 67與TM2 97三種格式之間的相互轉換。,x;y;座標系統,科技部
物種地理座標驗證工具,7560,為了提高物種分布準確性及達成利用地理資訊整合查詢之目的，故而開發本工具。使用者僅需上傳EXCEL檔案，檔案中包含三個欄位資訊，分別為loc(地點文字說明)、x(經度)、y(緯度)，本工具會依據這進行簡易的判斷，如地點與座標差異過大、或修正座標格式...等等，並將錯誤判別資訊回傳於使用者。,loc;x;y,科技部
臺灣物種出現紀錄資料表格API（包含標本館資料與田野調查資料）,7561,利用API的方式提供取得json格式資料,採集號;連結;機構代碼;學名;中文名,科技部
全國各研發執行部門研發經費統計資料,7562,1.為便於瞭解及掌握我國科技研究發展狀況，進而建立科技指標，並與他國作客觀比較作為國家制定科技發展政策之參考，科技部每年定期辦理「全國研發狀況調查」。本資料集為「全國研發狀況調查」之統計結果之一。 2.“..”係指無任何數值。,,科技部
全國各研發執行部門研發人力統計資料_人數,7563,1.為便於瞭解及掌握我國科技研究發展狀況，進而建立科技指標，並與他國作客觀比較作為國家制定科技發展政策之參考，科技部每年定期辦理「全國研發狀況調查」。本資料集為「全國研發狀況調查」之統計結果之一。 2.“..”係指無數值。 3.“0”係指不及一單位。,,科技部
全國各研發執行部門研發人力統計資料_全時約當數,7564,"1.為便於瞭解及掌握我國科技研究發展狀況，進而建立科技指標，並與他國作客觀比較作為國家制定科技發展政策之參考，科技部每年定期辦理「全國研發狀況調查」。本資料集為「全國研發狀況調查」之統計結果之一。 2.全時約當數(Full-time Equivalent, FTE)係指從事某項研發工作的人數，經折算為全時間從事該項工作的人數。例如某一研究人員全年花一半的工作時間從事教學工作，一半的工作時間做研發，則此一研究人員相當於0.5個「全時約當數」(或0.5人年)；若全時間從事(每年250個工作日計)研究，則相當於1個「全時約當數」。出處：法城手冊(OECD) 3.“..”係指無數值。 4.“0”係指不及一單位。",年;執行部門代號;執行部門;類別;研發人力;研究人員;技術人員;支援人員;男性研發人力;男性研究人員;男性技術人員;男性支援人員;女性研發人力;女性研究人員;女性技術人員;女性支援人員;博士;碩士;學士;專科;其他;女博士;女碩士;女學士;女專科;女其他;博士_研究人員;碩士_研究人員;學士_研究人員;理;工;醫;農;人文;社會,科技部
全國企業部門研發經費_依OECD行業別區分統計資料,7566,1. 為便於瞭解及掌握我國科技研究發展狀況，進而建立科技指標，並與他國作客觀比較作為國家制定科技發展政策之參考，科技部每年定期辦理「全國研發狀況調查」。本資料集為「全國研發狀況調查」之統計結果之一。 2.“..”係指無數值。 3.“0”係指不及一單位。,,科技部
