GBIF出版品清單,['7514']
ICT產業研發人力_全時約當數,['40195']
ICT產業研發經費,['40194']
TaiBIF出版品清單,['7513']
中央研究院植物標本館標本資料,['7511']
中央研究院魚類標本資料,['7512']
中華民國科學技術白皮書,['40199']
中部科學園區入區登記(營運)廠商明細表統計月報,['7945']
中部科學園區公共場地租借月報,['7938']
中部科學園區創新研發獎助輔助資料統計,['7944']
中部科學園區動產擔保交易登記月報,['7941']
中部科學園區參訪統計月報,['7942']
中部科學園區台中園區租金表,['122078']
中部科學園區后里園區租金表,['122080']
中部科學園區園區活動訊息,['5987']
中部科學園區園區電影活動資料統計,['7936']
中部科學園區從業員工居住地統計,['92151']
中部科學園區從業員工年齡統計,['92148']
中部科學園區從業員工職務統計,['92153']
中部科學園區最新公告月資料統計,['7937']
中部科學園區核准投資金額月報,['7939']
中部科學園區管理局人才培訓課程,['40605']
中部科學園區管理局停車場資訊,['41206']
中部科學園區管理局優良廠商創新產品獎得獎資料,['40606']
中部科學園區管理局公共藝術裝置清單,['41205']
中部科學園區管理局公車交通路線圖及時刻表,['41201']
中部科學園區管理局公開採購計畫資料集,['40618']
中部科學園區管理局出版品清單,['40622']
中部科學園區管理局創新創業獲補助清單,['41264']
中部科學園區管理局參訪統計表(年度),['40608']
中部科學園區管理局及所屬單位決算,['20024']
中部科學園區管理局及所屬單位預算會計報告,['18617']
中部科學園區管理局及所屬單位預算預算表(法定),['12230']
中部科學園區管理局及所屬單位預算預算表(預算案),['12136']
中部科學園區管理局各園區聯絡資訊,['40617']
中部科學園區管理局園區事業(年)投資引進家數(不含撤銷),['41198']
中部科學園區管理局園區事業(年)投資引進家數(不含撤銷)(以基地區分),['41199']
中部科學園區管理局園區巡迴巴士,['40610']
中部科學園區管理局土地規劃情形表,['40611']
中部科學園區管理局官等及性別統計表,['41207']
中部科學園區管理局宿舍使用統計資訊,['41217']
中部科學園區管理局宿舍待租賃資訊,['41218']
中部科學園區管理局巡迴巴士公告資訊,['41203']
中部科學園區管理局工商服務業廠商資訊,['41215']
中部科學園區管理局工安環保月-各項球賽得獎名單,['40613']
中部科學園區管理局工安環保月-活動項目清單,['93857']
中部科學園區管理局工程承包商(用電)聯絡資訊,['41209']
中部科學園區管理局從業員工產業別統計,['40615']
中部科學園區管理局性別與外籍員工統計,['40614']
中部科學園區管理局新投資案核准情形,['41195']
中部科學園區管理局會議室租借資訊,['40616']
中部科學園區管理局核准入區廠商一覽,['41197']
中部科學園區管理局標準廠房待租賃資訊,['41212']
中部科學園區管理局標準廠房進駐使用清單,['41211']
