資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
行政院公報,5959,行政院及所屬機關涉及人民權益之法令等重要事項，主要內容有法規、行政規則、公告及送達、處分、特載（總統文告及院長談話）、轉載（經總統公布之條約、法律、緊急命令）、專載（院會院長提示、決定、決議事項）及其他等8大類。,MetaId;Doc_Style_LName;Doc_Style_SName;PreviewStageURL;Chapter;PubGov;PubGovName;UndertakeGov;Officer_name;Date_Created;GazetteId;Date_Published;Comment_Deadline;Comment_Days;Title;TitleEnglish;ThemeSubject;Keyword;Eng_Keyword;Explain;Category;Cake;Service;GazetteHTML;HTMLContent,國家發展委員會
數位機會調查,5960,本會自90年起每年定期辦理「數位落差調查」，近年因強調創造全民共享之資訊社會，政府縮減數位落差政策已逐步轉化為更積極的創造數位機會，於100年正式調整為「數位機會調查」。每年定期辦理「個人/家戶數位機會(落差)調查」，探討國人的資訊近用機會及數位應用的差異情形，本調查主要針對我國22縣市家戶內年滿12歲之本國籍人口進行電話隨機抽樣訪問。註：1.臺中縣、臺南縣及高雄縣於99年底合併為臺中市、臺南市及高雄市。2.臺北縣於99年底改制為新北市。,"年度;全國樣本數;全國抽樣誤差;個人上網率<br>%;個人電腦使用率<br>%<br>(106年度調整數位機會發展指標，無調查電腦使用率);家戶電腦擁有率<br>%<br>(106年度調整數位機會發展指標，無調查家戶電腦擁有率);家戶連網率<br>%;行動上網率<br>%;男性<br>網路使用率%;女性<br>網路使用率%;男性<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);女性<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);12-14歲<br>網路使用率%;15-20歲<br>網路使用率%<br>(101年度年齡級距調整為15-19歲);21-30歲<br>網路使用率%<br>(101年度年齡級距調整為20-29歲);31-40歲<br>網路使用率%<br>(101年度年齡級距調整為30-39歲);41-50歲<br>網路使用率%<br>(101年度年齡級距調整為40-49歲);51-60歲<br>網路使用率%<br>(101年度年齡級距調整為50-59歲);61歲以上<br>網路使用率%<br>(101年度年齡級距調整為60歲以上,102年為60-64歲);65歲以上<br>網路使用率%<br>(102年度年齡級距增加為65歲以上);12-14歲<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);15-20歲<br>電腦使用率%<br>(101年度年齡級距調整為15-19歲)<br>(106年度調整數位機會發展指標，無調查電腦使用率);21-30歲<br>電腦使用率%<br>(101年度年齡級距調整為20-29歲)<br>(106年度調整數位機會發展指標，無調查電腦使用率);31-40歲<br>電腦使用率%<br>(101年度年齡級距調整為30-39歲)<br>(106年度調整數位機會發展指標，無調查電腦使用率);41-50歲<br>電腦使用率%<br>(101年度年齡級距調整為40-49歲)<br>(106年度調整數位機會發展指標，無調查電腦使用率);51-60歲<br>電腦使用率%<br>(101年度年齡級距調整為50-59歲)<br>(106年度調整數位機會發展指標，無調查電腦使用率);61歲以上<br>電腦使用率%<br>(101年度年齡級距調整為60歲以上,102年為60-64歲)<br>(106年度調整數位機會發展指標，無調查電腦使用率);65歲以上<br>電腦使用率%<br>(102年度年齡級距增加為65歲以上)<br>(106年度調整數位機會發展指標，無調查電腦使用率);新北市<br>網路使用率%<br>(99年度前為臺北縣);臺北市<br>網路使用率%;桃園市<br>網路使用率%<br>(103年度前為桃園縣);臺中市<br>網路使用率%;臺南市<br>網路使用率%;高雄市<br>網路使用率%;宜蘭縣<br>網路使用率%;新竹縣<br>網路使用率%;苗栗縣<br>網路使用率%;彰化縣<br>網路使用率%;南投縣<br>網路使用率%;雲林縣<br>網路使用率%;嘉義縣<br>網路使用率%;屏東縣<br>網路使用率%;澎湖縣<br>網路使用率%;花蓮縣<br>網路使用率%;臺東縣<br>網路使用率%;基隆市<br>網路使用率%;新竹市<br>網路使用率%;嘉義市<br>網路使用率%;金門縣<br>網路使用率%;連江縣<br>網路使用率%;臺中縣網路使用率%<br>(100年度後併臺中市);臺南縣<br>網路使用率%<br>(100年度後併臺南市);高雄縣<br>網路使用率%<br>(100年度後併高雄市);新北市電腦使用率%<br>(99年度前為臺北縣);臺北市<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);桃園市<br>電腦使用率%<br>(103年度前為桃園縣)<br>(106年度調整數位機會發展指標，無調查電腦使用率);臺中市<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);臺南市<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);高雄市<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);宜蘭縣<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);新竹縣<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);苗栗縣<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);彰化縣<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);南投縣<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);雲林縣<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);嘉義縣<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);屏東縣<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);澎湖縣<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);花蓮縣<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);臺東縣<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);基隆市<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);新竹市<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);嘉義市<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);金門縣<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);連江縣<br>電腦使用率%<br>(106年度調整數位機會發展指標，無調查電腦使用率);臺中縣<br>電腦使用率%<br>(100年度後併臺中市)<br>(106年度調整數位機會發展指標，無調查電腦使用率);臺南縣<br>電腦使用率%<br>(100年度後併臺南市)<br>(106年度調整數位機會發展指標，無調查電腦使用率);高雄縣<br>電腦使用率%<br>(100年度後併高雄市)<br>(106年度調整數位機會發展指標，無調查電腦使用率)",國家發展委員會
CNS11643中文標準交換碼全字庫(簡稱全字庫),5961,zip壓縮檔，內容包含全字庫字型、屬性資料及中文碼對照表三部分，其中全字庫字型提供明體、正宋體及正楷體3種；屬性資料則涵蓋注音、倉頡、筆畫、部首、拼音、部件及筆順等7種；中文碼對照表則提供BIG5、Unicode、電信碼、地政自造字、財稅內碼、稅務碼及工商自造字等7種中文內碼對照。,名稱;所屬;類別;說明,國家發展委員會
iTaiwan中央行政機關室內公共區域免費無線上網熱點查詢服務,5962,行政院及所屬各級機關(構、全國各地方縣市政府為提升為民服務品質及滿足民眾外出活動或洽公等候的連網需求， 於各地選定部分機關(構)對外開放的室內公共區域，設置逾6千餘個WiFi熱點，包含洽公場所、旅遊景點、交通運輸節點、文教館所、公立醫院等，提供民眾免費無線上網基本資訊服務。本服務提供條件查詢功能，民眾可利用四項篩選條件(提供機關、關鍵字、縣市別、場所別)查詢熱點，並下載熱點查詢結果(主管機關、地區、熱點名稱、地址、緯度及經度)，找到iTaiwan免費無線上網服務公共場所。,主管機關;地區;熱點名稱;地址;緯度;經度;SITE_ID;AGENCY;NAME;ADDR;LATITUDE;LONGITUDE,國家發展委員會
景氣指標及燈號,6099,景氣指標、景氣對策信號(燈號及綜合判斷分數),Date;領先指標綜合指數;領先指標不含趨勢指數;同時指標綜合指數;同時指標不含趨勢指數;落後指標綜合指數;落後指標不含趨勢指數;景氣對策信號綜合分數;景氣對策信號;外銷訂單動向指數(以家數計);貨幣總計數M1B(百萬元);股價指數(Index1966=100);工業及服務業受僱員工淨進入率(%);建築物開工樓地板面積(住宅類住宅、商業辦公、工業倉儲)(千平方公尺);名目半導體設備進口(新臺幣百萬元);工業生產指數(Index2016=100);電力(企業)總用電量(十億度);製造業銷售量指數(Index2016=100);批發、零售及餐飲業營業額(十億元);非農業部門就業人數(千人);海關出口值(十億元);機械及電機設備進口值(十億元);失業率(%);製造業單位產出勞動成本指數(2011=100);金融業隔夜拆款利率(年息百分比);全體金融機構放款與投資(10億元);製造業存貨價值(千元),國家發展委員會
臺灣採購經理人指數,6100,製造業採購經理人指數(PMI)、非製造業經理人指數(NMI)之數列資料,Date;PMI;NMI,國家發展委員會
人口推計,6101,未來臺閩地區男、女性及總計之戶籍人口年底單齡高、中、低推估數，此戶籍人口係指居住國內「設有戶籍」之中華民國國民，包含已取得我國戶籍身分之外籍人士，而不包含因工作或讀書在臺居留的外國人。,推估情境;西元年;民國年;性別;總計(人);0歲;1歲;2歲;3歲;4歲;5歲;6歲;7歲;8歲;9歲;10歲;11歲;12歲;13歲;14歲;15歲;16歲;17歲;18歲;19歲;20歲;21歲;22歲;23歲;24歲;25歲;26歲;27歲;28歲;29歲;30歲;31歲;32歲;33歲;34歲;35歲;36歲;37歲;38歲;39歲;40歲;41歲;42歲;43歲;44歲;45歲;46歲;47歲;48歲;49歲;50歲;51歲;52歲;53歲;54歲;55歲;56歲;57歲;58歲;59歲;60歲;61歲;62歲;63歲;64歲;65歲;66歲;67歲;68歲;69歲;70歲;71歲;72歲;73歲;74歲;75歲;76歲;77歲;78歲;79歲;80歲;81歲;82歲;83歲;84歲;85歲;86歲;87歲;88歲;89歲;90歲;91歲;92歲;93歲;94歲;95歲;96歲;97歲;98歲;99歲;100歲及以上,國家發展委員會
0-0 都市及區域發展統計彙編,6102,提供研究都市及區域發展參考資料，蒐集有關機關調查統計進行彙整，包括人口、教育、就業、土地、保育及觀光發展、生活品質與建設、家庭收支、政府財政等8大類,年度;名稱;檔案連結,國家發展委員會
0-1 都市及區域發展指標,6325,都市及區域發展指標,年;地區;土地面積;年底人口數;年底戶數;戶量;人口密度,國家發展委員會
1-1 土地面積、戶數、人口數、人口密度、年齡結構及扶養比例,6326,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部 (https://goo.gl/YqTWia),年;地區;土地面積;年底人口數男性;年底人口數女性;年底人口數;年底戶數;戶量;人口密度;外僑居住人數;年齡0~14歲;年齡0~14歲百分比;年齡15~64歲;年齡15~64歲百分比;年齡65歲以上;年齡65歲以上百分比;扶養百分比,國家發展委員會
1-2 土地面積、戶數、人口數、人口密度、年齡結構及扶養比例按主要都市分,6327,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部 (https://goo.gl/YqTWia),年;地區;土地面積;年底人口數;年底戶數;戶量;人口密度;0~14歲人數;0~15歲百分比;15~64歲人數;15~64歲百分比;65歲以上人數;65歲以上百分比;扶養百分比,國家發展委員會
1-3 人口成長,6328,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部 (https://goo.gl/YqTWia),年;地區;總增加人數;總增加率;出生人數;出生率;死亡人數;死亡率;自然增加人數;自然增加率;社會增加人數;社會增加率,國家發展委員會
1-4 人口成長按主要都市分,6329,1.都市及區域發展統計彙編係收錄不同機關發布之都市及區域發展經常性統計資料；2.本項資料來源：內政部 (https://goo.gl/YqTWia),年;地區;總增加人數;總增加率;出生人數;出生率;死亡人數;死亡率;自然增加人數;自然增加率;社會增加人數;社會增加率,國家發展委員會
