0-0 都市及區域發展統計彙編,['6102']
0-1 都市及區域發展指標,['6325']
1-1 土地面積、戶數、人口數、人口密度、年齡結構及扶養比例,['6326']
1-2 土地面積、戶數、人口數、人口密度、年齡結構及扶養比例,['6327']
1-3 人口成長,['6328']
1-4 人口成長,['6329']
1-5 農戶與非農戶人口,['6330']
10大類民生商品電子發票價格資訊,['22933']
10萬元以上決標資料,['10353']
2-1 教育程度,['6515']
2-2 各級學校數,['6516']
2-3 托育設施,['95317']
2030雙語國家政策發展藍圖之推動理念、目標及重要策略一覽表,['113769']
228事件人名索引,['56237']
3-1 就業率及就業人口行業分配,['6523']
3-2 失業率及未參與勞動原因人數,['6524']
4-1 都市計畫區面積與人口數,['6489']
4-2 都市計畫區土地使用分區面積,['6490']
4-3 非都市土地使用分區面積,['6491']
4-4 非都市土地使用編定面積,['6492']
5-1 國家公園設置情形,['6494']
5-2 自然保留區及野生動物保護區設置情形,['6495']
5-3 國家風景特定區設置情形,['6496']
5-4 國家重要濕地,['95318']
5-5 觀光旅館分布,['6501']
5大創新研發計畫-以創新驅動台灣產業成長動能,['46090']
6-1-1 歷年住宅投資,['6506']
6-1-2 住宅狀況,['6508']
6-1-3 住宅支出,['6507']
6-1-4 房屋營建工程面積-使用執照,['6698']
6-1-4 房屋營建工程面積-建照執照,['6699']
6-1-5 工業區開發,['6700']
6-2-1 每萬人享有公園綠地面積,['95319']
6-2-2 空氣污染之測定結果,['6510']
6-2-3 垃圾清運處理狀況,['6511']
6-2-4 重要河川污染情形,['6512']
6-2-5 污水處理率,['6513']
6-3-1 公路長度與面積,['6499']
6-3-2 交通費用、汽車數及機車數,['6500']
6-4-2 數位設備普及率,['95320']
6-5-1 醫師數及病床數,['6503']
6-5-2 老人長期照護、養護及安養機構,['6505']
6-6-1 水資源開發建設-主要水庫壩堰,['6493']
6-6-2 自來水普及率及用水量,['6497']
6-7-1 文化資產統計,['95321']
6-7-2 藝文展演活動統計,['6517']
6-8-1 用電量,['6498']
7-1 平均每戶全年經常性收入及支出,['6520']
7-2 平均每戶可支配所得、消費支出及儲蓄,['6521']
8-1 各縣市政府歲入決算數,['6518']
8-2 各縣市政府歲出決算數,['6519']
APEC EoDB研討會我國成功經驗分享-APEC 2016 Ease of Doing Business Workshop：One-Stop Shops Improve the Business Environment,['34013']
APEC Human Resources Working Group (HRDWG)會議相關資料,['31523']
CNS11643中文標準交換碼全字庫(簡稱全字庫),['5961']
GES/GS Taipei Workshop 議程及手冊,['57155']
New Highlight for Investing in Taiwan-FEPZs,['27766']
TaiSi Investment Program Introduction,['31639']
Taiwan Statistical Data Book,['22120']
Taiwan's Free Economic Pilot Zones,['27764']
The Asian Silicon Valley Development Plan Introduction,['43368']
Web公文製作系統電子報,['33071']
