1級竹林產業_生產原物料供應商,一級竹林產業_生產原物料供應商,38187,提供資料包含：公司名稱、地址、電話、主要項目、級別、備註等欄位資料。,公司名稱;地址;電話;主要項目;級別;備註,行政院農業委員會
250個農村再生社區範圍圖,101年度250個農村再生社區範圍圖,103770,提供水保局所轄101年度250個農村再生社區範圍圖shp下載檔案，包含NEW(最新村里代碼)、VILL(村里)、FULL(全名)、HOUSEHOLD(戶數)、MALE(男性人口數)、FEMALE(女性人口數)、CENSUS(總人口數)、IN(遷入數)、OUT(遷出數)、代碼、社區名、縣市、鄉鎮市(鄉鎮市區)、村里、縣市鄉(縣市鄉鎮)、社區、參考值、AREA(面積)、LEN(週長)等欄位資料,檔案名稱;下載連結,行政院農業委員會
2級竹林產業_加工產品製造商,二級竹林產業_加工產品製造商,38188,提供資料包含：公司名稱、地址、電話、主要項目、級別、備註等欄位資料。,公司名稱;地址;電話;主要項目;級別;備註,行政院農業委員會
3級竹林產業_行銷產品推廣商,三級竹林產業_行銷產品推廣商,38189,提供資料包含：公司名稱、地址、電話、主要項目、級別、備註等欄位資料。,公司名稱;地址;電話;主要項目;級別;備註,行政院農業委員會
633個農村再生社區範圍圖,105年度633個農村再生社區範圍圖,99875,提供水保局所轄105年度633個農村再生社區範圍圖shp下載檔案，包含縣市(縣市)、村里(村里)、鄉鎮(鄉鎮)、社區Name(社區名稱)、Code(編碼)等欄位。,檔案名稱;下載連結,行政院農業委員會
65區特定水土保持區範圍圖,107年度65區特定水土保持區範圍圖,106894,提供107年度65區特定水土保持區範圍圖shp下載檔案，包含CLASS(類型)、ANC_AREA(特定水土保持區)、MGR_UNIT(管理機關)、ANC_DATE(日期)、SWCB_PLAN(水土保持區劃定計畫)、AREA(面積)、AREA_1(地理面積)、FID_(圖資產製順序編號)、CITY(縣市)、AREA_HA(面積)、項次(項次)等欄位資料。,檔案名稱;下載連結,行政院農業委員會
67區特定水土保持區範圍圖,106年度67區特定水土保持區範圍圖,96822,提供106年度67區特定水土保持區範圍圖,檔案名稱;下載連結,行政院農業委員會
6龜濕地蛙類聲景錄音檔,六龜濕地蛙類聲景錄音檔,15876,資料提供包括：錄音時間、檔案序號、頻譜圖檔案路徑、聲音檔案路徑、錄音設備代號、觀測點在資料庫的編號等欄位資訊。,record_time;sound_id;spectrum_path;sound_path;record_device_id;point_id,行政院農業委員會
714個農村再生社區範圍圖,106年度714個農村再生社區範圍圖,99791,106年度714個農村再生社區範圍圖shp下載檔案，包含OBJECTID(圖資物件編碼)、Location(坐落區位)、Source(來源)、Confirm_(是否展示)、年度、縣市、村里、社區名、編碼、NOTE(備註)、漁村(是否)、原住民E(原住民鄉)、國家公E(國家公園)、都市計E(都市計畫)、鄉鎮、休閒農E(休閒農業)、是否跨E(是否跨區)、系統更E(系統更新)、農產業E(農產業區)、客家發E(客家發展)、經營專E(經營專區)、偏遠地E(偏遠地區)、離島地E(離島地區)、有無重E(有無重點)、跨村里(是否)、農村好(農村好讚)、農村英(農村英雄)、跨域社(跨域社區)、核定年、SWCBHUB_Ve(水保局hub值)、Shape_Leng(圖型週長)、Shape_Area(面積)等欄位,檔案名稱;下載連結,行政院農業委員會
71區特定水土保持區範圍圖,105年度71區特定水土保持區範圍圖,31118,提供公告全臺特定水土保持區圖層_TWD97shp下載檔案，內容包含TYPES(類型)、SCALE(資料比例尺)、LEG_NAME(法令名稱)、DATE(日期)、AREA(刪除)、NAME(名稱)、ORGAN(主管機關)、TIME(資料日期)等欄位。,檔案名稱;下載連結,行政院農業委員會
7星農田水利會灌溉水質監測結果,七星農田水利會灌溉水質監測結果,35484,工作站、監視點編號、監視點名稱、採樣日期、檢驗日期、項目、水溫、pH值、電導度(EC)、溶氧(DO)、懸浮固體(SS)、氯化物(CL-)、硫酸鹽(SO42-)、總氮量(T-N),名稱;連結,行政院農業委員會
811個農村再生社區範圍圖,107年度811個農村再生社區範圍圖,99121,提供水保局所轄107年度811個農村再生社區範圍圖shp下載檔案，包含Location(坐落區位)、Source(來源)、年度(民國年度)、縣市(縣市)、村里(村里)、NOTE(註記)、鄉鎮(鄉鎮)、面積(面積)、CM_ID(CM編號)、社區Name(社區名稱)、Code(編碼)等欄位。,檔案名稱;下載連結,行政院農業委員會
ADS航空攝影記錄及影像分布檔,ADS航空攝影記錄及影像分布檔,40655,提供資料包含：年度、連結等欄位資料。,年度;連結,行政院農業委員會
ATM裝設紀錄資料,ATM裝設紀錄資料,62929,提供資料包含：檔案名稱、連結、更新日期等欄位資訊。,ReportName;LinkUrl;CDate,行政院農業委員會
CAS最新通過與終止,CAS最新通過與終止,43389,提供資料包含：公告主旨、公告內容等欄位資料。,Marst_Title;Marst_Content,行政院農業委員會
CAS產品查詢,CAS產品查詢,43388,資料提供包括:標章編號、廠商名稱、地址、電話、傳真、負責人、產品類別、產品種類、產品名稱等欄位資料。,Emblem_ID;Factory_CName;Factory_Address;Factory_Tel;Factory_Fax;Factory_Director;Material_Name;PType_Name;Product_Name,行政院農業委員會
CAS產品檢驗結果一覽表,CAS產品檢驗結果一覽表,13746,提供資料包含：抽驗年月、驗證項目、生產廠商名稱、產品名稱、有效日期（包裝日期）、檢驗結果、備註等欄位資料。,抽驗年月;驗證項目;生產廠商名稱;產品名稱;有效日期包裝日期;檢驗結果;備註,行政院農業委員會
DMC航空攝影記錄及影像分布檔,DMC航空攝影記錄及影像分布檔,40654,提供資料包含：年度、連結等欄位資料。,年度;連結,行政院農業委員會
N年內及目前月份經營概況趨勢統計分析,N年內及目前月份經營概況趨勢統計分析,64250,提供資料包含：檔案名稱、連結、更新日期等欄位資訊。,ReportName;LinkUrl;CDate,行政院農業委員會
N年內及目前月份經營統計資料,N年內及目前月份經營統計資料,64171,提供資料包含：檔案名稱、連結、更新日期等欄位資訊。,ReportName;LinkUrl;CDate,行政院農業委員會
UAV空拍正射影像圖磚,UAV空拍正射影像圖磚,107506,蒐集UAV空拍影像，經地理定位與正射處理發布，建立UAV空拍正射影像圖磚提供應用系統介接。,Id;AccessURL;Title;ProjectNo;ProjectName;Date;Class,行政院農業委員會
i35愛生物蝴蝶調查資料集,i35愛生物蝴蝶調查資料集,24881,資料提供包括：採集編號、採集時間、經度、緯度、採集人編號、採集人名、簡易分類編號、簡易分類名稱、中文學名、中文科名等欄位資訊。,rid;collcet_time;lon;lat;Collector_id;Collector;ez_id;ez_name;genus_infra;fam,行政院農業委員會
