5大銀行存放款利率歷史月資料,['10359']
5大銀行新承做放款金額與利率,['6551']
「ATM位置」查詢一覽表,['24333']
「國際卡在台提款-ATM位置」查詢一覽表,['24361']
「國際卡在台提款-ATM台數縣市分佈」統計(月報),['24368']
「國際卡在台提款-交易值」統計(月報),['24363']
「國際卡在台提款-交易區域分佈(北/中/南/東)」結構比統計(月報),['24366']
「國際卡在台提款-交易時間帶分佈」結構比統計(月報),['24364']
「國際卡在台提款-交易縣市分佈」結構比統計(月報),['24367']
「國際卡在台提款-交易類別(餘額查詢/提款)」結構比統計(月報),['24365']
「外幣結算平台-交易值」統計(月報),['24358']
「外幣結算平台-交易時間帶分佈」結構比統計(月報),['24359']
「外幣結算平台-金融機構屬性(本國銀行/外商銀行)」結構比統計(月報),['24360']
「總分支機構位置」查詢一覽表,['24323']
「跨行通匯-交易值」統計(月報),['24343']
「跨行通匯-交易區域分佈(北/中/南/東)」結構比統計(月報),['24347']
「跨行通匯-交易時間帶分佈」結構比統計,['24344']
「跨行通匯-交易縣市分佈」結構比統計(月報),['24348']
「跨行通匯-總分支機構數縣市分佈」統計,['24349']
「跨行通匯-金融機構屬性(本國銀行/外商銀行/合作社/農會)」結構比統計(月報),['24346']
「金融卡-ATM台數縣市分佈」統計,['24357']
「金融卡-交易值」統計(月報),['24350']
「金融卡-交易區域分佈(北/中/南/東)」結構比統計(月報),['24355']
「金融卡-交易時間帶分佈」結構比統計(月報),['24352']
「金融卡-交易縣市分佈」結構比統計(月報),['24356']
「金融卡-交易類別(餘額查詢/提款/轉帳/繳費/繳稅)」結構比統計(月報),['24353']
「金融卡-金融機構屬性(本國銀行/外商銀行/合作社/農會)」結構比統計(月報),['24354']
中央公債之發行、償還及未償還餘額表,['9465']
中央公債交易商名單,['9473']
中央公債得標行業分析表,['9466']
中央公債持有對象分析表,['9467']
中央公債標售概況表,['7234']
中央公債經理體系,['10744']
中央公債還本付息概況表,['13761']
中央印製廠會計報表,['18842']
中央印製廠決算報表,['18640']
中央印製廠預算報表,['13408']
中央存款保險公司資產負債統計表,['10782']
