資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
103年地方公職人員選舉投開票所設置地點,9522,地方公職人員選舉投開票所設置地點,,中央選舉委員會
中央選舉委員會辦理政策宣導廣告,11886,中央選舉委員辦理政策宣導相關廣告執行情形表,機關(單位)<br>名 稱;宣導類型;宣導計畫 (主要內容);刊登及播出<br>時 間;刊登及播出<br>次 數;托播對象;金 額;機關單位名稱;宣導計畫主要內容;機關名稱,中央選舉委員會
中央選舉委員會預算案,11889,中央選舉委員會預算,檔案名稱;下載連結網址,中央選舉委員會
選舉資料庫(含選舉區資料),13119,各種選舉概況、政黨及候選人得票情形,檔案名稱;下載連結網址,中央選舉委員會
中央選舉委員會決算,20460,決算書表,檔案名稱;下載連結網址,中央選舉委員會
政黨競選費用補助金,20920,選舉政黨競選費用補助金,政黨名稱;政黨得票數（單位：票）;補助金額（單位：新臺幣元）,中央選舉委員會
中央選舉委員會計月報,21327,年度會計月報,檔案名稱;下載連結網址,中央選舉委員會
中央選舉委員會資料開放諮詢小組會議紀錄,25318,中央選舉委員資料開放諮詢小組會議紀錄,檔案名稱;下載連結網址,中央選舉委員會
105年區域立法委員選舉區,25463,105年總統副總統及立法委員選舉區,,中央選舉委員會
105年總統副總統及立法委員選舉投開票所,25873,查詢所有投開票所(一般/原住民)資料,,中央選舉委員會
105年總統副總統及立法委員選舉公辦政見會,26173,公辦政見會(總統副總統、區域立委、山地原住民及平地原住民立委),,中央選舉委員會
105年總統副總統及立法委員選舉公報(URL),26367,105年總統副總統及立法委員候選人選舉公報(URL),,中央選舉委員會
中央選舉委員會法定預算,27472,年度法定預算,檔案名稱;下載連結網址,中央選舉委員會
選舉人數,27491,選舉人數,檔案名稱;下載連結網址,中央選舉委員會
中央選舉委員會盤點資料表,27647,中央選舉委員會已開放盤點資料表,序號;系統、資料庫名稱;系統、資料庫描述;使用對象：1.內部使用。2.提供民眾使用。3.跨機關使用。;蒐集資料項目(控制欄位免列);資料分類：甲類:開放資料、乙類:有限度利用資料、丙類:不開放資料;現況；1.免費使用、2.免費申請、3.收費;不能開放之理由(含法規依據);已開放 / 預定開放日期;管理單位;備註;分類,中央選舉委員會
選務資料開放與整合行動策略,27662,選務資料開放與整合行動策略,檔案名稱;下載連結網址,中央選舉委員會
