人民申請政府資訊案件統計,['90260']
個人資料項目表,['33341']
全國性公民投票計票結果,['95883']
全國性公民投票資料,['117312']
全國性公民投票連署查對結果,['97564']
區域立法委員選舉區,"['25463', '114715']"
地方公職人員選舉區,['91474']
地方公職人員選舉投開票所,['95774']
地方公職人員選舉投開票所設置地點,['9522']
大事紀,['33336']
政府資料開放行動方案,['120829']
政黨競選費用補助金,['20920']
政黨連坐處罰資料,['33338']
施政計畫,['33335']
決算,['20460']
法定預算,['27472']
盤點資料表,['27647']
總統副總統及立法委員候選人資料(URL),['116044']
總統副總統及立法委員選舉公報(URL),['26367']
總統副總統及立法委員選舉公辦政見會,"['26173', '115906']"
總統副總統及立法委員選舉投開票所,"['25873', '115902']"
總統副總統選舉-年齡層選舉人人數統計表,['28485']
總統副總統選舉選舉人性別投票統計表,['28495']
計月報,['21327']
資料開放諮詢小組會議紀錄,['25318']
辦理政策宣導廣告,['11886']
選務資料開放與整合行動策略,['27662']
選舉人性別統計資料檔,['33334']
選舉人數,['27491']
選舉大事紀(選舉摘要),['33337']
選舉裁罰案件統計表,['33340']
選舉資料庫(含選舉區資料),['13119']
預算案,['11889']
