15-29歲青年勞工就業狀況調查,"['9565', '120009']"
NTQP得獎名單,['21214']
TTQS企業機構版評核結果,['106662']
TTQS訓練機構版評核結果,['106663']
TTQS評核服務家次,"['106659', '106664']"
TTQS認證單位名單,['41723']
TTQS輔導服務時數,['106661']
talent期刊,['8174']
「即測即評及發證檢定」之承辦單位資料,['10102']
主管勞動業務財團法人名冊,['11214']
事業單位團體協約份數,"['40143', '40144']"
人力需求增減情形,['9316']
人民申請提供政府資訊案件統計,['106941']
人民申請案件時限一覽表,['42776']
仲介本國人在國內工作之私立就業服務機構資料,['6618']
企業工會及產業工會之工會數及工會會員人數,"['40138', '40139']"
企業托兒與哺(集)乳室資訊網-各地方勞工行政主管機關聯絡方式,['41633']
作業環境監測-機構-認可之辦理勞工作業環境監測及暴露評估訓練機構,['41458']
作業環境監測機構-認可之作業環境監測機構名單,['52287']
依職業災害勞工保護法第10條辦理歷年職業災害預防及職業災害勞工職業重建補助情形,['26776']
促進青年就業方案執行成效,['30929']
保有個人資料檔案公開項目彙整表,['11218']
保險費負擔比例一覽表,['40324']
僑外生工作許可核發國家排行統計資訊(前十名),['41733']
僱用管理就業平等概況調查,['127373']
僱用管理性別平等概況調查,['9820']
免繳就業安定費人數及資格分布,['73207']
全國執行定額進用義務機關(構)統計表,['45230']
全國庇護工場名冊,['42815']
全民勞教e網課程,['6643']
全球就業平等法治概況,['40183']
公告修正「申請聘僱外國人從事家庭看護工作之專業評估被看者醫療機構」,['6608']
初任人員每人每月經常性薪資,['6647']
勞、就保保險費繳款單補單方式,['14260']
勞保、就保爭議審議案件結案情形統計表,['27383']
勞保各類續保人員投保人數統計,['13323']
勞保局「個人網路申報及查詢作業」功能簡介,['40326']
勞保局「個人網路查詢作業」洽詢電話分機一覽表,['48740']
勞保局「投保單位網路申報及查詢作業」功能簡介,['44053']
勞保局出版品,['6408']
勞保局各地辦事處,['6061']
勞保局各組室主要職掌,['37860']
勞保局委託研究計畫,['11236']
勞保局性別統計指標,['39540']
勞保局招標資訊,['42770']
勞保局政策宣導廣告動支情形,['42768']
勞保局新投保單位及投保單位新承辦人業務說明會,['43726']
勞保局最新消息,['39541']
勞保局服務事項,['40327']
勞保局服務電話,['45577']
