0800資源回收免費服務專線-專人處理一般件問題查詢事業廢棄物統計,['45161']
0800資源回收免費服務專線-專人處理一般件問題查詢廢乾電池、照明光源統計,['45157']
0800資源回收免費服務專線-專人處理一般件問題查詢廢容器統計,['45155']
0800資源回收免費服務專線-專人處理一般件問題查詢廢機動車輛統計,['45154']
0800資源回收免費服務專線-專人處理一般件問題查詢廢資訊物品統計,['45156']
0800資源回收免費服務專線-專人處理一般件問題查詢廢輪胎、鉛蓄電池統計,['45164']
0800資源回收免費服務專線-專人處理一般件問題查詢廢電子電器統計,['45153']
0800資源回收免費服務專線-專人處理一般件問題查詢活動統計,['45159']
0800資源回收免費服務專線-專人處理一般件問題查詢非公告應回收廢棄物類統計,['45158']
0800資源回收免費服務專線-專人處理一般件問題查詢非業務範圍統計,['45160']
0800資源回收免費服務專線-整體話務達成狀況統計,['45162']
0800資源回收免費服務專線-民眾通報路邊廢車統計表,['45163']
2仁溪污染整治小組及再生願景聯繫會報,['35098']
2氧化碳-小時值-每小時,['34521']
6輕相關計畫環境監測資料,['34851']
6輕相關計畫環評監督委員會會議紀錄,['34913']
APEC Ocean and Fisheries Working Group (OFWG),['47262']
BTEX監測小時值(每日更新),['34828']
CO_8hr平均值(每日提供17筆),['91086']
EPQSummary_Air,['37200']
EPQSummary_EnvironmentalEducation,['37201']
EPQSummary_EnvironmentalHealth,['37202']
EPQSummary_EnvironmentalImpactAssessment,['37203']
EPQSummary_EnvironmentalInformationSystem,['37204']
EPQSummary_EnvironmentalMonitoringAndTesting,['37205']
EPQSummary_InternationalIssues,['37194']
EPQSummary_ManagementOfToxicSubstances,['37195']
EPQSummary_NoiseAndVibration,['37196']
EPQSummary_Other,['37206']
EPQSummary_PublicNuisanceDispute,['37207']
EPQSummary_RegionalEnvironmentalManagement,['37230']
EPQSummary_SoilAndGroundwater,['37208']
EPQSummary_WasteManagement,['37209']
EPQSummary_WaterQualityProtection,['37210']
Environmental Policy Monthly,['9049']
PM10小時值(每小時提供),['91088']
PM10日均值(每日提供),['91089']
PM2.5化學成分監測數據,['100629']
PM2.5日均值(每日提供),['91090']
「資料開放諮詢小組」委員名單,['27302']
「資料開放諮詢小組」會議紀錄,['27554']
「資料開放諮詢小組」會議資料,['29279']
一般廢棄物回收率指標資料,['34942']
一般廢棄物最終處置前組成分析資料,['34650']
一般廢棄物清理情況資料,['89022']
一般民眾環境教育終身學習護照註冊及開通人數,['35157']
不法利得宣導資料,['34843']
不良日數月報表,['34740']
中油3輕環境監測資料,['34849']
中油3輕環評監督委員會會議紀錄,['34911']
中科后里環境監測資料,['34850']
中科后里環評監督小組會議紀錄,['34912']
主要水庫優養指數,['89037']
乾電池汞、鎘含量確認文件資料,['35374']
事業廢棄物共同清除、處理機構許可資料,['34630']
事業廢棄物再利用機構資料,['34954']
事業廢棄物再利用申報量統計,['34917']
事業廢棄物境外輸出申報量統計,['34920']
事業廢棄物委託或共同處理申報量統計,['34919']
事業廢棄物申報境外處理之實際輸出入量統計,['8829']
事業廢棄物申報流向統計,['8811']
事業廢棄物申報統計,['89044']
事業廢棄物申報量依物種統計,['8827']
事業廢棄物申報量依製造程序統計,['8828']
事業廢棄物自行處理申報量統計,['34918']
事業廢棄物輸出/輸入申報量統計,['34626']
事業廢棄物進行再利用項目統計,['8830']
事業機構及處理/再利用機構位置圖,['16058']
交通事業廢棄物再利用機構資料,['34949']
交通噪音監測站位置圖,['6378']
交通空氣品質監測站基本資料,['91091']
低關注聚合物事前審定表單,['34946']
使用中機動車輛噪音檢驗之場所表,['34933']
使用中機動車輛噪音資料-柴油車,['47250']
使用中機動車輛噪音資料-機車,['47248']
使用中機動車輛噪音資料-汽油車,['47249']
光化測站(土城)小時值資料,['34270']
光化測站(小港)小時值資料,['34274']
光化測站(忠明)小時值資料,['34276']
光化測站(朴子)小時值資料,['34266']
光化測站(橋頭)小時值資料,['34273']
光化測站(潮州)小時值資料,['34275']
光化測站(臺南)小時值資料,['34272']
光化測站(臺西)小時值資料,['34271']
光化測站(萬華)小時值資料,['34269']
光化測站基本資料,['34267']
光化測站小時值資料,['24944']
全國一般廢棄物產生量,['89039']
全國一般廢棄物處理量,['89041']
全國優質環保示範區資料,['30777']
全國公廁建檔資料,['30794']
全國各縣市之責任業者列管家數統計,['28206']
全國各縣市清潔隊資料,['6360']
全國土壤及地下水污染場址筆數及面積統計,['35094']
全國場址公告與解列情形統計表,['30779']
全國場址新增列管及解列統計表,['30780']
全國場址更新率統計報表,['30781']
全國場址目前改善與整治進度,['30778']
全國工業區年度備查案件狀態統計表,['35377']
全國年度例行性計畫成果統計表 (摘要),['30782']
全國年度例行性計畫成果統計表(詳情),['30783']
全國模範清潔人員名單,['30775']
全國細懸浮微粒手動監測資料,['6343']
全國飲用水水源水質保護區範圍圖,['6377']
公告事業廢棄物清運機具資料,['16023']
公告列管材質回收率統計資料,['8997']
公告應回收廢物品及容器回收量,['89047']
公告應回收項目之責任業者列管家數統計,['28205']
公告應回收項目之責任業者列管資料,['28207']
公告應回收項目之責任業者申報營業量或進口量年總量資料,['28208']
公告毒性化學物質及其毒性分類,['30786']
公告飲用水水質處理藥劑,['104049']
公害糾紛督導處理小組組織規程,['34897']
公害糾紛處理法,['34841']
公害糾紛處理法施行細則,['34842']
公害糾紛裁決委員會委員名單,['35170']
公害糾紛裁決書,['34883']
公害鑑定單位資料,['16030']
公害陳情上半年度統計分析報告,['34939']
公害陳情年度統計分析報告,['34940']
公害陳情案件分佈位置圖,['6390']
公害陳情案件數,['89048']
公害陳情警示區域範圍圖,['6392']
公文歸檔案件統計表,['35568']
公文統計資料,['34943']
公文線上簽核比率表,['35567']
公民營廢棄物丙級清除機構許可資料,['34846']
公民營廢棄物乙級清除機構許可資料,['34845']
公民營廢棄物乙級處理機構許可資料,['34839']
公民營廢棄物清除機構數,['45141']
公民營廢棄物清除機構資料,['6363']
公民營廢棄物甲級清除機構許可資料,['34844']
公民營廢棄物甲級處理機構許可資料,['34847']
公民營廢棄物處理機構數,['45142']
公民營製造業、用水、電力及燃氣供應業污染防治支出,['16021']
公私場所參數檔彰化縣EPB,['34518']
共通性事業廢棄物再利用機構資料,['127250']
其他環境影響評估書件專案小組審查會議紀錄,['34904']
再生粒料毒性特性溶出試驗結果,['89546']
再生資源申報量統計,['8825']
列管事業污染源裁處資料,['34101']
列管公共污水下水道名單,['31965']
列管公廁個數,['45143']
列管工業區下水道名單,['35083']
列管毒性化學物質已取得許可業者查核家次,['45104']
列管毒性化學物質毒理資料,['6354']
列管污染源基本資料發布,['6362']
列管社區下水道名單,['30784']
前瞻基礎建設計畫特別預算,['72348']
前瞻基礎建設計畫特別預算會計月報,['71341']
包裝及盛裝飲用水水源水質抽驗結果,['6357']
包裝及盛裝飲用水水源水質抽驗資料,['28180']
化學物質資料及登錄申請表,['34958']
區域性地下水水質測站位置圖,['6376']
區域性地下水水質監測井基本資料,['6394']
區域性地下水水質監測資料,['6348']
協助地方辦理非法棄置廢棄物案件債權保全追蹤運作程序,['34892']
南投縣水量水質自動監測連線傳輸監測紀錄值即時資料集,['35114']
南投縣重要環保統計資料,['9128']
南科樹谷環境監測資料,['34856']
南科樹谷環評監督委員會會議紀錄,['34910']
台灣地區垃圾處理場(廠)互惠緊急支援要點,['35232']
台灣產品碳足跡資訊,['8992']
各事業廢棄物代碼申報流向統計,['35016']
各公告類別事業廢棄物再利用申報量統計,['34921']
各公告類別事業廢棄物境外輸出申報量統計,['34924']
各公告類別事業廢棄物委託或共同處理申報量統計,['34923']
各公告類別事業廢棄物自行處理申報量統計,['34922']
各公告類別申報事業廢棄物流向統計,['8806']
各工廠空氣污染物排放資料,['9844']
各月份場址更新率統計報表,['30787']
各級環保單位歲出決算,['89019']
各縣市事業廢棄物依處理方式區分統計,['8809']
各縣市事業廢棄物清除處理機構家數統計,['8826']
各縣市事業廢棄物申報流向統計,['8808']
各行業別申報事業廢棄物量統計,['8807']
單位決算,['31987']
單位預算案,['31988']
嘉義市重要環保統計資料,['9139']
嘉義縣水量水質自動監測連線傳輸監測紀錄值即時資料集,['35116']
嘉義縣重要環保統計資料,['9140']
噪音受理檢舉每月平均,['91061']
噪音實收罰鍰,['45150']
噪音監測站資料,['28185']
噪音稽查次數,['45148']
噪音罰鍰次數,['45149']
噪音陳情案件數(依年度),['28186']
噪音陳情案件數(依音源),['28187']
噪音陳情管道,['28184']
因應對策專案小組初審會議紀錄,['34902']
固定污染源-煙道基本參數檔,['35051']
固定污染源CEMS監測數據紀錄值資料集(15分鐘紀錄值),['31969']
固定污染源CEMS監測數據紀錄值資料集(1小時紀錄值),['31970']
固定污染源CEMS監測數據紀錄值資料集(6分鐘紀錄值),['31968']
固定污染源戴奧辛、重金屬(鉛、鎘、汞)及氯化氫排放檢測資料,['45166']
固定污染源空氣污染防制費收費統計,['45165']
固定污染源設置、變更、操作許可申請家數統計,['34832']
國內公害糾紛司法案件資料,['16028']
國內已制訂之碳足跡產品類別規則文件清單,['34741']
國外公害糾紛司法案件資料,['16029']
國際環保新聞週報,['6297']
土壤319公頃_1公頃1採樣點位置圖,['6383']
土壤319公頃_調查區1公頃範圍圖,['6382']
土壤及地下水污染場址位置圖,['8817']
土壤及地下水污染場址列管概況,['89038']
土壤及地下水污染場址基本資料,['6351']
土壤及地下水污染管制區公告資料,['6344']
土壤污染物監測及管制標準,['8991']
土壤污染管制區範圍圖,['6384']
地下水場置性監測井位置圖,['48902']
地下水污染物監測及管制標準,['8993']
地下水污染管制區,['35092']
地方環保局環保實收罰鍰,['89016']
地方環保局環保稽查次數,['89014']
地方環保局環保罰鍰次數,['89017']
地方環保局環保罰鍰金額,['89018']
地球新救援，1起擁有CO2腳ㄚ,['34737']
地面水體分類及水質標準,['35080']
垃圾全分類零廢棄方案第1階段執行計畫,['34893']
垃圾回收清除車輛數,['45139']
垃圾掩埋場位置圖,['6386']
垃圾掩埋場復育場址位置圖,['6387']
垃圾掩埋場操作、維護、管理說明,['34653']
垃圾掩埋場範圍圖,['6388']
垃圾清運(處理)作業安全講習會執行成果,['34931']
垃圾處理場(廠)座數,['45140']
垃圾處理場(廠)統計,['34941']
垃圾車清運路線資料-垃圾不落地(定點收集),['37255']
垃圾車清運路線資料-垃圾不落地(沿線收集),['37256']
垃圾車清運路線資料-未實施垃圾不落地,['46746']
執行機關一般廢棄物產生量,['89040']
執行機關一般廢棄物處理量,['89043']
執行機關資源回收設施統計資料,['47253']
執行機關資源回收量,['89046']
基隆市水量水質自動監測連線傳輸監測紀錄值即時資料集,['35105']
基隆市重要環保統計資料,['9133']
場址列管公文,['30790']
場址勘查紀錄表,['30791']
大型垃圾焚化廠操作營運情形,['89045']
大甲媽祖遶境即時空品監測成果(E-motor),['34748']
大甲媽祖遶境即時空品監測成果(全部),['34749']
大甲媽祖遶境即時空品監測成果(感測器#1),['34745']
大甲媽祖遶境即時空品監測成果(感測器#2),['34746']
大甲媽祖遶境即時空品監測成果(感測器#3),['34747']
宜蘭縣水量水質自動監測連線傳輸監測紀錄值即時資料集,['35120']
宜蘭縣重要環保統計資料,['9125']
室內空品公告場所,['16027']
室內空氣品質公告場所定期檢測結果,['72345']
審核事業或污水下水道系統放流水水質濃度限值處理原則,['35082']
屏東縣水量水質自動監測連線傳輸監測紀錄值即時資料集,['35119']
屏東縣重要環保統計資料,['9129']
巡守隊明細資料,['47261']
工業區污水處理廠分布位置地理圖資,['8818']
工業區燈號分級現況,['9845']
工程會列管重大公共建設計畫,['91080']
已公告之飲用水取水口1定距離一覽表,['8813']
已公告之飲用水水源水質保護區一覽表,['8812']
年度施政計畫,['90392']
年度環境保護人員訓練計畫,['34635']
底泥品質檢測資料,['71474']
底泥申報各類水體數量,['35075']
底泥申報單位數量,['35074']
廚餘堆肥製作DIY,['34628']
廠商獲頒產品數統計(第1類),['16036']
廠商獲頒產品數統計(第2類),['16037']
廢(污)水產生量及排放量,['89033']
廢家具修繕DIY,['34627']
廢棄物實收罰鍰,['45138']
廢棄物稽查次數,['45107']
廢棄物罰鍰次數,['45137']
廢棄物質最終處置資訊網會議資料,['91050']
廢棄物質最終處置資訊網相關新聞,['91051']
廢行動通訊產品回收點資料,['6364']
廢食用油流向清運資料統計(屬事業廢棄物部分),['35017']
建檔公廁明細,"['34867', '34868', '34869', '34872', '34873', '34875', '34878', '34879', '34881']"
建檔公廁明細-南投縣,['34864']
建檔公廁明細-嘉義縣,['34876']
建檔公廁明細-宜蘭縣,['34862']
建檔公廁明細-屏東縣,['34865']
建檔公廁明細-彰化縣,['34877']
建檔公廁明細-新竹縣,['34874']
建檔公廁明細-澎湖縣,['34882']
建檔公廁明細-臺東縣,['34880']
建檔公廁明細-花蓮縣,['34861']
建檔公廁明細-苗栗縣,['34866']
建檔公廁明細-連江縣,['34870']
建檔公廁明細-金門縣,['34863']
建檔公廁明細-雲林縣,['34871']
彰化縣水量水質自動監測連線傳輸監測紀錄值即時資料集,['35113']
彰化縣重要環保統計資料,['9141']
彰濱工業區環境監測資料,['34852']
應列管事業廢棄物產出申報量統計,['34916']
應回收廢棄物(廢乾電池類)回收量資料,['49445']
應回收廢棄物(廢容器類)回收量資料,['35090']
應回收廢棄物(廢機動車輛類)回收量資料,['35133']
應回收廢棄物(廢照明光源類)回收量資料,['35137']
應回收廢棄物(廢輪胎類)回收量資料,['35135']
應回收廢棄物(廢鉛蓄電池類)回收量資料,['35134']
應回收廢棄物(廢電子電器及廢資訊物品類)回收量資料,['35136']
應回收廢棄物(農藥廢容器)回收量資料,['49446']
應回收廢棄物受補貼機構(回收業),['8999']
應回收廢棄物受補貼機構(處理業),['9000']
應回收廢棄物回收業者資料,['6358']
應回收廢棄物回收量資料,['8998']
應回收廢棄物稽核認證行程,['35378']
應回收廢棄物處理業者(廢乾電池類)最大處理量資料,['37213']
應回收廢棄物處理業者(廢家電資訊類)最大處理量資料,['37211']
應回收廢棄物處理業者(廢容器類)最大處理量資料,['37212']
應回收廢棄物處理業者(廢機動車輛類)最大處理量資料,['37216']
應回收廢棄物處理業者(廢照明光源類)最大處理量資料,['37214']
應回收廢棄物處理業者(廢輪胎類)最大處理量資料,['37217']
應回收廢棄物處理業者(廢鉛蓄電池類)最大處理量資料,['37215']
應回收廢棄物處理業者資料,['6359']
應設置資源回收設施之電子電器販賣業者資料,['28204']
我國重要環保統計資料,['7373']
持久性有機污染物斯德哥爾摩公約國家實施計畫成果報告,['30825']
接受民間捐款鼓勵檢舉重大污染案件專案執行要點,['34930']
推動水污染總量管制作業規定,['35079']
推動產品碳足跡標示審議會決議事項,['34744']
推薦機關(薦舉)環境教育人員認證申請書,['34643']
攤商之廢食用油產源基本資料,['46751']
政府資料開放行動計畫,['104215']
政策評估說明書專案小組意見徵詢會議紀錄,['34898']
教育部事業廢棄物再利用機構資料,['47251']
斯德哥爾摩公約出國報告,['34848']
新化學物質及既有化學物質資料登錄辦法英文版,['34957']
新化學物質少量登錄表單,['34960']
新化學物質標準登錄表單,['34964']
新化學物質登錄資訊系統工具(Chemist),['34965']
新化學物質簡易登錄表單,['34961']
新北市水量水質自動監測連線傳輸監測紀錄值即時資料集,['35107']
新北市重要環保統計資料,['9136']
新竹市水量水質自動監測連線傳輸監測紀錄值即時資料集,['35110']
新竹市重要環保統計資料,['9137']
新竹縣水量水質自動監測連線傳輸監測紀錄值即時資料集,['35109']
新竹縣重要環保統計資料,['9138']
新聞剪報,['47247']
日空氣品質指標(AQI),['40507']
日累積雨量(每月更新),['34831']
會計事務處理注意事項,['34631']
會計月報,['20264']
有害事業廢棄物申報量統計,['8810']
有害健康物質之種類,['28172']
柴油新車審驗資料-合格證明,['28177']
柴油新車審驗資料-合格證明函,['28179']
核能1廠、2廠相關計畫環評監督委員會會議紀錄,['34896']
核能1廠用過核燃料中期貯存計畫環境監測資料,['34854']
核能4廠環境監測資料,['34855']
核能4廠環評監督委員會會議紀錄,['34909']
桃園市水量水質自動監測連線傳輸監測紀錄值即時資料集,['35108']
桃園市重要環保統計資料,['9131']
模場試驗專案期末報告電子檔,['35095']
機動車輛測定機構許可資料,['6375']
機動車輛測定機構許可項目資料,['8994']
機車定檢站位置圖,['28188']
機車排氣定檢站資料,['6352']
機車排氣檢驗站執行機車排氣檢驗業務費用,['34738']
機車新車審驗資料,['28183']
機關綠色採購績效評核作業要點,['34905']
