ECFA早收農產品外銷大陸統計表,ECFA早收農產品外銷大陸統計表,43129,ECFA早收農產品外銷大陸統計表,早收農產品項;107年1-9月出口量公噸;106年1-9月出口量公噸;出口量增減公噸;出口量增減比率%;107年1-9月出口值(千美元);106年1-9月出口值(千美元);出口值增減金額千美元;出口值千美元增減比率%,大陸委員會
ECFA服務業早期收穫計畫投資情形-我方赴中國大陸投資統計表,ECFA服務業早期收穫計畫投資情形-我方赴中國大陸投資統計表,43128,ECFA服務業早期收穫計畫投資情形-我方赴中國大陸投資統計表,項目;核准件數;件數成長率%;核准投資金額;金額成長率%,大陸委員會
ECFA服務業早期收穫計畫投資情形-陸資來臺統計表,ECFA服務業早期收穫計畫投資情形-陸資來臺統計表,43127,ECFA服務業早期收穫計畫投資情形-陸資來臺統計表,項目;核准件數;件數成長率%;核准投資金額;金額成長率%,大陸委員會
ECFA貨品貿易早期收穫計畫執行成果-我國對中國大陸出口情形,ECFA貨品貿易早期收穫計畫執行成果-我國對中國大陸出口情形,43124,ECFA貨品貿易早期收穫計畫執行成果-我國對中國大陸出口情形,項目;全部貨品出口值;全部貨品成長率%;早期收穫貨品出口值;早期收穫貨品成長率%;早期收穫貨品估計減免關稅金額,大陸委員會
ECFA貨品貿易早期收穫計畫執行成果-我國自中國大陸進口情形,ECFA貨品貿易早期收穫計畫執行成果-我國自中國大陸進口情形,43125,ECFA貨品貿易早期收穫計畫執行成果-我國自中國大陸進口情形,項目;全部貨品進口值;全部貨品成長率%;早期收穫貨品進口值;早期收穫貨品-成長率%;早期收穫貨品已核准適用優惠關稅金額;早期收穫貨品減免關稅金額,大陸委員會
「政府資料開放諮詢小組」會議簡報,大陸委員會「政府資料開放諮詢小組」會議簡報,31170,本項資料自108年起由大陸委員會「政府資料開放諮詢小組會議紀錄」資料集提供，敬請參閱https://data.gov.tw/dataset/25668。,會議名稱;簡報,大陸委員會
「政府資料開放諮詢小組」會議紀錄,大陸委員會「政府資料開放諮詢小組」會議紀錄,25668,大陸委員會政府資料開放諮詢小組會議紀錄,會議名稱;時間;地點;主席;會議紀錄;簡報,大陸委員會
「海峽兩岸共同打擊犯罪及司法互助協議」成效表,「海峽兩岸共同打擊犯罪及司法互助協議」成效表,43111,「海峽兩岸共同打擊犯罪及司法互助協議」成效表,項次;互助事項;執行情形,大陸委員會
「財團法人海峽交流基金會從業人員薪資處理原則」辦理情形一覽表_海基會,「財團法人海峽交流基金會從業人員薪資處理原則」辦理情形一覽表_海基會,13204,有關海基會從業人員薪資彙整,財團法人名稱;類別;職稱;每月薪資基準 (新臺幣);薪資基準是否報經主管 機關機關核定、備查或行政院核定;財團法人董事長或經理人及其他從業人員之薪資 基準是否均符合 薪資處理原則規 範,大陸委員會
不予採認之醫療法所稱醫事人員相關之大陸地區高等學歷名單,不予採認之醫療法所稱醫事人員相關之大陸地區高等學歷名單,97698,不予採認之醫療法所稱醫事人員相關之大陸地區高等學歷名單,序號;醫事人員;相關之大陸地區高等學歷,大陸委員會
中國大陸人士來臺(各類交流)人數性別統計表,中國大陸人士來臺（各類交流）人數性別統計表,97673,呈現中國大陸人士來臺各類交流人數性別統計表,年度;健檢醫美-男;健檢醫美-女;健檢醫美-合計;專業交流-男;專業交流-女;專業交流-合計;商務交流-男;商務交流-女;商務交流-合計;小三通(往來金、馬、澎)-男;小三通(往來金、馬、澎)-女;小三通(往來金、馬、澎)-合計,大陸委員會
中國大陸人民、無戶籍國民來臺居留、定居人數統計表,中國大陸人民、無戶籍國民來臺居留、定居人數統計表,59277,居留定居人數統計,年度;居留許可<br>人次;定居許可<br>人次;結婚登記數,大陸委員會
中國大陸人民來臺人數,中國大陸人民來臺人數,21823,提供中國大陸人民來臺期間、類別,期<br>間;中國大陸人民來臺人數-經貿交流;中國大陸人民來臺人數年增率-經貿交流;中國大陸人民來臺人數-觀光活動;中國大陸人民來臺人數年增率-觀光活動;中國大陸人民來臺人數-其他交流;中國大陸人民來臺人數年增率-其他交流;中國大陸人民來臺人數合計;中國大陸人民來臺人數合計-年增率,大陸委員會
中國大陸臺校學生人數97-107學年統計,中國大陸臺校學生人數97-107學年統計,57982,臺商學校歷年學生人數,年度;東莞台商子弟學校;華東臺商子女學校;上海台商子女學校,大陸委員會
