ECFA早收農產品外銷大陸統計表,['43129']
ECFA服務業早期收穫計畫投資情形-我方赴中國大陸投資統計表,['43128']
ECFA服務業早期收穫計畫投資情形-陸資來臺統計表,['43127']
ECFA貨品貿易早期收穫計畫執行成果-我國對中國大陸出口情形,['43124']
ECFA貨品貿易早期收穫計畫執行成果-我國自中國大陸進口情形,['43125']
「政府資料開放諮詢小組」會議簡報,['31170']
「政府資料開放諮詢小組」會議紀錄,['25668']
「海峽兩岸共同打擊犯罪及司法互助協議」成效表,['43111']
「財團法人海峽交流基金會從業人員薪資處理原則」辦理情形一覽表_海基會,['13204']
不予採認之醫療法所稱醫事人員相關之大陸地區高等學歷名單,['97698']
中國大陸人士來臺(各類交流)人數性別統計表,['97673']
中國大陸人民、無戶籍國民來臺居留、定居人數統計表,['59277']
中國大陸人民來臺人數,['21823']
中國大陸臺校學生人數97-107學年統計,['57982']
中央機關辦理國家賠償事件收結情形表,['13206']
中程施政計畫,['43170']
主管大陸事務財團法人名冊,['9075']
主管港澳事務財團法人名冊,['42649']
人事費彙計表,['12920']
人民申請提供政府資訊案件統計表,['13200']
以前年度歲出保留數餘額表,['20381']
優先採購身心障礙福利機構團體之物品及服務總金額及比率,['58826']
兩岸交流研(修)訂相關法規_文教交流方面,['9077']
兩岸共同打擊犯罪及司法互助聯絡資訊,['9085']
兩岸協議監督條例6版本草案對照表,['59276']
兩岸大事記,['33247']
兩岸海運直航港口開放情形,['7465']
兩岸空運直航客貨運航點開放情形,['7466']
兩岸簽署投資保障和促進協議後我方送陸方協處機制案件統計表,['43130']
兩岸經濟交流統計速報,['7887']
兩岸經貿申訴服務財產法益方面投訴案件,['9084']
兩岸經香港轉口貿易金額統計表,['7460']
兩岸貿易占外貿比重,['7468']
兩岸貿易統計,['7467']
兩岸輸往歐盟產品市場比較,['7494']
兩岸輸日產品市場比較,['7493']
兩岸輸美產品市場比較,['7492']
兩岸重要經濟指標統計速報,['7888']
兩岸駐點記者資訊服務專區,['121037']
公務員赴陸宣導相關規定,['9083']
公務車輛明細表,['12921']
公告「臺灣地區人民、法人、團體或其他機構，禁止擔任大陸地區黨務、軍事、行政或具政治性機關、團體之職務或為其成員」之事項,['9076']
台灣對香港貿易依賴度統計表,['7461']
各處室內部保有及管理個人資料之項目彙整表,['13201']
各項費用彙計表,['12922']
在臺港澳學生交流活動,['97675']
在臺港澳學生統計數據,['97677']
大陸事務法規彙編,['9087']
大陸人士來臺從事文教交流核准數,['6105']
大陸台商經貿網上網統計,['9081']
