企業關於反托拉斯之遵法行為守則,企業關於反托拉斯之遵法行為守則,10217,企業關於反托拉斯之遵法行為守則,企業關於反托拉斯之遵法行為守則,公平交易委員會
傳銷商人數規模,傳銷商人數規模,9107,截至102年底多層次傳銷傳銷商數之統計,"類別,總計(家數),未及1千人(家數),1千人至未及1萬人(家數),1萬人至未及5萬人(家數),5萬人至未及10萬人(家數),10萬人以上(家數),未及1千人(百分比),1千人至未及1萬人(百分比),1萬人至未及5萬人(百分比),5萬人至未及10萬人(百分比),10萬人以上(百分比)",公平交易委員會
公平交委員會對於企業訂定反托拉斯遵法規章之指導原則,公平交委員會對於企業訂定反托拉斯遵法規章之指導原則,10216,對於企業訂定反托拉斯遵法規章之指導原則,對於企業訂定反托拉斯遵法規章之指導原則,公平交易委員會
公平交易委員-本會保有及管理個人資料,公平交易委員-本會保有及管理個人資料,10227,"公平交易委員-本會保有及管理個人資料(序號,個人資料檔案名稱,保有依據,個人資料類別,保有單位)",公平交易委員-本會保有及管理個人資料,公平交易委員會
公平交易委員各年度半年結算,公平交易委員各年度半年結算,10225,公平交易委員各年度半年結算，自98年起至今。105年度起開始分別有公務及基金兩種結算報告。,年度;標題;下載位置,公平交易委員會
公平交易委員年報,公平交易委員102年年報,10220,公平交易委員102年年報,公平交易委員102年年報,公平交易委員會
公平交易委員施政計畫,公平交易委員103年度施政計畫,10218,公平交易委員103年度施政計畫,公平交易委員103年度施政計畫,公平交易委員會
公平交易委員辦理人民申請提供政府資訊案件統計季報,公平交易委員辦理人民申請提供政府資訊案件統計季報,10221,公平交易委員辦理人民申請提供政府資訊案件統計季報,年月別;本月已辦結之申請提供-政府資訊案件總數(總計);本月已辦結之申請提供-政府資訊案件總數(機關檔案應用);本月已辦結之申請提供政府資訊案件總數(其他政府資訊);申請內容全部核准案件數(合計);申請內容全部核准案件數(機關檔案應用);申請內容全部核准案件數(其他政府資訊);申請內容部分核准案件數(合計);申請內容部分核准案件數(機關檔案應用);申請內容部分核准案件數(其他政府資訊);申請內容全部駁回案件數(合計);申請內容全部駁回案件數(機關檔案應用);申請內容全部駁回案件數(其他政府資訊),公平交易委員會
公平交易委員預算書,公平交易委員104年度預算書,10224,公平交易委員104年度預算書,公平交易委員104年度預算書,公平交易委員會
公平交易季刊(自第25卷起),公平交易季刊(自第25卷起),46109,本資料集為公平交易季刊收集之資料自第25卷起迄今(含季刊標題及作者),卷期;文章標題;作者,公平交易委員會
公平交易季刊第23卷,公平交易委員會-公平交易季刊第23卷第1期,41085,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集本資料集為公平交易季刊第23卷第1期,文章標題;作者,公平交易委員會
公平交易季刊第23卷,公平交易委員會-公平交易季刊第23卷第2期,41086,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集本資料集為公平交易季刊第23卷第2期,文章標題;作者,公平交易委員會
公平交易季刊第23卷,公平交易委員會-公平交易季刊第23卷第3期,41087,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集本資料集為公平交易季刊第23卷第3期,文章標題;作者,公平交易委員會
公平交易季刊第23卷,公平交易委員會-公平交易季刊第23卷第4期,41088,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集本資料集為公平交易季刊第23卷第4期,文章標題;作者,公平交易委員會
公平交易季刊第24卷,公平交易委員會-公平交易季刊第24卷第1期,41252,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集本資料集為公平交易季刊第24卷第1期,文章標題;作者,公平交易委員會
公平交易季刊第24卷,公平交易委員會-公平交易季刊第24卷第2期,41253,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集本資料集為公平交易季刊第24卷第2期,文章標題;作者,公平交易委員會
公平交易季刊第24卷,公平交易委員會-公平交易季刊第24卷第3期,41254,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集本資料集為公平交易季刊第24卷第3期,文章標題;作者,公平交易委員會
公平交易季刊第24卷,公平交易委員會-公平交易季刊第24卷第4期,41255,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集本資料集為公平交易季刊第24卷第4期,文章標題;作者,公平交易委員會
公平交易法訴願案件處理結果統計,公平交易法訴願案件處理結果統計(至101年),6919,本資料集主要提供公平交易法訴願案件處理結果統計表,"年別,收受件數上年未結案件,收受件數本年收受案件,終結件數－按訴願決定分,終結件數－按訴願決定分,終結件數－按訴願決定分,終結件數－按訴願決定分,終結件數－按訴願決定分,終結件數－按訴願決定分,終結件數－按訴願決定分,終結件數－按訴願決定分,本年未結案件",公平交易委員會
公平會不禁止結合案件統計,公平會101年不禁止結合案件統計,6599,本資料集主要提供101年經由本會審理之不禁止結合案件，並依結合型態分析(結合型態適用二種以上採重複計算。),年別;不禁止結合件數;按結合型態分第1款;按結合型態分第2款;按結合型態分第3款;按結合型態分第4款;按結合型態分第5款,公平交易委員會
公平會主動調查案件處分概況,公平會101年主動調查案件處分概況-按違反公平交易法行為別分,6604,本資料集主要提供本會101年主動調查處分書所載違法公平交易法之行為態樣分析統計資料。,年別;主動調查處分書件數;限制競爭行為;限制競爭行為-獨占行為;限制競爭行為-結合行為;限制競爭行為-聯合行為;限制競爭行為-約定轉售價格行為;限制競爭行為-妨礙公平競爭行為;不公平競爭行為;不公平競爭行為-仿冒他人商品或服務表徵行為;不公平競爭行為-虛偽不實或引人錯誤廣告行為;不公平競爭行為-欺罔或顯失公平行為;非法多層次傳銷行為;其他,公平交易委員會
公平會主動調查案處理結果統計,公平會101年主動調查案處理結果統計,6603,本資料集主要提供本會主動調查案件處理結果統計資料。,年別;處份案專案件數;處分案處分書件處;處分案處分家數;不處分;行政處置;中止調查;其他,公平交易委員會
公平會事業申請聯合行為許可型態統計,公平會101年事業申請聯合行為許可型態統計,6601,本資料集主要提供截至101年事業向本會提出聯合行為申請並經由本會審理核准之統計，並依許可聯合行為型態分之資訊。,年別;許可件數;按許可聯合行為型態分第1款;按許可聯合行為型態分第2款;按許可聯合行為型態分第3款;按許可聯合行為型態分第5款,公平交易委員會
公平會仍具效力之聯合行為許可案,公平會101年仍具效力之聯合行為許可案,6602,本資料集主要提供截至101年底，經由本會許可之聯合行為仍具效力之統計資料。,申請項目;有效期間;事業家數;適用公平交易法條款,公平交易委員會
公平會公平交易法宣導概況,公平會101年公平交易法宣導概況,6931,本資料集主要提供公平會於101年，為使各界廣泛瞭解公平交易法之規範內容，辦理公平交易法教育宣導統計場次。,"年別,總計,本會自行舉辦,委請地方主管機關辦理,委請產業團體辦理,其他受邀講授公平交易法",公平交易委員會
公平會地方主管機關協辦業務統計,公平會101年地方主管機關協辦業務統計,6930,本資料集主要提供101年地方主管機關協助辦理公平交易法業務統計,"機關別,總計,代提供書表資料,代轉案件,辦理宣導說明會,協助蒐證,查證事項,蒐集產業資料,專案統計調查,其他",公平交易委員會
公平會多層次傳銷處分案件,公平會101年多層次傳銷處分案件－按違反多層次傳銷管理辦法條文別分,6925,本資料集主要提供多層次傳銷處分案件並依按違反多層次傳銷管理辦法條文別分,"年別,處分書件數,第5條,第7條,第11條,第12條,第13條,第14條,第15條,第16條,第17條,第18條,第19條,第20條,第22條,第23條",公平交易委員會
公平會委員會議使用時間統計,公平會101年委員會議使用時間統計,6928,本資料集主要提供本會於101年平均每次委員會議使用時間之統計,"時間,101年-會次,101年-比率％,100年-會次,100年-比率％",公平交易委員會
公平會委員會議提案概況,公平會101年委員會議提案概況,6926,本資料及主要提供本會委員會議報告案、審議案之案件統計,"年別,總計,總計,報告案件數,報告案結構比,審議案件數,審議案結構比",公平交易委員會
公平會審議案-按性質別統計,公平會101年審議案－按性質別統計,6927,本資料集主要提供101年審議案，按性質別統計,"年別,總計,法規,方案計畫,檢舉案及主動調查,申請案,請釋案,專題研究,其他,總計-結構比,法規-結構比,方案計畫-結構比,檢舉案及主動調查-結構比,申請案-結構比,請釋案-結構比,專題研究-結構比,其他-結構比",公平交易委員會
公平會收辦及立案案件統計,公平會101年收辦及立案案件統計-按收辦及立案年月別分,7007,本資料集主要提供本會收辦案件及立案案件統計，自100年起申請聯合行為案包括申請聯合行為許可案及申請變更聯合行為許可事項之案件,"年月別,總　計,收辦案件小計,收辦案件-檢舉案,收辦案件-申請聯合行為案,收辦案件-申請聯合行為案-申請聯合行為許可案,收辦案件-申請或申報結合案,收辦案件-請釋案",公平交易委員會
公平會收辦案件-按性質別統計,公平會101年收辦案件-按性質別統計,6460,本資料集主要提供本會收辦案件按性質不同之統計,年別;總計;檢舉案;申請聯合行為案;申報結合案;請釋案;101年較100年增減%;結構比;101年較100年增減百分點,公平交易委員會
公平會收辦案件辦結率統計,公平會101年收辦案件辦結率統計,6461,本資料集主要提供本會收辦案件依辦結率之統計,年別;總平均;檢舉案;申請聯合行為案;申報結合案;請釋案;101年較100年增減百分點;年底別;累計結案率,公平交易委員會
公平會服務中心服務項目統計,公平會101年服務中心服務項目統計,6929,本資料集主要提供公平會服務中心依服務項目統計,"年別,總計,公平交易法解說,宣導資料提供,申請事項解說,反映案件受理",公平交易委員會
公平會案件處理統計,公平會101年度案件處理統計,6459,本資料集為本會收辦案件之統計表,年度;案件審理上年底未結;案件審理本年收辦;處理結案;本年底未結;101年較100年增減%,公平交易委員會
公平會檢舉案件處理統計,公平會101年檢舉案件處理統計-按檢舉者身分年別分,7010,本資料集主要提供本會檢舉案件依檢舉者身分年別分之統計,"年別,總　計,一般民眾,公司行號,財團法人,公會,民意代表,政府機關,外國事業,合作社,其他",公平交易委員會
公平會檢舉案件處理統計,公平會101年檢舉案件處理統計-按被檢舉者身分年別分,7011,本資料集主要提供本會檢舉案件依被檢舉者身分年別分之統計,"年別,總　計,一般民眾,公司行號,財團法人,公會,民意代表,政府機關,外國事業,合作社,其他,,,,",公平交易委員會
公平會檢舉案檢處理統計,公平會101年檢舉案檢處理統計-按檢舉者及被檢舉者類別分,7009,本資料集主要提供本會檢舉案件依檢舉者及被檢舉者類別分之統計,"按類別分,總計,處分,處分案之處分書,不處分,行政處置,中止審理,併　案",公平交易委員會
公平會檢舉案處分件數統計,公平會101年檢舉案處分件數統計-按違反公平交易法行為別分,6466,本資料集主要提供101年涉及公平交易法之檢舉案件中經作成違法處分者按違法行為分析統計,年別;檢舉案處分出件數;限制競爭行為;獨占行為;結合行為;聯合行為;約定轉售價格行為;妨礙公平競爭行為;不公平競爭行為;仿冒他人商品或服務表徵行為;虛偽不十或引人錯誤廣告行為;損害他人營業信譽行為;欺罔或顯失公平行為;非法多層次傳銷行為;其他,公平交易委員會
公平會檢舉案處理結果,公平會101年檢舉案處理結果,6462,本資料集主要提供本會檢舉案依處理結果統計,年別;案件審理上年底未結;案件審理本年收辦;處理結果總計;處理結果-處分;處理結果-不處分;處理結果-行政處置;處理結果中止審理;處理結果-併案處理;本年底未結;案件審理較上年度增減%;結構比%;本年底未結較上年增減%,公平交易委員會
公平會檢舉者及被檢舉者身分類別結構,公平會101年檢舉者及被檢舉者身分類別結構,6463,本資料集主要提供檢舉者及被檢舉者身分類別結構之統計,年別;總計;一般民眾;公司行號;財團法人;公會;民意代表;政府機關;其他;101年較100年增減百分點;被檢舉者,公平交易委員會
公平會涉及公平交易法之檢舉案件行為態樣統計,公平會101年涉及公平交易法之檢舉案件行為態樣統計,6465,本資料集主要提供本會檢舉案件依所涉及之公平交易法之行為態樣統計,年別;總計;限制競爭行為;獨占行為;結合行為;聯合行為;約定轉售價格行為;妨礙公平競爭行為;不公平競爭行為;仿冒他人商品或服務表徵行為;虛偽不十或引人錯誤廣告行為;損害他人營業信譽行為;欺罔或顯失公平行為;非法多層次傳銷行為;其他;101年較100年增減%,公平交易委員會
公平會申請聯合行為案件統計,公平會101年申請聯合行為案件統計,7716,本資料集主要提供101年事業相本會提出申請聯合行為案件統計。,年別;案件審理上年底未結;案件審理本年申請;結合件數總計;申請聯合行為許可案計;申請聯合行為許可案-核准;申請聯合行為許可案-駁回;申請聯合行為許可案-部分核准;申請聯合行為許可案-中止審理;變更聯合行為許可事項;本年底未結,公平交易委員會
公平會申請聯合行為許可案件統計,公平會101年申請聯合行為許可案件統計-按聯合行為型態分,7013,本資料集者要提供101年申請聯合核准件數並依許可聯合行為型態分之統計，部分核准案適用二種以上型態，因此各聯合型態件數加總超過許可總件數。,"年月別,核准或部分核准件數,按許可聯合行為型態分 -第1款,按許可聯合行為型態分 -第2款,按許可聯合行為型態分 -第3款,按許可聯合行為型態分 -第5款,按許可聯合行為型態分 -第7款",公平交易委員會
公平會累計案件數及累計結案率統計,公平會101年累計案件數及累計結案率統計,7008,本資料及主要提供本會累計案件數及累計結案率之統計，結案率係指各年底累計結案件數/累計收辦案件數。,"年底別,全部案件累計結案件數,全部案件中收辦案件,全部案件累計結案率,收辦案件累計結案率<br>, 收辦案件-檢舉案結案率, 收辦案件-申請聯合行為案結案率, 收辦案件-申請或申報結合案結案率, 收辦案件-請釋案結案率,主動調查累計結案率",公平交易委員會
公平會結合案件統計,公平會101年結合案件統計,7014,本資料集主要提供申請結合案件件數統計，公平交易法於91年2月6日修正公布，將結合「申請許可制」改為「申報異議制」，結案屬性之「核准」改為「不禁止結合」、「駁回」改為「禁止結合」。,"年月別,申請結合案申請件數,申請結合案已結案總計,申請結合案已結案-核准或不禁止結合件數,申請結合案已結案-駁回或禁止結合件數,申請結合案已結案-中止審理件數,申請結合案已結案-併案件數",公平交易委員會
公平會結合案統計,公平會101年結合案統計,6598,本資料及主要提供101年向本會申報結合案件及處理結果統計。,年別;案件審理上年度未結;案件審理本年申報;處理結果總計;處理結果-不禁止結合;處理結果禁止結合;處理結果-中止審理;處理結果-併案;本年底未結,公平交易委員會
公平會結合許可或不禁止結合案件統計,公平會101年結合許可或不禁止結合案件統計-按結合態樣別分,7015,本資料集主要提供結合許可或不禁止結合案件依結合態樣別分之統計，部分結合案適用二種以上型態，因此各結合型態件數加總超過結合總件數。,"年月別,結合件數,按結合型態分 -第1款,按結合型態分 -第2款,按結合型態分 -第3款,按結合型態分 -第4款,按結合型態分 -第5款",公平交易委員會
公平會處分事業統計,公平會101年處分事業統計-按違法行為別分,6568,本資料集主要提供違反公平交易法受處分之事業，並依違法行為別分之統計資料。,年別;處分書件數;限制競爭行為;限制競爭行為-獨占行為;限制競爭行為-結合行為;限制競爭行為-聯合行為;限制競爭行為-約定轉售價格行為;限制競爭行為-妨礙公平競爭行為;不公平競爭行為;不公平競爭行為-仿冒他人商品或服務表徵行為;不公平競爭行為-虛偽不實或引人錯誤廣告行為;不公平競爭行為-欺罔或顯失公平行為;非法多層次傳銷行為;其他,公平交易委員會
公平會處分案之行業別結構,公平會101年處分案之行業別結構,6606,本資料集主要提供本會處分案件依行業別結構之統計資訊。,年別;總計;農林漁牧業礦業及土石採取業;製造業;電力及燃氣供應業;用水供應及污染整治業;營造業;批發及零售業;運輸及倉儲業;住宿及餐飲業;資訊及通訊傳播業;金融及保險業;不動產業;專業科學及技術服務業;支援服務業;公共行政及國防;強制性社會安全;教育服務業;醫療保健及社會工作服務業;藝術娛樂及休閒服務業;其他服務業;其他不能歸類之行業或個人,公平交易委員會
公平會處分案件,公平會101年處分案件-按違法行為別分,6917,本資料集主要就案件違法行為之罰則分析，適用之罰則為二者以上者，採重複計算。,年別;處分出件數;命令停止或改正行為者適用第13條;命令停止或改正行為者適用第41條;命令停止或改正行為者適用第42條;處以罰鍰者適用第40條;處以罰鍰者適用第41條前段;處以罰鍰者適用第41條後段,公平交易委員會
公平會處分案件統計,公平會101年處分案件統計-按違法行為別分,6605,本資料集主要提供檢舉案件及本會依職權調查之公平交易案件之統計資料，並依處分書所載之行為態樣統計。,年別;處分書件數;限制競爭行為;限制競爭行為-獨占行為;限制競爭行為-結合行為;限制競爭行為-聯合行為;限制競爭行為-約定轉售價格行為;限制競爭行為-妨礙公平競爭行為;不公平競爭行為;不公平競爭行為-仿冒他人商品或服務表徵行為;不公平競爭行為-虛偽不實或引人錯誤廣告行為;不公平競爭行為-欺罔或顯失公平行為;非法多層次傳銷行為;其他,公平交易委員會
公平會被檢舉者行業別結構,公平會101年被檢舉者行業別結構,6464,本資料集主要提供本會依被檢舉者行業類別之統計,年別;總計;農林漁牧業礦業及土石採取業;製造業;電力及燃氣供應業;用水供應及污染整治業;營造業;批發及零售業;運輸及倉儲業;住宿及餐飲業;資訊及通訊傳播業;金融及保險業;不動產業;專業科學及技術服務業;支援服務業;公共行政及國防；強制性社會安全;教育服務業;醫療保健及社會工作服務業;藝術娛樂及休閒服務業;其他服務業;其他不能歸類之行業或個人;101年較100年增減百分點,公平交易委員會
公平會請釋案件處理統計,公平會101年請釋案件處理統計-按結案年月別分,7016,本資料集主要提供請釋案件之處理統計並按結案年月別分,"年月別,總計,解釋及答詢案合計,解釋案,答詢案,中止審理,併　案",公平交易委員會
公平會請釋案處理概況,公平會101年請釋案處理概況,6467,本資料集主要提供本會依請釋案件處理結果之統計,年別;案件審理上年底未結;案件審理本年收辦;處理結果總計;處理結果-解釋案及答詢案;處理結果-中止審理;處理結果-併案;本年底未結;101年較100年增減,公平交易委員會
公平會請釋者身分類別結構,公平會101年請釋者身分類別結構,6468,本資料集主要提供本會依辦結案件之請釋者身分分析統計,年別;總計;一般民眾;公司行號;財團法人;公會;政府機關;其他,公平交易委員會
公平會非法多層次傳銷行為統計,公平會101年非法多層次傳銷行為統計－按違反公平交易法條文別分,6924,本資料集主要提供受處分之多層次傳銷行為統計並依違法公平交易法條文別分,"年別,處分書件數,第23條,第23條之1,第23條之1,第23條之3,第23條之4",公平交易委員會
出版品公平交易法論叢,公平交易委員會出版品公平交易法論叢,32440,公平交易委員會出版品公平交易法論叢,標號;書刊名稱;出版單位;出版年月;備註,公平交易委員會
出版品定期刊物,公平交易委員會出版品定期刊物,32439,公平交易委員會出版品定期刊物,標號;書刊名稱;出版單位;出版年月;備註,公平交易委員會
出版品宣導系列,公平交易委員會出版品宣導系列,32437,公平交易委員會出版品宣導系列,標號;書刊名稱;出版單位;出版年月;備註,公平交易委員會
出版品法規彙輯,公平交易委員會出版品法規彙輯,32438,公平交易委員會出版品法規彙輯,編號;書刊名稱;出版單位;出版年月;備註,公平交易委員會
升遷序列之性別比例,公平交易委員會升遷序列之性別比例,32431,公平交易委員會升遷序列之性別比例(資料收集自104年至今),年度;陞遷序列;職稱;男性人數;女性人數;總計,公平交易委員會
反托拉斯基金會計報告,105年1月份反托拉斯基金會計報告,28508,105年1月份反托拉斯基金會計報告,105年1月份反托拉斯基金會計報告,公平交易委員會
反托拉斯基金會計報告,105年2月份反托拉斯基金會計報告,28685,105年2月份反托拉斯基金會計報告,105年2月份反托拉斯基金會計報告內容為pdf檔案,公平交易委員會
反托拉斯基金會計報告,105年3月份反托拉斯基金會計報告,30623,105年3月份反托拉斯基金會計報告(內含基金來源、用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表),基金來源;用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表,公平交易委員會
反托拉斯基金會計報告,105年4月份反托拉斯基金會計報告,31388,105年4月份反托拉斯基金會計報告(內含基金來源、用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表),基金來源;用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表,公平交易委員會
反托拉斯基金會計報告,105年5月份反托拉斯基金會計報告,32226,105年5月份反托拉斯基金會計報告(內含基金來源、用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表),基金來源;用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表,公平交易委員會
反托拉斯基金會計報告,105年6月份反托拉斯基金會計報告,33175,105年6月份反托拉斯基金會計報告(內含基金來源、用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表),105年6月份反托拉斯基金會計報告,公平交易委員會
反托拉斯基金會計報告,105年7月份反托拉斯基金會計報告,33724,105年7月份反托拉斯基金會計報告(內含基金來源、用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表),105年7月份反托拉斯基金會計報告,公平交易委員會
反托拉斯基金會計報告,105年8月份反托拉斯基金會計報告,35546,105年8月份反托拉斯基金會計報告(內含基金來源、用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表),基金來源;用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表,公平交易委員會
反托拉斯基金會計報告,105年9月份反托拉斯基金會計報告,37477,105年9月份反托拉斯基金會計報告(內含基金來源、用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表),基金來源;用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表,公平交易委員會
反托拉斯基金會計報告,105年10月份反托拉斯基金會計報告,39312,105年10月份反托拉斯基金會計報告(內含基金來源、用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表),含基金來源;用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表,公平交易委員會
反托拉斯基金會計報告,105年11月份反托拉斯基金會計報告,41263,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集本資料集為105年11月份反托拉斯基金會計報告,內含基金來源;用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表,公平交易委員會
反托拉斯基金會計報告,105年12月份反托拉斯基金會計報告,42862,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集105年12月份反托拉斯基金會計報告內含基金來源、用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表,105年12月份反托拉斯基金會計報告內含基金來源;用途及餘絀表，平衡表，購建固定資產計畫執行情形明細表,公平交易委員會
