PCCES預算書資訊文件-下水道工程預算書,PCCES預算書資訊文件-下水道工程預算書,8404,下水道工程預算書資訊文件,文件名稱;文件連結網址,行政院公共工程委員會
PCCES預算書資訊文件-公路工程預算書,PCCES預算書資訊文件-公路工程預算書,7270,提供資料包含公路工程預算書之預算總表、詳細價目表、單價分析表及資源統計表等表格。,文件名稱;文件連結網址,行政院公共工程委員會
PCCES預算書資訊文件-建築工程預算書,PCCES預算書資訊文件-建築工程預算書,7271,提供資料包含橋樑工程預算書之預算總表、詳細價目表、單價分析表及資源統計表等表格。,文件名稱;文件連結網址,行政院公共工程委員會
PCCES預算書資訊文件-橋樑工程預算書,PCCES預算書資訊文件-橋樑工程預算書,7272,提供資料包含建築工程預算書之預算總表、詳細價目表、單價分析表及資源統計表等表格。,文件名稱;文件連結網址,行政院公共工程委員會
PCCES預算書資訊文件-河川整治工程預算書,PCCES預算書資訊文件-河川整治工程預算書,8407,河川整治工程預算書資訊文件,文件名稱;文件連結網址,行政院公共工程委員會
PCCES預算書資訊文件-自來水工程預算書,PCCES預算書資訊文件-自來水工程預算書,8406,自來水工程預算書資訊文件,文件名稱;文件連結網址,行政院公共工程委員會
PCCES預算書資訊文件-隧道工程預算書,PCCES預算書資訊文件-隧道工程預算書,8408,隧道工程預算書資訊文件,文件名稱;文件連結網址,行政院公共工程委員會
中央機關終解約案件統計表,中央機關終解約案件統計表,8871,每季提供中央各部會終解約案件數及其未執行金額統計資料,資料集名稱;網址,行政院公共工程委員會
中高階培訓人數性別比例,行政院公共工程委員會中高階培訓人數性別比例,26448,行政院公共工程委員會中高階培訓人數性別比例,年別;人數總計;總人數比率;男生人數;男生占總人數比率;女生人數;女生占總人數比率,行政院公共工程委員會
人事甄審考績委員會性別比例,行政院公共工程委員會人事甄審考績委員會性別比例,26447,行政院公共工程委員會人事甄審考績委員會性別比例,年別;人數總計;總人數比率;男生人數;男生占總人數比率;女生人數;女生占總人數比率,行政院公共工程委員會
人員平均任職年資,行政院公共工程委員會人員平均任職年資,26463,行政院公共工程委員會人員平均任職年資,項目名稱;項目連結網址,行政院公共工程委員會
人員平均年齡,行政院公共工程委員會人員平均年齡,26464,行政院公共工程委員會人員平均年齡,項目名稱;項目連結網址,行政院公共工程委員會
人員教育程度,行政院公共工程委員會人員教育程度,26465,本會人員教育程度,項目名稱;項目連結網址,行政院公共工程委員會
以科別分類查詢有效之執業技師,以科別分類查詢有效之執業技師,32827,技師科別分類查詢技師,文件名稱;文件連結網址,行政院公共工程委員會
以統包方式辦理之公共工程計畫送審議項目,以統包方式辦理之公共工程計畫送審議項目,18354,提供以統包方式辦理之公共工程計畫送審議項目,文件名稱;文件連結網址,行政院公共工程委員會
優先採購招標公告,優先採購招標公告,6573,提供等標期內優先採購身心障礙福利機構產品或勞務之招標公告資訊。,機關名稱;標案案號;標案名稱;招標方式;公告日期;截止投標,行政院公共工程委員會
優良廠商名單,優良廠商名單,6411,提供依政府採購法公告之獎勵期間內優良廠商名單。,廠商代碼;廠商名稱;廠商地址;刊登機關代碼;刊登機關名稱;機關地址;聯絡人;聯絡人電子郵件信箱;聯絡電話;評優良廠商依據之規定;獎勵起始日期;獎勵終止日期;通知工程會文號;備註,行政院公共工程委員會
全民督工案件主管機關處理排行榜,全民督工案件主管機關處理排行榜,7266,每季提供全民督工通報案件各主管機關處理情形予民眾查詢。(全民督工方案訂有處理期限12個工作天，故於每季第1個月中提供上季統計資料),資料集名稱;網址,行政院公共工程委員會
全民督工民眾滿意度統計,全民督工民眾滿意度統計,43283,提供歷年全民督工民眾滿意度統計資料,資料集名稱;網址,行政院公共工程委員會
公共工程先期規劃階段節能減碳檢核表 (102.1.3),公共工程先期規劃階段節能減碳檢核表 (102.1.3),18355,提供公共工程先期規劃階段節能減碳檢核表 (102.1.3),文件名稱;文件連結網址,行政院公共工程委員會
公共工程及房屋建築概算表,公共工程及房屋建築概算表,18350,提供公共工程及房屋建築概算表,文件名稱;文件連結網址,行政院公共工程委員會
公共工程品質管理人員回訓班性別比例,公共工程品質管理人員回訓班性別比例,24451,公共工程品質管理人員回訓班性別比例,年別;人數總計;總人數比率;男生人數;男生占總人數比率;女生人數;女生占總人數比率,行政院公共工程委員會
公共工程品質管理訓練班參訓學員性別比例,公共工程品質管理訓練班參訓學員性別比例,24450,公共工程品質管理訓練班參訓學員性別比例,年別;人數總計;總人數比率;男生人數;男生占總人數比率;女生人數;女生占總人數比率,行政院公共工程委員會
公共工程品質管理訓練班性別人數統計,公共工程品質管理訓練班性別人數統計,31384,提供公共工程品質管理訓練班性別人數統計資料,年度;男性人數;女性人數;合計,行政院公共工程委員會
公共工程綱要編碼,公共工程綱要編碼,26442,公共工程綱要編碼及名稱對照,文件名稱;文件連結網址,行政院公共工程委員會
公共工程計畫與經費審議作業手冊,公共工程計畫與經費審議作業手冊(pdf),18352,提供公共工程計畫與經費審議作業手冊(pdf),文件名稱;文件連結網址,行政院公共工程委員會
公共工程金質獎獲獎名單,公共工程金質獎獲獎名單,7267,提供公共工程金質獎近5屆獲獎名單。,資料集名稱;網址,行政院公共工程委員會
公共建設工程經費估算編列手冊,公共建設工程經費估算編列手冊,18351,提供公共建設工程經費估算編列手冊,文件名稱;文件連結網址,行政院公共工程委員會
公共設施災後復建工程執行進度,公共設施災後復建工程執行進度,6816,行政院依「中央對各級地方政府重大天然災害救災經費處理辦法」協助直轄市及縣(市)政府之復建工程，其發包率及完工率。,文件名稱;文件連結網址,行政院公共工程委員會
公共設施災後復建工程經費審議及執行作業要點,公共設施災後復建工程經費審議及執行作業要點,33524,提供公共設施災後復建工程經費審議及執行作業要點法規查詢,文件名稱;文件連結網址,行政院公共工程委員會
公共設施災後復建經費審議結果,106年公共設施災後復建經費審議結果,43282,提供106年公共設施災後復建經費審議結果,文件名稱;文件連結網址,行政院公共工程委員會
公開徵求公告,公開徵求公告,7261,提供近一週各機關辦理公告招標前，公開徵求廠商提供參考資料之案件明細。,機關名稱;標案案號;標案名稱;公告次數;公開徵求日期,行政院公共工程委員會
公開閱覽公告,公開閱覽公告,7260,提供近一週各機關辦理公告招標前之招標文件公開閱覽案件明細。,機關名稱;標案案號;標案名稱;公告次數;公開閱覽日期,行政院公共工程委員會
共同供應契約衛材藥品決標單價清單,共同供應契約衛材藥品決標單價清單,6572,提供契約期間內衛材藥品類之共同供應契約商品決標單價清單。,,行政院公共工程委員會
