PCCES預算書資訊文件-下水道工程預算書,['8404']
PCCES預算書資訊文件-公路工程預算書,['7270']
PCCES預算書資訊文件-建築工程預算書,['7271']
PCCES預算書資訊文件-橋樑工程預算書,['7272']
PCCES預算書資訊文件-河川整治工程預算書,['8407']
PCCES預算書資訊文件-自來水工程預算書,['8406']
PCCES預算書資訊文件-隧道工程預算書,['8408']
中央機關終解約案件統計表,['8871']
中高階培訓人數性別比例,['26448']
人事甄審考績委員會性別比例,['26447']
人員平均任職年資,['26463']
人員平均年齡,['26464']
人員教育程度,['26465']
以科別分類查詢有效之執業技師,['32827']
以統包方式辦理之公共工程計畫送審議項目,['18354']
優先採購招標公告,['6573']
優良廠商名單,['6411']
全民督工案件主管機關處理排行榜,['7266']
全民督工民眾滿意度統計,['43283']
公共工程先期規劃階段節能減碳檢核表 (102.1.3),['18355']
公共工程及房屋建築概算表,['18350']
公共工程品質管理人員回訓班性別比例,['24451']
公共工程品質管理訓練班參訓學員性別比例,['24450']
公共工程品質管理訓練班性別人數統計,['31384']
公共工程綱要編碼,['26442']
公共工程計畫與經費審議作業手冊,['18352']
公共工程金質獎獲獎名單,['7267']
公共建設工程經費估算編列手冊,['18351']
公共設施災後復建工程執行進度,['6816']
公共設施災後復建工程經費審議及執行作業要點,['33524']
公共設施災後復建經費審議結果,['43282']
公開徵求公告,['7261']
公開閱覽公告,['7260']
共同供應契約衛材藥品決標單價清單,['6572']
共通性與對照性項目基本資料庫,['31387']
出國考察(含出席國際會議)性別比例,['26450']
出版品,['24456']
列管閒置公共設施件數統計表,['8869']
前中央及地方各機關申訴與調解案件數統計,['33521']
前中央及地方申訴會收結案統計表,['33522']
前各機關採購由中小企業承包或分包比率,['36312']
前得標外國政府採購案件統計,['32829']
前技術服務最有利標案件統計,['43284']
前採購資料區分招標方式統計,['36313']
前政府採購法規改善措施一覽表,['36315']
前辦理決標金額前20名機關,['43285']
參加性別主流化課程人次性別比例,['26449']
參與公共工程基本設計審議業務人員性別比例,['26462']
取得採購專業人員性別比例,['24449']
各季工程施工查核統計,['8873']
各機關每月依採購性質之決標件數及決標金額統計(依公告日期統計且不含跨月更正之決標案),['9704']
各機關每月依採購性質之第1次公告招標件數及預算金額統計,['9703']
各科執業技師人數統計,['6156']
各科執業技師性別統計,['24452']
品管班開班預告表,['6812']
品管訓練代訓機構一覽表,['6811']
員工(含技工、工友、駕駛、約聘僱人員)人數及性別比例,['24446']
員工預算員額及現有員額數,['24454']
單位決算,['10687']
回訓班開班預告表,['6813']
地方機關終解約案件統計表,['8872']
大宗資材之H型鋼價格調查,['6577']
大宗資材之混凝土價格調查,['6819']
大宗資材之瀝青混凝土價格調查,['6579']
大宗資材之砂石價格調查,['6818']
大宗資材之鋼板價格調查,['6578']
大宗資材之鋼筋價格調查,['6820']
大宗資材價格及其漲跌幅彙整表,['7374']
女性企業取得政府採購案件數,['24453']
專家學者建議名單資料庫審議小組性別比例,['26461']
對國內團體捐助情形表,['98335']
工程技術顧問公司登記分縣市統計表,['6817']
工程技術顧問公司登記按營業範圍技師科別查詢表,['27524']
工程技術顧問公司註銷登記情形表,['27523']
工程技術顧問商業同業公會通訊,['6580']
工程會列管公共建設計畫各主辦機關年度預算執行情形統計表,['6814']
工程會列管公共建設計畫各計畫執行情形一覽表,['6822']
工程會列管公共建設計畫各部會年度預算執行情形統計表,['6815']
工程會列管公共建設計畫完工啟用案件,['59635']
工程會列管公共建設計畫預算執行情形統計表,['6823']
工程查核小組委員性別比例,['26458']
工程類巨額採購採最有利標之決標案件(自起),['89719']
工程顧問服務業人力價格資訊,['7375']
工鑑會委員性別比例,['26456']
年度施政績效報告,['24444']
年度施政計畫,['24443']
延遲付款案件主管機關排行榜,['7265']
技師公會通訊錄,['6581']
技師法,['33523']
拒絕往來廠商公告,['5988']
採購專業人員訓練班代訓機構招生中開課清單,['6409']
採購評選專家學者資料庫性別比例,['24448']
採購預告,['6574']
提升公共工程計畫及經費審議效率方案,['18353']
政府公共工程計畫與經費審議作業要點,['31386']
政府採購執行情形,['10688']
政府採購法規解釋函令及相關函文,['5989']
政府採購稽核全國檢舉受理窗口一覽表,['18363']
政府採購稽核小組績效考核統計,['18364']
政府資料開放行動策略,['27499']
政府資料開放諮詢小組會議紀錄,['18316']
政府電子採購網採購標的分類,['6576']
施工查核缺失態樣,['33064']
晉升2級單位主管性別比例,['26445']
晉升機關副首長、幕僚長、1級主管性別比例,['26444']
晉升簡任非主管性別比例,['26446']
會計月報,['20005']
查詢即時各科技師執業人數,['8405']
歷年全民督工得獎主管機關數量統計,['18358']
歷年全民督工得獎主辦機關數量統計,['18357']
歷年全民督工得獎通報民眾數量統計,['36318']
歷年品管人員回訓合格人數,['18362']
歷年品管人員訓練合格人數,['18361']
歷年土木領域實驗室不預警訪查結果,['18359']
歷年工程會列管公共建設計畫執行情形,['18360']
歷年延遲付款廠商通報案件數,['33063']
決標金額前5大之決標公告,['6155']
法定預算,['10684']
法規委員會/訴願審議委員會委員性別比例,['26460']
流域綜合治理計畫執行情形,['18356']
災後復建審議資訊案件,['27525']
現有副首長、幕僚長、1級主管、2級主管性別比例,['26455']
申訴會申訴案件收結案處理情形,['24441']
申訴會調解案件收結案處理情形,['24442']
申請育嬰留職停薪人員性別比例,['26452']
異常政府採購案件移送檢調機關統計,['18365']
當年度工程查核及複查結果,['5964']
當選模範公務人員性別比例,['26451']
研究發展成果,['24445']
稽核小組委員性別比例,['26457']
簡任非主管性別比例,['26443']
職員性別比例,['24447']
職員特任及簡任官等性別比例,['26453']
職員薦任及委任官等性別比例,['26454']
與政府機關有巨額採購，且在履約期間之廠商名單,['7264']
註銷拒絕往來廠商,['32822']
財物出租公告,['7262']
財物變賣公告,['7263']
路平方案統計表,['8868']
辦理教育訓練性別比例一覽表,['26459']
近1季依採購性質決標之件數及決標金額統計,['9322']
近1季依採購級距之決標件數及決標金額統計,['9323']
近1季最有利標之決標件數及決標金額統計,['9324']
近1季機關以低於底價80%決標15件以上之案件統計,['18349']
近1季機關以次低標決標2件以上之案件統計,['18347']
近1季機關以超底價決標5件以上之案件統計,['18348']
近1季機關採公開方式辦理之決標件數、決標金額及比率,['9321']
近1季機關採最有利標方式辦理30件以上且占機關全部案件比率大於或等於30%之決標案件統計,['18346']
近1季機關採統包方式辦理之決標案件統計(不含契約變更採購案),['18344']
近1季機關辦理未經公告招標程序案件數10件以上且占機關全部案件比率大於或等於40%之決標案件統計,['18345']
近公共建設計畫預算達成率統計,['36316']
近半年工程類最低標決標金額與底價標比及預算標,['9320']
近半年政府採購有關事項公示送達公告,['78497']
近工程採購廠商得標50件以上且於同1機關得標10件以上之廠商及機關名單,['6810']
近工程採購得標50件以上廠商名單,['6809']
近工程採購案廠商於同1機關得標20件以上之廠商及機關名,['6410']
連帶保證廠商,['6575']
重大公共建設計畫證照許可行政作業精進實施要點,['31385']
重點防汛工程列管名單,['31971']
