資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
原住民族歲時祭儀放假日期,6081,一、依據內政部於99年11月2日修正發布「紀念日及節日實施辦法」辦理公告原住民族歲時祭儀，各該原住民族放假1日。 二、凡具有原住民身分者，都可以在所屬族群的歲時祭儀日，持戶籍謄本或戶口名簿等足資證明其族別之文件，向工作或就讀單位申請放假1日。三、有關阿美族、賽夏族及噶瑪蘭族，先行公告舉辦期間，日期確定後分別另行公告。,Seq;DateListed;Ethnic;Name;AlsoKnownAs;NativeName;Year;KeyDay;When;Duration,原住民族委員會
歷年台閩縣市原住民族人口-按性別族別,6082,依內政部每月提供之戶政資料，篩選出臺閩地區各縣市原住民族人口數統計,Seq;DateListed;Year;Month;CategorizedGeneralGeographic;Region;Gender;TotalPopulation;Amis;Payuan;Tayal;Bunun;Truku;Pinuyumayan;Rukai;Seediq;Cou;SaySiyat;TaoYami;Kebalan;Thau;Sakizaya;Hlaalua;Kanakanavu;EthnicityUnclassed,原住民族委員會
原住民十大特色美食,6083,依行政院原住民族委員會辦理之「2010原住民嚴選十大獻禮」甄選活動，評選出原住民十大特色美食，提供國內外遊客在造訪各地原鄉時享原味之參考。,Seq;name;AlsoKnownAs;shop;address;telephone;awards,原住民族委員會
101年臺灣原住民族文學獎,6084,依行政院原住民族委員會主辦之「101年臺灣原住民族文學獎」所評審出得獎名單提供參考。,Seq;Ethnic;EthnicName;Year;Name;Genre;PositionInARankingOfNames;Prizeman;AwardWork,原住民族委員會
拜訪部落-擁抱25條臺灣原住民私房景點路線,6085,行政院原住民族委員會參與「2012台北國際旅展」活動，以「拜訪部落」為號召，提供25條整合原鄉地區民宿、美食、工藝、農特產品及周邊景點最精彩的部落遊程供民眾參考。,Seq;DateListed;Name;Ethnic;Region;Access;TravelItinerary;TouristSeason;TravelDays;TravelCharacteristics;TribeInformation;ImportantRite;Greetings;AssociationPopulation;CostPerPerson;Accommodation;Group,原住民族委員會
核定部落結果,7093,公告從99年開始已核定公告之部落資料，包括其所在縣市及傳統名稱等資料。,Seq;DateListed;Region;Countryside;Village;Neighborhood;ApprovedYear;Name;TraditionalName;Ethnic,原住民族委員會
原住民族部落調查-各縣市,7094,依各縣市統計與整理有關原住民族部落之社會組織，包括所屬族別、分佈鄉鎮村里、人口數統計、該部落為新或舊部落、主要生產產業及具健全與能力之社團或協會之社會組織等資料。,Seq;DateListed;Name;EthnicLanguage;AlsoKnownAs;CountyCity;TownshipDistrict;Village;Neighborhood;Ethnic;Ethnic2;Ethnic3;Population;AboriginalPopulation;SystemofSocialOrganization;NewTribaOrOldTriba;TheMainProductionIndustry;HasAssociationsOrganized,原住民族委員會
原民溫泉介紹,7095,原民溫泉介紹，包括溫泉所在區及水系、泉溫、泉質、現行狀況及所在特殊區域之紀錄，供民眾規劃溫泉旅遊之參考。,Seq;Name;Ethnic;Region;SpringTemperatures;SpringNature;Geology;Phnature;Type;River;Summary;PresentStatus;XYCoordinates;AverageElevation;InPotentialDebrisFlowStreams;InNationalPark;SensitiveGeologicalDisasters;SensitiveSurfaceWaterSource;EcologicallySensitiveLand;GroundWaterRechargeArea;NaturalLandscapeSensitiveAreas,原住民族委員會
臺灣原住民族地方文化館,7096,臺灣原住民族地方文化館資料，計有28個文化館，方便有興趣的民眾前往參觀。,Seq;Name;Ethnic;About;Characteristic;Region;PostalCode;Address;Telephone;faxNumber;Website;Facebook;Established;TypeofMuseum;OpeningHours;AdmissionFee;ClosedTime;FixedTimeSurvey;Education;VenueHire;NavigationObject;BookingNavigation;OpenLocation;Throughout;Access;TheExhibition,原住民族委員會
原民相關博物館,7097,收藏有原住民族相關文物、文獻資料之博物館之觀光資訊，方便有興趣的民眾前往參觀。,Seq;Name;PostalCode;Address;Telephone;PublicStatus;Website;Facebook,原住民族委員會
原住民族樂團民間團體,7098,原住民族之民間樂團資料，方便找到民間樂團之地址與聯絡方式。,Seq;Name;AlsoKnownAs;Ethnic;Region;PostalCode;Address;Telephone;faxNumber;email;Website;Facebook;Type;DateFounded;NotableWork;Award;AwardType;Time_awarded,原住民族委員會
原住民族特色工坊,7099,原住民族之工藝、手工藝之特色工坊或工作室的地點及連絡電話，供民眾參考。,Seq;Name;Ethnic;Region;PostalCode;Address;Telephone;CellPhone;faxNumber;eMail;BusinessHours;Website;Industry;BusinessProject;Contact;NativeName,原住民族委員會
原鄉住宿資訊,7100,原住民族地區之民宿資料，包含原住民經營之民宿，可供民眾深入接近原民生活之旅遊住宿參考。,Seq;Name;Ethnic;Region;PostalCode;Address;Telephone;CellPhone;faxNumber;Website;Facebook,原住民族委員會
原住民族餐廳,7101,原住民族開立或是位於原住民族地區的餐廳資料，提供給民眾規劃原鄉旅遊之參考。,Seq;Name;Ethnic;Region;PostalCode;Address;Telephone;CellPhone;CompanyType,原住民族委員會
55個原住民族鄉鎮市區,7102,55個原住民族鄉鎮從市區資料。,Seq;CityCounty;TownshipDistrict;GovUrl,原住民族委員會
原民文學及出版品,7103,原住民族相關之文學作品集出版品。,Seq;DateListed;Ethnic;Name;Author;Illustrator;WorkGenre;Language;DateCreated;Publisher;PlaceOfPublication;Version;ISBN;Award;AwardType;TimeAwarded,原住民族委員會
102年原住民族委員會單位預算補助地方政府情形,7104,102年原住民族委員會單位預算補助地方政府明細表，補助計畫、縣市、金額等資訊。包含有人才培育、語言振興、社會教育等原民文化相關計畫預算。,Seq;DateListed;CountyCity;SubsidyItem;Allowance,原住民族委員會
102年補助團體私人情形,7105,加強促進原住民族福祉，了解原、漢間文化與人力素質之差異，提出合適的就業規劃，獎勵聘用原住民勞工之團體。,Seq;DateListed;SubsidiesItemsAndPurpose;AllowanceTarget;TheAgencySubsidyAmount;OtherOrgansSubsidyAmount;GroupsOrPrivatePayAmounts;Total;ThisAppropriationAmount;ThisSeasonHasAllocatedATotalAmount;NameOfTheAuthorityAllocatedGrants;WheatherThePreparationOfAccountingReportsOrPaymentsList,原住民族委員會
原住民就業者從事的職業－按人口特性及地區分,7106,依人口特性及地區統計原住民族從事職業別的統計資料。依年齡層、教育程度、行政區、分別統計從事之職業別統計數據。,Seq;DateListed;Industry;Category;Census;DuringStatistics;SeeAlso,原住民族委員會
原住民族之商業清冊,7107,區分各產業別之原住民族商業清冊。,Seq;DateListed;RegistrationAuthority;UnifiedBusinessNo;DateCreated;BusinessName;Region;Telephone;BusinessEvent,原住民族委員會
原住民族之公司清冊,7108,區分各產業別之原住民族公司清冊。,Seq;DateListed;RegistrationAuthority;UnifiedBusinessNo;DateCreated;BusinessName;Region;BusinessAddress;Telephone;BusinessEvent,原住民族委員會
臺灣原住民族產品拓銷據點,7109,為強化並保障原住民族產業，行政院原住民族委員會積極推動相關政策與機制，冀以設置「臺灣原住民族產品拓銷據點」，建立自有品牌及行銷通路，提升整體產業之附加價值，進而帶動原住民族創業環境發展，可作為觀光遊客購買伴手禮之參考據點。,Seq;DateListed;StoreLocations;Address;openingHours;TrafficInformation;Website,原住民族委員會
原住民大專青年學生返鄉服務人數一覽表,7110,89年至100原住民大專青年學生返鄉服務之人數統計，作為推動原民文化關懷之政策參考。,Seq;DateListed;Year;NumberOfPeople,原住民族委員會
原住民大專青年學生返鄉服務部落一覽表,7111,89年至100原住民大專青年學生返鄉服務之部落，作為推動原民文化關懷之政策參考。,Seq;DateListed;Year;Region;Village;Tribe;Ethnic;Community,原住民族委員會
100年度原住民大專學生返鄉服務工作內容,7112,100原住民大專青年學生返鄉服務之工作內容，作為推動原民文化關懷之政策參考。,Seq;DateListed;TeamName;ServicesItem,原住民族委員會
原民會歷年補助各縣市設置民族教育資源教室一覽表,7113,89年至100年原民會歷年補助各縣市結合部落自然環境及人文資源，設置民族教育資源教室之各縣市現況資料。可作為文化交流聯絡資訊。,Seq;DateListed;County;Year;Census,原住民族委員會
