104法定預算,['12580']
15歲以上就業者每月收入情形,['17185']
55個原住民族鄉鎮市區,['7102']
99-101部落活力計畫成果,['7126']
「原住民族部落永續發展造景計畫」工程經費核定明細表,['47263']
「原住民族部落特色道路改善計畫」工程經費核定明細表,['47265']
「遷建計畫」核定明細表,['90321']
中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算會計月報,['122656']
主管法規,['112716']
優先採購身心障礙福利機構團體庇護工場生產物品及服務明細、統計表,['129535']
優先採購身心障礙福利機構團體庇護工場生產物品及服務明細及統計表,['107954']
全國原住民保留地使用情形,['130120']
全國原住民保留地權屬統計表,['95824']
全國原住民保留地非都市土地編定使用類別,['91644']
公務人員特種考試原住民族考試3等考試增列缺額表,['90705']
公務人員特種考試原住民族考試3等考試缺額表,['89188']
公務人員特種考試原住民族考試4等考試增列缺額表,['90706']
公務人員特種考試原住民族考試4等考試缺額表,['89252']
公務人員特種考試原住民族考試5等考試增列缺額表,['90707']
公務人員特種考試原住民族考試5等考試缺額表,['89259']
公告金額採購案件,['129527']
前瞻基礎建設計畫會計月報,"['112717', '112718', '112724', '112725']"
前瞻基礎建設計畫決算,['112720']
勞務採購案件,['129534']
原住民之公司清冊,['130192']
原住民之商業清冊,['130159']
原住民保留地權利回復成果,['45348']
原住民保留地權利回復計畫,['91876']
原住民保留地禁伐補償核定金額及合格面積,['95819']
原住民保留地筆數及面積,['112682']
原住民保留地範圍圖,['33685']
原住民保留地違規利用處理成果表,['95825']
原住民保留地違規利用處理計畫,"['91879', '107082']"
原住民保留地違規利用處理計畫執行成果,['112701']
原住民保留地非都市土地編定使用類別及面積資料,['73708']
原住民個人每月收入,['7141']
原住民勞動力參與率及失業率狀況,['7115']
原住民勞動參與情形,['91824']
原住民十大特色美食,['6083']
原住民大專學生返鄉服務工作內容,['7112']
原住民大專青年學生返鄉服務人數一覽表,['7110']
原住民大專青年學生返鄉服務部落一覽表,['7111']
原住民學生就讀大專院校獎助金核發統計表,['91735']
原住民家庭住宅自有情形,['17225']
原住民家庭支出情形,['17223']
原住民家庭收入情形,['17224']
原住民家庭經濟戶長就業情形,['17227']
原住民家庭經濟戶長負債情形,['17226']
原住民家庭經濟戶長貸款需求,['17228']
原住民就業狀況調查,['91780']
原住民就業狀況調查報告,"['95827', '95828']"
原住民就業者在目前工作場所的平均工作年資,"['91742', '91744']"
原住民就業者從事的職業,['7106']
原住民就業者從事的行業,"['7127', '91743', '91822']"
原住民就業者擔任的職業,['91745']
原住民就業者擔任職業,['91823']
原住民就業者的從業身分,['91821']
原住民就業者的從業身分-人口特性,['7138']
原住民就業者的每月主要工作收入,['7139']
原住民廠商得標採購案件,['129531']
原住民族16族語方言之分布參考表,['10078']
原住民族之公司清冊,['7108']
原住民族之商業清冊,['7107']
原住民族保留地違規利用處理計畫,['129524']
原住民族傳統智慧創作專用權登記表,['95822']
原住民族國中小學校學生輟學情形統計,['17211']
原住民族國中小學校學生轉學(轉出)情形統計,['17212']
原住民族土地或部落範圍土地調查及劃設計畫,"['91878', '112703']"
原住民族土地或部落範圍土地調查及劃設計畫核定補助單位,"['90335', '112702']"
原住民族土地或部落範圍土地調查及劃設計畫核定部落名冊,['107090']
原住民族土地或部落範圍土地調查及輔導管理計畫,['107088']
原住民族地區「易形成孤島地區清冊」,['47264']
原住民族地區土地及自然資源保育計畫,['91874']
原住民族地區教會,['7137']
原住民族地區觀光活動,['7150']
原住民族地區農特產,['7117']
原住民族地方文物館參觀人次統計表,['130143']
原住民族大專以上學校學生休學原因,['17208']
原住民族大專以上學校學生退學原因,['17209']
原住民族大專生就讀學門人數,['91738']
原住民族大專畢業生就讀學門人數,['93931']
原住民族學生國中及高級中等學校畢業生升學與就業情形,['93929']
原住民族家庭收入狀況,['93930']
原住民族家庭暨婦女服務中心通訊錄,['7125']
原住民族家庭服務中心通訊錄,"['95826', '112684', '130115']"
原住民族家庭消費支出,['93927']
原住民族家庭總收入分析-依行政區域及統計區域分,['91817']
原住民族家庭自有住宅率狀況-依家庭基本特徵分,['91819']
原住民族就業狀況調查報告,['112722']
原住民族就業狀況調查年度報告,['112723']
原住民族工藝師標章,['7132']
原住民族工藝薪傳獎,['7131']
原住民族工藝精品,['7133']
原住民族手工藝,['7118']
原住民族教育調查統計,['91779']
原住民族文化健康站通訊錄,['130112']
原住民族文化發展中心總預算案單位預算,['36411']
原住民族文化發展中心門票收入及入園人數統計表,"['87952', '99681']"
原住民族文獻會電子期刊,['7144']
原住民族樂團民間團體,['7098']
原住民族歲時祭儀放假日期,['6081']
原住民族特色工坊,['7099']
原住民族生物多樣性傳統知識調查提案部落,['7146']
原住民族產業創新價值計畫-輔導精實創業第2階段簡報審查通過名單,['112700']
原住民族相關法規,['91509']
原住民族社團或協會,['7116']
原住民族籍及族語教師有族語學經驗、通過族語認證人數,['91837']
