周邊旅遊景點,臺灣省諮議會周邊旅遊景點,7497,臺灣省諮議會周邊特色景點、簡介。,名稱;地址;簡介;開放時間;電話;緯度y座標;經度x座標,臺灣省諮議會
單位決算,臺灣省諮議會103年度單位決算,18803,臺灣省諮議會103年度單位決算,103年度單位決算,臺灣省諮議會
單位決算,臺灣省諮議會104年度單位決算,27740,本會104年度單位決算資料,104年度單位決算資料,臺灣省諮議會
單位決算,臺灣省諮議會105年度單位決算,45231,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,105年度單位決算,臺灣省諮議會
園區停車場資訊,臺灣省諮議會園區停車場資訊,5952,本資料集主要提供臺灣省諮議會園區周遭小型車、機車停車場位置資訊。,地點;開放時間;停車格數量;收費方式;緯度y座標;經度x座標,臺灣省諮議會
園區公共廁所資訊,臺灣省諮議會園區公共廁所資訊,5951,本資料集主要提供臺灣省諮議會園區公共廁所位置資訊。,名稱;公廁編號;緯度y座標;經度x座標,臺灣省諮議會
園區週邊餐廳資訊,臺灣省諮議會園區週邊餐廳資訊,5954,本資料集主要提供臺灣省諮議會園區週邊餐廳資訊,名稱;地址;電話;營業時間;備註,臺灣省諮議會
園區附近AED位置資訊,臺灣省諮議會園區附近AED位置資訊,12294,臺灣省諮議會園區附近AED位置資訊,場所名稱;場所地址;場所經緯度;場所描述,臺灣省諮議會
園區附近郵局ATM位置資訊,臺灣省諮議會園區附近郵局ATM位置資訊,12320,臺灣省諮議會園區附近郵局ATM位置資訊,場所名稱;場所地址;場所經緯度;場所描述,臺灣省諮議會
園區雕像作品資訊,臺灣省諮議會園區雕像作品資訊,5953,本資料集主要提供臺灣省諮議會園區具有特色之雕像作品簡介。,類別;名稱;作者;材質;創作年代;作品說明;緯度y座標;經度x座標,臺灣省諮議會
大事記,臺灣省諮議會大事記,12039,臺灣省諮議會時期大事記,發生日期;大事記內容,臺灣省諮議會
會計月報,臺灣省諮議會104年1-6月會計月報,18568,104年1-6月會計月報,104年1-6月會計月報,臺灣省諮議會
會計月報,臺灣省諮議會104年度7月會計月報,20190,本會104年度7月會計月報,年度歲入保留數餘額表;歲入累計表;歲入類平衡表;經費累計表;經費類平衡表...,臺灣省諮議會
會計月報,臺灣省諮議會104年度8月會計月報,22327,"104年度8月會計月報(含歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表)",104年度8月會計月報,臺灣省諮議會
會計月報,臺灣省諮議會104年度9月會計月報,24158,本會104年度9月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會104年度10月會計月報,24749,104年10月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會104年11月會計月報,26177,本會104年11月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會104年12月會計月報,27741,本會104年12月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會105年1月會計月報,28842,本會105年1月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會105年2月會計月報,28843,本會105年2月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會105年3月會計月報,30645,本會105年3月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表,",臺灣省諮議會
會計月報,臺灣省諮議會105年4月會計月報,31602,本會105年4月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會105年5月會計月報,32288,本會105年5月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會105年6月會計月報,33325,本會105年6月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會105年7月會計月報,33801,本會105年7月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會105年8月會計月報,35422,本會105年8月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會105年9月會計月報,37480,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會105年10月會計月報,39084,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會105年11月會計月報,41628,本會105年11月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會105年12月會計月報,43105,本會105年12月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會106年1月會計月報,43478,本會106年1月會計月報,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會106年2月會計月報,44019,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表",臺灣省諮議會
會計月報,臺灣省諮議會106年3月會計月報,45233,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,"歲入累計表,歲入類平衡表,歲入類現金出納表,經費累計表,經費類平衡表,經費類現金出納表,公共資訊: 係指各種財政統計報表;政策新聞;資訊服務;法律等相關資料集",臺灣省諮議會
