資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
客家委員會-法規及行政規則,10323,客家委員會相關法規及行政規則等資訊,category;act_title;url,客家委員會
客家委員會施政計畫與績效,10326,客家委員會之施政計畫與績效資料,category;file_name;url,客家委員會
客家委員會基礎資料,10328,客家人口相關基礎資料調查資訊,category;file_name;url,客家委員會
客家委員會公務統計,10330,客家委員會之公務統計資訊,file_name;url,客家委員會
客家委員會國家賠償事件統計,10332,客家委員會之施政計畫與績效資料國家賠償事件統計,year;file_name;url,客家委員會
客家委員會支付或接受之補助,10333,客家委員會支付或接受之補助資料,year;file_name;url,客家委員會
客家委員會政策宣導相關廣告,10334,客家委員會暨所屬之政策宣導相關廣告資料,year;file_name;url,客家委員會
客家委員會行動應用軟體服務績效調查表,10335,客家委員會暨所屬之行動應用軟體服務績效調查表,year;file_name;url,客家委員會
客家委員會歷年補助地方興建公共設施,10336,客家委員會之歷年補助地方興建公共設施資料,category;url,客家委員會
客家委員會客家文化發展中心法規及行政規則,10337,客家委員會客家文化發展中心之法規及行政規則資料,category;act_title;url,客家委員會客家文化發展中心
客家委員會客家文化發展中心預算及決算書,10338,客家委員會客家文化發展中心之預算及決算書資料,category;year;file_name;url,客家委員會客家文化發展中心
客家委員會資料開放諮詢小組會議紀錄,26895,客家委員會資料開放諮詢小組會議紀錄,name;meeting_date;data;meeting_record,客家委員會
客家委員會資料開放行動策略,27390,客家委員會資料開放行動策略,name;url,客家委員會
客家委員會公務出國報告,33372,客家委員會歷年公務出國報告,report_name;member;category;place;period;report_date,客家委員會
客家委員會出版品,33381,客家委員會出版品,book_name;author;category;date;size;price;isbn;sale;introduce;gpn,客家委員會
客家委員會大事紀,33393,客家委員會大事紀,date;activities,客家委員會
客家委員會獎項,33394,客家委員會獎項說明,name;basis;purpose;period;objects,客家委員會
客家委員會客語使用狀況調查,33406,客家委員會客語使用狀況調查,year;report,客家委員會
客家委員會「Hakka TAIWAN臺灣客家」登錄商品,34230,提供客家特色商品及業者資訊,Industry;product;address;tel;latitude;longitude,客家委員會
客家委員會103至105年度「客家產業創新育成計畫」創業培訓課程表,34235,於103至105年度辦理之「客家產業創新育成計畫」開辦創業培訓課程相關資訊,lesson;teacher;program;hour,客家委員會
客家委員會臺灣客家特色商品通路標章授權業者,34236,提供獲本會授權「臺灣客家特色商品通路標章」之業者資訊,Industry;address;latitude;longitude,客家委員會
客家委員會「客庄青年新創事業競賽」及「青年新創客家事業競賽」通過複審業者(硬頸良品),34237,提供參與「客庄青年新創事業競賽」及「青年新創客家事業競賽」通過複審行銷平臺。,Industry;product;address;tel,客家委員會
