「Hakka TAIWAN臺灣客家」登錄商品,['34230']
「伯公照護站」名冊,['119476']
「國家級臺3線客庄浪漫大道」推動策略及內涵,['56702']
「客家宴廚藝爭霸賽」得獎業者,['73164']
「客家特色產業國內大型展售會」歷年參展,['99855']
「客家產業創新育成計畫」創業培訓課程表,['34235']
「客家產業群聚創新推動計畫」輔導成果,['56705']
「客家產業輔導計畫」亮點業者,['114451']
「客家美食HAKKA FOOD」榮譽標章餐廳,['118066']
「客庄區域產經整合計畫」亮點業者,['62964']
「客庄區域產經整合計畫」亮點遊程,['62965']
「客庄智慧樂活4G應用服務計畫」業者,['56703']
「客庄青年新創事業競賽」及「青年新創客家事業競賽」通過複審業者(硬頸良品),['34237']
「臺灣客家文化巡禮」及「客家節慶」踩線遊程,['56704']
低碳食材暨食育課程表,['77752']
兒童客家課程表,['118542']
公務出國報告,['33372']
公務統計,['10330']
公文統計資料,['128649']
出版品,['33381']
創業大補帖,['34238']
創業輔導網絡,['118928']
創業輔導資源整合,['34247']
各年度廉政會報資料,['37787']
各年度採購案件一覽表,['128648']
國家賠償事件統計,['10332']
地方客家單位,['114468']
地方政府推薦客家餐廳,['118154']
基礎資料,['10328']
大事紀,['33393']
大專校院合作課程表,['114367']
好客卡特約商店,['118787']
好客小學堂,['129035']
好客小學堂冒險任務,['129036']
好客小學堂塗鴉牆,['36745']
好客小學堂故事屋,['118935']
好客小學堂桌布下載,['36746']
好客小學堂電子賀卡,['36742']
委員,['120806']
客家人口比例及推估人數,['73163']
客家傳統樂器介紹,['118756']
客家創意菜色及經典菜餚食譜,['62973']
客家基本法及組織法之條文內容,['37762']
客家學術機構,['114341']
客家文創標竿錄,['34239']
客家文化創意產業課程表,['117629']
客家文化意象暨桐花布料設計專利權及著作權授權利用單位,['118936']
客家文化發展中心AED緊急救護系統位置,['118957']
客家文化發展中心停車場空間,['54310']
客家文化發展中心出版品,['118929']
客家文化發展中心區域結盟,['118958']
客家文化發展中心參與客家文物聯營之地方館舍,['118684']
客家文化發展中心圖書資料中心客家族譜書目,['122075']
客家文化發展中心圖書資料中心館藏,['118908']
客家文化發展中心團體導覽屬性分析統計,['116351']
客家文化發展中心場域租借空間,['118955']
客家文化發展中心大事紀,['54308']
客家文化發展中心定時定點導覽,['54194']
客家文化發展中心客家傳統建築影像典藏網客家傳統建築基本資料,['118746']
客家文化發展中心導覽人員性別統計,['54306']
客家文化發展中心展示,['118950']
客家文化發展中心影片播放資訊,['54208']
客家文化發展中心志工性別統計,['118624']
