資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
金管會新聞稿,6040,本會暨四局涉及金融機構相關政策、財務資訊、消費者保護等重要事項，提供對外新聞稿。,title;pubDate;link;description;category.theme;category.cake;category.service,金融監督管理委員會
金融機構基本資料查詢,6041,金融機構查詢服務提供：銀行金控類、證券期貨類、保險類等機構之基本資料查詢。,總機構代號;機構代號;機構名稱;地址;電話;負責人;異動日期;金融機構網址,金融監督管理委員會
各金融機構共通性費用資訊彙整表(銀行),6225,提供各銀行主要業務具共通性收費項目之收費情形 ;本項資料係連結至銀行公會網站查詢，彙整揭示多數銀行收取費用之服務項目，並由該公會定期更新，僅供參考，相關資訊仍以各銀行公告為準，如有問題請逕洽各銀行查詢。,標題;下載網址,金融監督管理委員會
各金融機構共通性費用資訊彙整表(信合社),6226,全體信用合作社共通性費用資訊彙整表,更新日期;金融機構代號;社名;申請存款餘額證明;申請會計師函證;查詢歷史交易明細/對帳單;調閱影印傳票/交易憑證;印鑑變更/掛失;存單/存摺掛失補發;空白支[本]票工本費;開立台支;開立本行支票;拒往/結清後申請兌付票據;貸款餘額證明;放款對帳單;補發清償證明;補發抵押權塗銷同意書;備註;客戶服務專線;信用合作社揭示費用網址,金融監督管理委員會
保險公司基本資料,7186,保險公司基本資料資料包括：設立日期、董事長、總經理/分公司負責人、電話、傳真、免費服務電話、地址、網址、電子信箱,INSURER_Name;EstablishDate;ManagerName1;ManagerName2;Tel;Fax;FreeLine;Address;WebAddress;Email,金融監督管理委員會
保險公司人力資源概況,7187,保險公司人力資源概況資料包括：內勤人員人數、保險業務員人數、核保人員人數、理賠人員人數、精算人員人數,OccurDate;INSURER_Name;Cnt2;Cnt3;Underwriting;Claim;Actuary,金融監督管理委員會
保險公司主要股東持股概況,7188,保險公司主要股東持股概況資料包括：主要股東名稱、持股股數(千股)、持股比率(%)、設質股數(千股)、設質比率(%),OccurDate;OccurSeason;INSURER_Name;StockholderName;Shares;SharesRatio;PledgeShares;PledgeSharesRatio,金融監督管理委員會
保險公司財務報表摘要,7190,保險公司財務報表摘要資料包括：資產總額(仟元)、負債總額(仟元)、股東權益總額(仟元)、實收資本額(元)、營業收入(仟元)、稅後損益(仟元)、每股盈餘(元)、逾期放款比率(%)、備抵呆帳覆蓋率(%),OccurSeason;INSURER_Name;AMOUNT1;AMOUNT2;AMOUNT3;ActualCapital;AMOUNT4;AMOUNT5;AMOUNT6;AMOUNT7;AMOUNT8,金融監督管理委員會
壽險財務業務指標,7191,壽險財務業務指標資料包括：負債占資產比率、各種責任準備金對資產比率、各種責任準備金變動率、各種責任準備金淨增額對保費收入比率、關係企業投資額對業主權益比率、初年度保費比率、續年度保費比率、新契約費用率、保費收入變動率、業主權益變動率、淨利變動率、資金運用比率、繼續率(十三個月)、繼續率(二十五個月)、資產報酬率、業主權益報酬率、資金運用淨收益率、投資報酬率、營業利益對營業收入比率、稅前純益對總收入比率、純益率、每股盈餘、不動產投資與不動產抵押放款對資產比率,ClaimYear;ClaimQuarter;INSURER_Name;AMOUNT1;AMOUNT2;AMOUNT3;AMOUNT4;AMOUNT5;AMOUNT6;AMOUNT7;AMOUNT8;AMOUNT9;AMOUNT10;AMOUNT11;AMOUNT12;AMOUNT13;AMOUNT14;AMOUNT15;AMOUNT16;AMOUNT17;AMOUNT18;AMOUNT19;AMOUNT20;AMOUNT21;AMOUNT22;AMOUNT23,金融監督管理委員會保險局
產險財務業務指標,7192,產險財務業務指標資料包括：直接保費收入變動率、直接已付賠款變動率、自留保費變動率、資產報酬率、業主權益報酬率、資金運用淨收益率、投資報酬率、自留綜合率、自留費用率、自留滿期損失率、自留保費對業主權益比率、毛保費對業主權益比率淨再保用金對業主權益影響率、各種準備金對業主權益比率、業主權益變動率、費用率,ClaimYear;ClaimQuarter;INSURER_Name;AMOUNT1;AMOUNT2;AMOUNT3;AMOUNT4;AMOUNT5;AMOUNT6;AMOUNT7;AMOUNT8;AMOUNT9;AMOUNT10;AMOUNT11;AMOUNT12;AMOUNT13;AMOUNT14;AMOUNT15;AMOUNT16,金融監督管理委員會保險局
產險業務概況,7193,產險業務概況資料包括：市場占有率(%)、保費收入(含再保)(元)、自留保費(元)、保險賠款(含再保)(元)、自留賠款(元)、再保費支出(元),OccurSeason;INSURER_Name;MarketShare;Premium;Income;Payment;Amount1;Rpayment,金融監督管理委員會
壽險業務概況,7194,壽險業務概況資料包括：市場占有率(%)、保費收入 (元)、保險給付(元)、人壽保險個人保件新契約平均保險金額(元)、人壽保險個人保件有效契約平均保險金額(元)、人壽保險個人保件新契約平均保險費(元)、人壽保險個人保件有效契約平均保險費(元),OccurSeason;INSURER_Name;AMOUNT0;AMOUNT1;AMOUNT2;AMOUNT3;AMOUNT4;AMOUNT5;AMOUNT6,金融監督管理委員會
保險申訴統計,7195,保險申訴統計資料包括：理賠申訴案件申訴率(%)、理賠申訴案件平均處理天數(天)、非理賠申訴案件申訴率(%)、非理賠申訴案件平均處理天數(天),INSURER_NAME;B01;B02;B03;A05;A06;A07;A08;A09;A10,金融監督管理委員會
金管會重大裁罰案件,10292,金融機構之重大裁罰案件資料。,title;pubDate;link;description;category.theme;category.cake,金融監督管理委員會
金管會最新法令函釋,10294,本會暨四局涉及金融機構最新法令函釋。,title;pubDate;link;description;category.theme;category.cake,金融監督管理委員會
金管會法規草案預告,10296,本會暨四局涉及金融機構相關法規草案預告。,title;pubDate;link;description;attachment;language;publisher;date;category.theme;category.cake;category.service,金融監督管理委員會
金管會重要公告,10299,本會暨四局涉及金融機構之重要公告。,title;pubDate;link;description;category.theme;category.cake,金融監督管理委員會
金管會辦理國家賠償事件收結情形,10310,本會辦理國家賠償事件收結情形,機關名稱;總件數A=(C+F);新收案件數B;未結案件數(含舊案)(C=D+E);未結案件數-處理及協議;未結案件數-訴訟中E;已結案件數F=G+M;協議階段總件數G;協議階段件數-成立H;協議階段件數-不成立I;協議階段件數-拒絕賠償J;協議階段件數-撤回K;協議階段件數-其他L;訴訟階段總件數M=(N+O+P+Q+R+S);訴訟階段件數-勝訴N;訴訟階段件數-敗訴O;訴訟階段件數-一部勝上部敗訴P;訴訟階段件數-法院和解Q;訴訟階段件數-駁回R;訴訟階段件數-其他S;賠償情形-總計T=U+V(件);賠償情形-總計T=U+V(元);賠償情形-協議成立賠償U(件);賠償情形-協議成立賠償U(元);賠償情形-判決確定賠償V(件);賠償情形-判決確定賠償V(元);第2條賠償W依國家賠償法(件);第3條賠償X依國家賠償法(件);行使求償權-求償Y(件);行使求償權-求償Y(元);行使求償權-獲償Y(件);行使求償權-獲償Y(元);網站連結網址,金融監督管理委員會
金管會採購契約目錄,10316,金管會採購契約目錄,標的案號;總決標金額;中文標的名稱及數量摘要;決標日期;得標廠商,金融監督管理委員會
檢查局採購契約目錄,10319,檢查局採購契約目錄,標的案號;總決標金額;中文標的名稱及數量摘要;決標日期;得標廠商,金融監督管理委員會
金融監督管理基金預算,10375,金融監督管理基金預算,SEQNO;LEVEL;BOLD;前年度決算數;項目;本年度預算數;上年度預算數;比較增減;預算數;說明,金融監督管理委員會
金融監督管理委員會單位預算,10378,金融監督管理委員會單位預算,,金融監督管理委員會
中央存款保險公司附屬單位預算,10380,中央存款保險公司附屬單位預算書，XML檔包含損益預計表及現金流量預計表,SEQNO;LEVEL;BOLD;前年度決算數-金額;前年度決算數-百分比;科目名稱;科目編號;本年度預算數-金額;本年度預算數-百分比;上年度預算數-金額;上年度預算數-百分比;比較增減-金額;比較增減-百分比;項目名稱;項目編號;預算數;說明,中央存款保險股份有限公司
金融監督管理委員會銀行局單位預算,10381,金融監督管理委員會銀行局單位預算,,金融監督管理委員會銀行局
金融監督管理委員會證券期貨局單位預算,10384,金融監督管理委員會證券期貨局單位預算,,金融監督管理委員會證券期貨局
金融監督管理委員會保險局單位預算,10386,金融監督管理委員會保險局單位預算,,金融監督管理委員會保險局
金融監督管理委員會檢查局單位預算,10388,金融監督管理委員會檢查局單位預算,,金融監督管理委員會檢查局
保險業務發展基金預算,10394,保險業務發展基金預算,年度;檔案連結,金融監督管理委員會保險局
金融監督管理基金決算,10398,金融監督管理基金決算,SEQNO;LEVEL;BOLD;項目;本年度預算數-金額;本年度預算數-百分比;本年度決算數-金額;本年度決算數-百分比;比較增減-金額;比較增減-百分比;上年度決算數-金額;上年度決算數-百分比;預算數;決算數,金融監督管理委員會
金融監督管理委員會單位決算,10400,金融監督管理委員會單位決算,會計年度;款;項;目;節;預算科目編號;預算科目名稱;細目編號;細目名稱;預算數_原預算數;預算數_預算增減數;預算數_合計1;決算數_實現數;決算數_應收數;決算數_保留數;決算數_合計2;預決算比較增減數;決算數占預算數之比率;分計畫編號;分計畫名稱;用途別編號;用途別名稱;原預算數;預算追加減數;動支第一預備金數;動支第二預備金數;經費流用數;預算調整數;預算增減數小計;預算數合計1;實現數;應付數;保留數;決算數合計2;預算年度;以前年度轉入數_應付數;以前年度轉入數_保留數;本年度減免註銷數_應付數;本年度減免註銷數_保留數;本年度實現數_應付數;本年度實現數_保留數;本年度調整數_應付數;本年度調整數_保留數;本年度未結清數_應付數;本年度未結清數_保留數;月份;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;以前年度轉入數_應收數;本年度減免註銷數_應收數;本年度實現數_應收數;本年度調整數_應收數;本年度未結清數_應收數,金融監督管理委員會
中央存款保險公司附屬單位決算,10402,中央存款保險公司附屬單位決算,SEQNO;LEVEL;BOLD;科目名稱;科目編號;本年度決算數;上年度決算數;比較增減-金額;比較增減-百分比;備註;本年度預算數;項目名稱;項目編號;決算數;預算數,中央存款保險股份有限公司
