2十9大類股營收變化統計表,['25038']
3大法人 > 外資及陸資投資類股持股比率表,['11655']
3大法人 > 外資及陸資持股前 20 名彙總表,['11656']
6都居民跨境消費樣態,['38312']
6都居民跨縣市消費樣態,['38313']
6都持卡人前十大國外消費金額及筆數(依簽帳筆數排名),['62946']
6都持卡人前十大國外消費金額及筆數(依簽帳金額排名),['62948']
921集集地震事件之各縣市災損統計(財團法人住宅地震保險基金),['11444']
ABCP成交資訊,['11466']
ECFA相關新聞(中華民國保險經紀人商業同業公會),['15327']
FinTech 推薦商品,['72343']
Financial industry consolidation M&A Deals since September 2004_NEW,['119740']
Foreign Investment in the Banking Market__NEW,['119739']
IFRSs財務報告揭露缺失彙總,['10548']
TAIBIR 01 歷史初級發行利率報價定盤利率,['11473']
TAIBIR 01 當日初級發行利率報價定盤利率,['11471']
TAIBIR 02 上線前歷史次級買賣利率報價定盤利率,['11475']
TAIBIR 02 歷史次級買賣利率報價定盤利率,['11474']
TAIBIR 02 當日次級買賣利率報價定盤利率,['11472']
TAIBIR 當日最新初級發行利率報價,['11469']
TAIBIR 當日最新次級買賣利率報價,['11470']
Table of Financial Holding Companies Established_NEW,['119738']
Timetable of Banking Industry Holidays_NEW,['119741']
一般銀行及信用合作社存款月底餘額,['28776']
一般銀行及信用合作社放款月底餘額,['28777']
一般銀行及信用合作社消費者貸款業務項目,['45208']
一般銀行對中小企業放款(含催收款)餘額,['28779']
一般銀行對公、民營事業放款(含催收款)餘額,['28778']
上市(櫃)公司籌資情形統計表,['11137']
上市上櫃公司買回本公司股份常見違規態樣彙總表,['10540']
上市保管有價證券週餘額表,['20606']
上市公司 103 年應編製與申報 CSR 報告書名單,['25163']
上市公司公司治理之相關規程規則,['36820']
上市公司召開股東常 (臨時) 會日期、地點及採用電子投票情形等資料彙總表,['33460']
上市公司各產業EPS統計資訊,['20756']
上市公司合併報表監察人酬金相關資訊,['24275']
上市公司合併報表董事酬金相關資訊,['24274']
上市公司基本資料,['18419']
上市公司截至各季綜合損益財測達成情形(簡式),['20758']
上市公司持股逾 10% 大股東名單,['18422']
上市公司採累積投票制、全額連記法、候選人提名制選任董監事及當選資料彙總表,['46759']
上市公司每日內部人持股轉讓事前申報表-持股未轉讓日報表,['22815']
上市公司每日內部人持股轉讓事前申報表-持股轉讓日報表,['22813']
上市公司每日重大訊息,['18415']
上市公司每月營業收入彙總表,['18420']
上市公司營益分析查詢彙總表(全體公司彙總報表),['20762']
上市公司獨立董監事兼任情形彙總表,['24270']
