資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
全國各縣市有線廣播電視基本頻道收視費用,5995,有線廣播電視基本頻道收視費用,縣市別;103年;104年;105年,國家通訊傳播委員會
電信設備審驗合格清單,5996,電信設備審驗合格清單,設備種類;西元年度後二位;審定證明編號;填報貿易e網的認證號碼;設備名稱;廠牌;型號;申請廠商;製造廠商;驗證機構;SAR值;拍照功能;拍照時發出聲響功能;充電器;電池;審驗日期;出具檢驗報告之測試實驗室;測試實驗室所屬國家,國家通訊傳播委員會
廣播電臺節目表,5997,無線廣播電臺及無線電視每月節目時間表，包含公營、跨區、調幅及基隆等分區21個子項，共171家電臺。,業者代碼;業者名稱;業者類別;頻率/頻道;地區別;異動別;節目起日;節目迄日;時間起;時間迄;序號;週日;週一;週二;週三;週四;週五;週六;節目名稱;節目類別;語言別;語言(其他);製作方式;聯播;播放種類;電視級別;主播電台;來源國;主播電台名稱;參與聯播電台名稱;其他/異動說明;節目主持人;兒少節目;節目製作格式,國家通訊傳播委員會
公眾頻率分配,5998,行動通信業務頻率分配,業務名稱;頻段起迄;單位,國家通訊傳播委員會
垃圾郵件攔阻數據統計,6443,每月網際網路接取服務業者提供垃圾郵件攔阻數據統計資料,年度;月份;接收郵件總數;處理垃圾郵件總數;月增減率(接收郵件);月增減率(處理垃圾郵件),國家通訊傳播委員會
第二類電信業者名單及其營業項目,6444,第二類電信事業經營者名單及其營業項目,執照號數;經營者名單;語音單純轉售服務;非E.164網路電話服務;E.164網路電話服務;批發轉售服務;公司內部網路通信服務;頻寬轉售服務;語音會議服務;網際網路接取服務;存轉網路服務;存取網路服務;視訊會議服務;數據交換通信服務;付費語音資訊服務;行動轉售服務;行動轉售及加值服務,國家通訊傳播委員會
無線調頻(FM)廣播電臺頻率及發射機位址,6445,無線調頻(FM)廣播電臺頻率及發射機位址,電臺名稱;頻率(MHz);發射機地址;東經;北緯;電臺類別,國家通訊傳播委員會
無線調幅(AM)廣播電臺頻率及發射機位址,6446,無線調幅(AM)廣播電臺頻率及發射機位址,電臺名稱;頻率(kHz);發射機地址;東經;北緯;電臺類別,國家通訊傳播委員會
電信工程業業者名單,6582,本資料集主要提供電信工程業業者名單,CCCODE;COMPANY_NAME;ZIP;BUSINESS_ADDRESS;CONTACT_TEL;CAPITAL;RANK;OWNER;LICENSE_NO;EXPIRE_DATE;TOTAL_AMOUNT;CANCEL_DATE,國家通訊傳播委員會
國家通訊傳播委員會職員性別/學歷統計報表,6625,統計本會職員性別/學歷,年度;性別;國(初)中;高中(職);專科;大學(含軍警校有學位者);研究院(所);合計,國家通訊傳播委員會
國家通訊傳播委員會職員性別/考試情形統計報表,6626,統計本會職員性別/考試情形,年度;性別;總人數;及格總數;高普考及格小計;高考及格數;普考及格數;特考及格數;其他考試及格數;其他法令進用人數,國家通訊傳播委員會
國家通訊傳播委員會職員、各官等人員性別統計表,6627,統計本會職員、各官等人員性別,年度;職務屬性;男性主管數量;男性主管比例;男性非主管數量;男性非主管比例;男性數量小計;男性比例小計;女性主管數量;女性主管比例;女性非主管數量;女性非主管比例;女性數量小計;女性比例小計;合計,國家通訊傳播委員會
國家通訊傳播委員會正式編制內職員性別/官等統計,6628,統計本會正式編制內職員性別/官等,年度;性別\官等;簡任;薦任;委任;總計;比例（%）,國家通訊傳播委員會
