E.164用戶號碼網路電話服務電信號碼核配現況,['7172']
MOD用戶數,['27974']
一般公告,['11121']
中央政府前瞻基礎建設特別預算會計月報,['101423']
中央政府前瞻基礎建設計畫特別預算會計月報,['87835']
傳播內容民眾依不妥類型分類之申訴意見,['24203']
傳播內容民眾依媒體類別分類之申訴意見,['24201']
傳播內容民眾依申訴民眾性別分類之申訴意見,['24202']
傳播內容民眾依陳情管道分類之申訴意見,['24204']
光纖用戶迴路及未來整體監理趨勢分析研究報告,['10145']
全國各縣市偏遠地區高速寬頻統計,['24874']
全國各縣市有線廣播電視基本頻道收視費用,['5995']
兩岸來去電話量,['22593']
公告及送達 (刊登公報),['11118']
公款捐補助季報表,['10104']
公眾頻率分配,['5998']
分組委員會議紀錄,['11124']
各業者通過ISMS驗證清冊,['33245']
各種會議訊息,['11112']
單位決算,['10174']
單位預算,"['44805', '78632']"
單位預算(法定預算),['19824']
單位預算書,['10118']
單位預算案,"['10119', '12406', '35352']"
單位預算案書表,"['54768', '108187']"
嚴重特殊傳染性肺炎防治及紓困振興特別預算執行情形,['122861']
嚴重特殊傳染性肺炎防治及紓困振興特別預算會計月報,['122715']
固定通信綜合網路業務營運概況統計表,['22599']
國際數位多媒體及廣播科技展覽暨研討會報告書,['10131']
國際電話去話分鐘數,['22596']
國際電話去話次數,['22595']
地區監理處查驗統計表,['7154']
垃圾郵件攔阻數據統計,['6443']
如何提高電信管制射頻器材進口許可證網路申辦率及效能，以強化政府效能之研究,['10142']
委員會議紀錄,['11123']
委員會議議程,['11122']
媒體廣告月報表,['10105']
定點量測行動上網平均速率,['8259']
寬頻上網帳號數,['7164']
寬頻固定網路接取技術委託研究案主題及其重點,['10126']
寬頻用戶數,['27953']
市內交換機局碼核配現況,['7166']
市內網路業務業者名單,['7160']
市內電話費率一覽表(含公用電話),['7162']
廣播電臺收聽行為調查研究,['10141']
廣播電臺業者資料,['29225']
廣播電臺節目表,['5997']
廣播電視事業許可家數,['6873']
廣播電視內容裁處件數及金額統計表,['6826']
建立電視收視質指標研究主題及其重點,['10129']
建築物電信設備光纖審查及審驗合格案件,['96215']
建築物電信設備及空間設置業務量件數與金額統計,['22601']
徵才資訊,['11126']
意見諮詢,['11113']
所屬財團法人董事長或經理人及其他從業人員依「政府捐助之財團法人從業人員薪資處理原則」辦理情形彙整表,['10103']
推動公有建物及土地設置基地臺績效,['55062']
撥號選接網路接取碼核配現況,['7168']
政府資料開放諮詢小組會議紀錄,['54392']
數位式低功率無線電話業者名單,['6830']
數位無線電視改善站資訊列表,['95159']
數位無線電視電臺發射機資訊,['95107']
數據通信業務概況,['22598']
新聞稿,['11128']
新興媒體內容治理架構之探討主題及其重點,['10127']
新興視訊平台發展對有線電視產業衝擊之研究主題及其重點,['10128']
施政績效報告,['10132']
施政計畫核定版,['10138']
施政計畫編審管制及評核作業要點,['10133']
施政計畫草案版,['10139']
智慧虛擬碼核配現況,['7169']
會計報告,['19860']
會計月報,"['28477', '44065', '85778', '101128', '122045']"
會議紀錄,['11115']
有線廣播電視事業發展基金會計月報,"['19861', '28356', '44040', '76309', '101513', '117430']"
有線廣播電視事業發展基金附屬單位決算,['10168']
有線廣播電視事業發展基金附屬單位預算,"['43951', '77750', '99220', '114579']"
有線廣播電視事業發展基金附屬單位預算(法定預算),['19828']
有線廣播電視事業發展基金附屬單位預算案,"['10116', '35363', '54770', '108190']"
有線廣播電視事業發展基金附屬單位預算預算案,['12410']
有線廣播電視訂戶數,['6874']
有線電視各項報酬率,['26909']
有線電視員工人數、主管人數統計,['26910']
有線電視干擾量測委託研究期末報告,['10149']
有線電視數位匯流平台技術發展與規範委託研究報告,['10147']
有線電視營運概況,['26912']
有線電視系統業者名單,['6868']
有線電視訂戶數及普及率,['26911']
村村或部落(鄰)有寬頻上網-各縣市歷年平均寬頻普及率,['24859']
村村或部落(鄰)有寬頻上網-各縣市歷年總建設點,['24861']
村村或部落(鄰)有寬頻上網-各縣市歷年總建設點(建設點按普及率分),['24871']
村村或部落(鄰)有寬頻上網-各縣市歷年總經費,['24866']
村村或部落(鄰)有寬頻上網-各縣市歷年設備平均使用率,['24869']
村村或部落(鄰)有寬頻上網-年度計畫寬頻普及率,['24860']
村村或部落(鄰)有寬頻上網-年度計畫建設點,['24865']
村村或部落(鄰)有寬頻上網-年度計畫建設點(建設點按普及率分),['24872']
村村或部落(鄰)有寬頻上網-年度計畫經費,['24867']
村村或部落(鄰)有寬頻上網-年度計畫設備使用率,['24870']
村村或部落(鄰)有寬頻上網統計,['24855']
正式編制內職員性別/官等統計,['6628']
法定預算,"['12391', '27957', '99215']"
法定預算書表,['120125']
法規命令訂(修)定 (刊登公報),['11119']
法規草案預告 (刊登公報),['11117']
消費者端量測行動上網平均速率,['8258']
無線寬頻接取業務業者名單,['6831']
無線廣播事業一覽表,['6871']
無線廣播事業核處資料,['7156']
無線廣播員工人數、主管人數統計,['24199']
無線廣播營運概況統計,['24184']
無線廣播電台播放節目依播出語言分之時數統計,['24196']
無線廣播電台播放節目按節目類型分之時數統計,['24197']
無線廣播電台播放節目按自製、外製、聯播分之時數統計,['24195']
無線調幅(AM)廣播電臺頻率及發射機位址,['6446']
無線調頻(FM)廣播電臺頻率及發射機位址,['6445']
無線電視事業一覽表,['6872']
無線電視事業核處資料,['7157']
無線電視員工人數、主管人數統計,['24200']
無線電視營運概況統計,['24183']
