資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
死因統計,5965,提供我國死因次級資料，供各界使用,,衛生福利部統計處
全民健康保險爭議審議案件統計,6005,一、涉及健保署與醫療院所有關醫療費用核定給付（醫療費用爭議案件）及行政處罰裁定、健保署與人民權益有關健保保費費用核定與核退給付之爭議審議（以上為權益爭議案件）之年月別受理案數。 二、全民健康保險爭議審議案件審定結果之年別案數統計。,月份;一;二;三;四;五;六;七;八;九;十;十一;十二;合計;年別;受理案數;審議案數;駁回率(%);程式不符案數;程式不符(%);重新核定案數;重新核定(%);無理由駁回-部重核部駁案數;無理由駁回-部重核部駁(%);無理由駁回-實體駁回案數;無理由駁回-實體駁回(%);撤銷案數;撤銷(%);撤銷另核案數;撤銷另核(%);部分撤銷案數;部分撤銷(%);部撤另核案數;部撤另核(%);時間;108年1月;108年2月;108年3月;108年4月;108年5月;108年6月;108年7月;108年8月;108年9月;108年10月;108年11月;108年12月,衛生福利部全民健康保險爭議審議會
不符合食品資訊資料集,6133,本資料集係提供進口食品及相關產品之不符合資訊。,產地;主旨;原因;進口商名稱;進口商地址;貨品分類號列;不合格原因暨檢出量詳細說明;法規限量標準;製造廠或出口商名稱;製造商代碼;牌名;重量;處置情形;發布日期;報驗受理日期;附圖,衛生福利部食品藥物管理署
藥局基本資料,6134,提供藥局名稱、地址、電話等基本資料。,機構狀態;機構名稱;地址縣市別;地址鄉鎮市區;地址街道巷弄號;負責人姓名;負責人性別;電話;是否為健保特約藥局,衛生福利部食品藥物管理署
癌症發生統計,6399,提供我國癌症發生統計資料，供各界使用,癌症診斷年;性別;縣市別;癌症別;年齡標準化發生率<br>WHO 2000世界標準人口 (每10萬人口);癌症發生數;平均年齡;年齡中位數;粗率 (每10萬人口),衛生福利部國民健康署
醫院癌症資源中心名單,6412,設有癌症資源中心之醫院,名單;郵遞區號;地址;醫院名稱;連絡電話;分機,衛生福利部國民健康署
乳房X光攝影認證醫療機構,6458,通過「乳房X光攝影醫療機構認證」之醫院名稱、郵遞區號、地址,通過認證醫院;郵遞區號;地址,衛生福利部國民健康署
醫院病床統計,6473,提供我國醫院病床資料，供各界使用。,,衛生福利部統計處
醫院人力統計,6474,提供我國醫院人力資料，供各界使用。,,衛生福利部統計處
醫院科別統計,6475,提供我國醫院科別資料，供各界使用。,,衛生福利部統計處
診所人力統計,6476,提供我國診所人力資料，供各界使用。,,衛生福利部統計處
診所科別統計,6477,提供我國診所科別資料，供各界使用。,,衛生福利部統計處
地區年齡性別統計表-登革熱,6879,2003年起各地區、各年齡層、性別之病例數統計表(疾病名稱：登革熱，日期種類：發病日，病例種類：確定病例，感染來源：本土、境外移入),確定病名;發病年份;發病月份;縣市;鄉鎮;性別;是否為境外移入;年齡層;確定病例數,衛生福利部疾病管制署
地區年齡性別統計表-腸病毒感染併發重症,6880,2003年起各地區、各年齡層、性別之病例數統計表(疾病名稱：腸病毒感染併發重症，日期種類：發病日，病例種類：確定病例，感染來源：本土、境外移入),確定病名;發病年份;發病月份;縣市;鄉鎮;性別;是否為境外移入;年齡層;確定病例數,衛生福利部疾病管制署
地區年齡性別統計表-結核病,6882,2003年起各地區、各年齡層、性別之病例數統計表(疾病名稱：結核病，日期種類：建檔日，病例種類：確定病例，感染來源：本國籍、非本國籍),確定病名;建檔年份;建檔月份;縣市;鄉鎮;性別;國籍;年齡層;確定病例數,衛生福利部疾病管制署
地區年齡性別統計表-桿菌性痢疾,6883,2003年起各地區、各年齡層、性別之病例數統計表(疾病名稱：桿菌性痢疾，日期種類：發病日，病例種類：確定病例，感染來源：本土、境外移入),確定病名;發病年份;發病月份;縣市;鄉鎮;性別;是否為境外移入;年齡層;確定病例數,衛生福利部疾病管制署
地區年齡性別統計表-阿米巴性痢疾,6884,2003年起各地區、各年齡層、性別之病例數統計表(疾病名稱：阿米巴性痢疾，日期種類：發病日，病例種類：確定病例，感染來源：本土、境外移入),確定病名;發病年份;發病月份;縣市;鄉鎮;性別;是否為境外移入;年齡層;確定病例數,衛生福利部疾病管制署
地區年齡性別統計表-HIV感染(含母子垂直感染疑似個案),6885,2003年起各地區、各年齡層、性別之病例數統計表(疾病名稱：HIV感染，日期種類：診斷日，病例種類：確定病例，感染來源：本國籍、非本國籍),確定病名;診斷年份;診斷月份;縣市;性別;國籍;年齡層;確定病例數,衛生福利部疾病管制署
地區年齡性別統計表-後天免疫缺乏症候群,6886,2003年起各地區、各年齡層、性別之病例數統計表(疾病名稱：後天免疫缺乏症候群，日期種類：診斷日，病例種類：確定病例，感染來源：本國籍、非本國籍),確定病名;診斷年份;診斷月份;縣市;性別;國籍;年齡層;確定病例數,衛生福利部疾病管制署
常見濫用管制藥品資料集,6944,本資料集提供常見濫用管制藥品之相關資訊供民眾參考。,類別;藥物名稱;俗名;分級;醫療用途;濫用方式;說明;圖片;圖片文字,衛生福利部食品藥物管理署
PIC/S GMP藥廠名單資料集,6946,本資料集為食品藥物管理署稽核國內GMP藥廠之合格名單，本資料集同步署網更新，藉此提供消費者、業者或從事醫療人員進一步使用。,類別;名稱;地址;核准劑型;核定品項;GMP核定作業內容;GDP核定作業內容;備註,衛生福利部食品藥物管理署
回收藥品資料集,6947,本資料集為藥品回收分級、產品及原因等資料。,回收分級;文號;日期;產品;許可證字號;批號;許可證持有者;原因,衛生福利部食品藥物管理署
動物用藥殘留標準資料集,6948,正面表列規定動物用藥殘留標準，該標準係依據科學證據，風險評估原則及配合前端農政機關之核准用藥情形所訂定，以作為行政裁量之管制標準，提供各界查閱遵循。,學名;中文名稱;殘留部位;動物種類;殘留容許量ppm,衛生福利部食品藥物管理署
違規食品廣告資料集,6949,本資料集匯整由各縣市衛生局行文副知本署之食品違規廣告處分紀錄，可顯示欄位以來文登載者為限，惟本資料集可能因後續修正裁量而有所變動，亦不代表處分主體之產品為違法，請審慎採參。,違規產品名稱;違規廠商名稱或負責人;處分機關;處分日期;處分法條;刊播日期;刊播媒體類別;刊播媒體;查處情形,衛生福利部食品藥物管理署
餐飲業食品安全管制系統衛生評鑑證明廠商資料集,6950,審核通過之餐飲業食品安全管制系統衛生評鑑證明廠商資料集，餐飲業食品安全管制系統衛生評鑑，係為積極與有效推動餐飲業符合「食品安全管制系統」，以提昇餐飲衛生安全，特建立本評鑑。,證書編號;縣市別;類別;廠商名稱;負責人;地址;電話;證書狀況;證書有效期限;最大安全生產量;食品衛生管理專責人員;管制小組成員;承包商名稱;承包商負責人;承包商地址;承包商電話;備註,衛生福利部食品藥物管理署
健康食品資料集,6951,健康食品是一個法律名稱(『健康食品管理法』)，需經過FDA審查核可後，才可稱為健康食品，由業者主動申請後取得許可證後，才可上市銷售。,許可證字號;類別;中文品名;核可日期;申請商;證況;保健功效相關成分;保健功效;保健功效宣稱;警語;注意事項,衛生福利部食品藥物管理署
各縣市戒菸服務合約醫事機構數,6952,各縣市戒菸服務合約醫事機構數,醫事機構類別;院所名稱;電話;郵遞區號;地址;給藥;衛教;縣市;總數;醫學中心;區域醫院;地區醫院;診所;衛生所;牙科診所;藥局,衛生福利部國民健康署
各縣市合約戒菸醫療院所,6954,提供各縣市戒菸服務之健保特約醫事機構資訊,醫事機構類別;院所名稱;電話;郵遞區號;地址;給藥;衛教,衛生福利部國民健康署
各縣市門診戒菸人數服務概況,6955,提供各縣市門診戒菸人數服務概況資訊,年;總計;新北市;臺北市;桃園市;臺中市;臺南市;高雄市;宜蘭縣;新竹縣;苗栗縣;彰化縣;南投縣;雲林縣;嘉義縣;屏東縣;臺東縣;花蓮縣;澎湖縣;基隆市;新竹市;嘉義市;金門縣;連江縣;年/月,衛生福利部國民健康署
各縣市門診戒菸人次服務概況,6956,提供各縣市門診戒菸人次服務概況資訊,年;總計;新北市;臺北市;桃園市;臺中市;臺南市;高雄市;宜蘭縣;新竹縣;苗栗縣;彰化縣;南投縣;雲林縣;嘉義縣;屏東縣;臺東縣;花蓮縣;澎湖縣;基隆市;新竹市;嘉義市;金門縣;連江縣;年/月,衛生福利部國民健康署
醫療院所提供6項預防保健服務名單,6957,全國特約醫療院所提供「孕婦產前檢查」、「兒童預防保健」、「兒童牙齒塗氟」、「子宮頸抹片檢查」、「乳房攝影檢查」、「成人預防保健」等6項預防保健服務名單。,醫事機構代碼;醫事機構名稱;孕婦產前檢查;成人預防保健;兒童牙齒塗氟;兒童預防保健;子宮頸抹片檢查;乳房攝影檢查;醫事機構地址;醫事機構電話,衛生福利部國民健康署
健康促進醫院國際網絡會員名單,6958,WHO健康促進醫院國際網絡會員名單,WHO健康促進醫院國際網絡會員名單;,衛生福利部國民健康署
健康促進學校國際認證獲獎學校名單,6959,健康促進學校國際認證獲獎學校名單,認證獲獎類別;縣市別(區);學校名稱,衛生福利部國民健康署
癌症診療品質認證結果名單,6960,通過癌症診療品質認證之醫院名稱,醫院名稱;縣市別;認證年度;認證結果;效期,衛生福利部國民健康署
孕婦乙型鏈球菌篩檢補助服務方案_不收差額之特約院所名單,6962,提供孕婦乙型鏈球菌篩檢補助服務方案_不收差額之特約院所名單資訊,縣市別;醫事機構名稱;機構地址;特約有效截止年月日,衛生福利部國民健康署
「孕婦乙型鏈球菌篩檢補助服務方案」特約院所名單,6963,提供孕婦「孕婦乙型鏈球菌篩檢補助服務方案」特約院所名單資訊,縣市;醫事服務機構名稱;地 址;效期,衛生福利部國民健康署
孕婦乙型鏈球菌醫事檢驗機構認證院所,6964,提供孕婦乙型鏈球菌醫事檢驗機構認證院所資訊,縣市;通過認證檢驗醫事機構;地址;有效截止年月日,衛生福利部國民健康署
兒童衛教指導服務補助方案特約院所名單,7006,例提供各縣市申請兒童衛教指導服務補助方案通過之醫事機構資訊,所屬縣市;醫事機構代碼;醫療院所名稱;醫療院所住址,衛生福利部國民健康署
「便捷貿e網」中藥材進口統計資料,7179,本部透過便捷貿e網進口之中藥材每月數量統計,貨物名稱;1月進口量(公斤);2月進口量(公斤);3月進口量(公斤);4月進口量(公斤);5月進口量(公斤);6月進口量(公斤);7月進口量(公斤);8月進口量(公斤);9月進口量(公斤);10月進口量(公斤);11月進口量(公斤);12月進口量(公斤);進口量總計(公斤);期間;CN大陸(含香港)進口量(公噸);其他國家進口量(公噸);CN大陸(含香港)進口量百分比(%);其他國家進口量百分比(%);合計進口量(公噸);合計進口量百分比(%);;CN大陸(含香港)進口量(百分比);其他國家進口量(百分比);合計進口量(百分比),衛生福利部中醫藥司
慢性腎臟病健康促進機構名單,7180,慢性腎臟病健康促進機構名單,序號;申請院所;縣市別,衛生福利部國民健康署
糖尿病健康促進機構名單,7181,糖尿病健康促進機構名單,name;url,衛生福利部國民健康署
母嬰親善醫療院所名單,7182,年度通過認證之各縣市母嬰親善醫療院所名單,name;url,衛生福利部國民健康署
