資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
蒙藏補助團體私人情形季報表,5943,蒙藏文化中心補助團體私人情形季報表,補助對象;補助事項或用途;補助金額;核准日期,文化部
西藏統計資料,5945,大陸藏族聚居區人口分布表西藏自治區及西藏流亡組織重要人事資料國外藏族人口分布情形在臺藏胞及居留藏人人口數,地區;總人口;藏族人口及佔該省區比例,文化部
蒙古統計資料,5946,在臺蒙胞人口數統計表蒙古國基本資料,項目;內容;備註,文化部
蒙藏性別主流化訓練統計表,5947,蒙藏文化中心性別主流化訓練統計表,序號;參加人員數;性別;性別主流化類訓練名稱;日期;總時數;主辦機關,文化部
獨立音樂,6006,文化部整合各公、民營單位之獨立音樂活動資訊。,version;UID;titile;category;showUnit;descriptionFilterHtml;discountInfo;imageURL;masterUnit;subUnit;supportUnit;otherUnit;webSales;sourceWebPromote;comment;editModifyDate;sourceWebName;startDate;endDate;hitRate;showinfo;time;location;locationName;onSales;latitude;longitude;Price;endTime,文化部
徵選活動,6007,文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之公開徵選活動資訊，如金鼎獎、美展、創意大賞等。,活動名稱;場次別名;場次地址;活動期間;收費與否;票價價格說明;緯度;經度,文化部
競賽活動,6008,文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之競賽型藝文資訊，如舞蹈、歌唱、繪畫等比賽。,version;UID;titile;category;showUnit;descriptionFilterHtml;discountInfo;imageURL;masterUnit;subUnit;supportUnit;otherUnit;webSales;sourceWebPromote;comment;editModifyDate;sourceWebName;startDate;endDate;hitRate;showinfo;time;location;locationName;onSales;latitude;longitude;Price;endTime,文化部
綜藝活動,6009,文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之具有表演、美食、講座、旅遊…等綜合類型之整合活動。,version;UID;titile;category;showUnit;descriptionFilterHtml;discountInfo;imageURL;masterUnit;subUnit;supportUnit;otherUnit;webSales;sourceWebPromote;comment;editModifyDate;sourceWebName;startDate;endDate;hitRate;showinfo;time;location;locationName;onSales;latitude;longitude;Price;endTime,文化部
電影,6010,文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之藝文機構電影欣賞節目表。,version;UID;titile;category;showUnit;descriptionFilterHtml;discountInfo;imageURL;masterUnit;subUnit;supportUnit;otherUnit;webSales;sourceWebPromote;comment;editModifyDate;sourceWebName;startDate;endDate;hitRate;showinfo;time;location;locationName;onSales;latitude;longitude;Price;endTime,文化部
講座資訊,6011,文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之專題演講及藝文座談會等活動,version;UID;titile;category;showUnit;descriptionFilterHtml;discountInfo;imageURL;masterUnit;subUnit;supportUnit;otherUnit;webSales;sourceWebPromote;comment;editModifyDate;sourceWebName;startDate;endDate;hitRate;showinfo;time;location;locationName;onSales;latitude;longitude;Price;endTime,文化部
展覽資訊,6012,文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之展覽資訊。文件說明請參考資料集相關網址。,version;UID;titile;category;showUnit;descriptionFilterHtml;discountInfo;imageURL;masterUnit;subUnit;supportUnit;otherUnit;webSales;sourceWebPromote;comment;editModifyDate;sourceWebName;startDate;endDate;hitRate;showinfo;time;location;locationName;onSales;latitude;longitude;Price;endTime,文化部
演唱會,6013,文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之演唱會資訊。,version;UID;titile;category;showUnit;descriptionFilterHtml;discountInfo;imageURL;masterUnit;subUnit;supportUnit;otherUnit;webSales;sourceWebPromote;comment;editModifyDate;sourceWebName;startDate;endDate;hitRate;showinfo;time;location;locationName;onSales;latitude;longitude;Price;endTime,文化部
親子活動,6014,文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之親子類型的藝文資訊。,version;UID;titile;category;showinfo;showUnit;descriptionFilterHtml;discountInfo;imageURL;masterUnit;subUnit;supportUnit;otherUnit;webSales;sourceWebPromote;comment;editModifyDate;sourceWebName;startDate;endDate;hitRate,文化部
