103度中央政府總決算歲入歲出簡明比較分析表,103度中央政府總決算歲入歲出簡明比較分析表,23850,中央政府總決算歲入、歲出之預算數、決算數及其比較,項目;預算數;決算數;比較增減數;增減百分比;占決算總額百分比,行政院主計總處
15歲以上女性民間人口之年齡,15歲以上女性民間人口之年齡-按勞動力狀況、從業身分與婚姻狀況分,36803,人力資源調查15歲以上女性民間人口之年齡按勞動力狀況、從業身分與婚姻狀況分,項目別_Item;年齡15歲以上女性民間人口_Female_civilian_population_aged_15_years_and_over;年齡15-24歲_合計_15-24_years_Total;年齡15-24歲_15-19歲_15-24_years_15-19_years;年齡15-24歲_20-24歲_15-24_years_20-24_years;年齡25-44歲_合計_25-44_years_Total;年齡25-44歲_25-29歲_25-44_years_25-29_years;年齡25-44歲_30-34歲_25-44_years_30-34_years;年齡25-44歲_35-39歲_25-44_years_35-39_years;年齡25-44歲_40-44歲_25-44_years_40-44_years;年齡45-64歲_合計_45-64_years_Total;年齡45-64歲_45-49歲_45-64_years_45-49_years;年齡45-64歲_50-54歲_45-64_years_50-54_years;年齡45-64歲_55-59歲_45-64_years_55-59_years;年齡45-64歲_60-64歲_45-64_years_60-64_years;年齡65歲以上_65_years_and_over,行政院主計總處
15歲以上民間人口之勞動力狀況,15歲以上民間人口之勞動力狀況-按婚姻狀況分,36799,人力資源調查15歲以上民間人口之勞動力狀況按婚姻狀況分,項目別_Item;年齡15歲以上民間人口_Civilian_population_aged_15_years_and_over;勞動力_總計_Labor__Force_Total;勞動力_就業者_Labor__Force_Employed;勞動力_失業者_Labor__Force_Unemployed;非勞動力_Not_in_labor_force,行政院主計總處
15歲以上民間人口之勞動力狀況與年齡,15歲以上民間人口之勞動力狀況與年齡-按教育程度分,36798,人力資源調查15歲以上民間人口之勞動力狀況與年齡按教育程度分,項目別_Item;年齡15歲以上民間人口_Civilian_population_aged_15_years_and_over;勞動力_總計_Labor__Force_Total;勞動力_就業者_Labor__Force_Employed;勞動力_失業者_Labor__Force_Unemployed;非勞動力_Not_in_labor_force;年齡_15-24歲_合計_Age_15-24_years_Total;年齡_15-24歲_15-19歲_Age_15-24_years_15-19_years;年齡_15-24歲_20-24歲_Age_15-24_years_20-24_years;年齡_25-44歲_合計_Age_25-44_years_Total;年齡_25-44歲_25-29歲_Age_25-44_years_25-29_years;年齡_25-44歲_30-34歲_Age_25-44_years_30-34_years;年齡_25-44歲_35-39歲_Age_25-44_years_35-39_years;年齡_25-44歲_40-44歲_Age_25-44_years_40-44_years;年齡_45-64歲_合計_Age_45-64_years_Total;年齡_45-64歲_45-49歲_Age_45-64_years_45-49_years;年齡_45-64歲_50-54歲_Age_45-64_years_50-54_years;年齡_45-64歲_55-59歲_Age_45-64_years_55-59_years;年齡_45-64歲_60-64歲_Age_45-64_years_60-64_years;年齡_65歲及以上_Age_65_years_and_over,行政院主計總處
15歲以上民間人口之教育程度與年齡,15歲以上民間人口之教育程度與年齡,33443,人力資源調查之15歲以上民間人口之教育程度與年齡按地區分,按地區別分_District_or_region;總計_Total;教育程度_國中及以下_合計_Educational_attainment_Junior_high_and_below_Total;教育程度_國中及以下_國小及以下_Educational_attainment_Junior_high_and_below_Primary_school_and_below;教育程度_國中及以下_國中_Educational_attainment_Junior_high_and_below_Junior_high;教育程度_高中_職_合計_Educational_attainment_Senior_high_and_vocational_Total;教育程度_高中_職_高中_Educational_attainment_Senior_high_and_vocational_Senior_high;教育程度_高中_職_高職_Educational_attainment_Senior_high_and_vocational_Vocational;教育程度_大專及以上_合計_Educational_attainment_Junior_college_and_above_Total;教育程度_大專及以上_專科_Educational_attainment_Junior_college_and_above_Junior_college;教育程度_大專及以上_大學_Educational_attainment_Junior_college_and_above_University;教育程度_大專及以上_研究所_Educational_attainment_Junior_college_and_above_Graduate_school;年齡_15-24歲_合計_Age_15-24_years_Total;年齡_15-24歲_15-19歲_Age_15-24_years_15-19_years;年齡_15-24歲_20-24歲_Age_15-24_years_20-24_years;年齡_25-44歲_合計_Age_25-44_years_Total;年齡_25-44歲_25-29歲_Age_25-44_years_25-29_years;年齡_25-44歲_30-34歲_Age_25-44_years_30-34_years;年齡_25-44歲_35-39歲_Age_25-44_years_35-39_years;年齡_25-44歲_40-44歲_Age_25-44_years_40-44_years;年齡_45-64歲_合計_Age_45-64_years_Total;年齡_45-64歲_45-49歲_Age_45-64_years_45-49_years;年齡_45-64歲_50-54歲_Age_45-64_years_50-54_years;年齡_45-64歲_55-59歲_Age_45-64_years_55-59_years;年齡_45-64歲_60-64歲_Age_45-64_years_60-64_years;年齡_65歲及以上_Age_65_years_and_over,行政院主計總處
「政府資料開放諮詢小組」會議紀錄,行政院主計總處「政府資料開放諮詢小組」會議紀錄,17182,行政院主計總處「政府資料開放諮詢小組」會議紀錄,會議名稱;會議資料;會議紀錄,行政院主計總處
一般廢棄物排放帳,一般廢棄物排放帳,6891,提供綠色國民所得一般廢棄物排放帳資料，包括產生量、妥善處理量及未妥善處理量等。,年別;產生量;妥善處理量;妥善處理量-焚化;妥善處理量-衛生掩埋;妥善處理量-廚餘回收;妥善處理量-廚餘回收-堆肥;妥善處理量-廚餘回收-養豬;妥善處理量-廚餘回收-其他;妥善處理量-巨大垃圾回收再利用;妥善處理量-資源回收;未妥善處理量,行政院主計總處
不動產業廠商空缺員工僱用條件概況,不動產業廠商空缺員工僱用條件概況－按職類及員工規模分,37976,事業人力僱用狀況調查之不動產業廠商空缺員工僱用條件概況，並按職類及員工規模發布,項目別;空缺員工人數;空缺員工人數_結構比;僱用條件_最低教育程度_國小;僱用條件_最低教育程度_國中;僱用條件_最低教育程度_高中職;僱用條件_最低教育程度_專科;僱用條件_最低教育程度_大學及以上;僱用條件_最低教育程度_不拘;僱用條件_最低工作經驗_1年-未滿3年;僱用條件_最低工作經驗_3年-未滿5年;僱用條件_最低工作經驗_5年以上;僱用條件_最低工作經驗_不拘,行政院主計總處
中央政府各機關單位決算及附屬單位決算,中央政府各機關單位決算及附屬單位決算,10986,中央政府各機關單位決算及附屬單位決算,資料項目;連結,行政院主計總處
中央政府各機關單位預算及附屬單位預算,中央政府各機關單位預算及附屬單位預算,10890,中央政府各機關單位預算及附屬單位預算網址,檔名;網址,行政院主計總處
中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算歲出預算執行情形,中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算歲出預算執行情形,127428,中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算歲出預算數、分配數、執行數,報表名稱;期間;單位;項目;預算數;累計分配數;累計實現數;累計實現數占分配百分比;累計預付數;累計預付數占分配百分比;累計執行數;累計執行數占預算百分比;累計執行數占分配百分比;待執行數,行政院主計總處
中央政府普通公務單位會計制度會計科目,中央政府普通公務單位會計制度會計科目,15409,本制度係供中央政府各公務機關辦理單位會計業務之準據，其會計科目依各種會計報告所應報導事項設置，共分為3大類：（一）資產、負債及淨資產類科目、（二）收入及支出類科目及（三）預算控制類科目。,會計科目編號;會計科目名稱,行政院主計總處
中央政府流域綜合治理計畫特別預算,中央政府流域綜合治理計畫第3期特別預算,62449,中央政府流域綜合治理計畫第3期特別預算案,檔案名稱;資料內容,行政院主計總處
中央政府總決算,中央政府總決算,10982,中央政府總決算,項目名稱;連結,行政院主計總處
中央政府總決算各機關歲入來源別決算分析總表,103年度中央政府總決算各機關歲入來源別決算分析總表,23842,中央政府總決算各主管機關歲入來源別科目之決算數,科目名稱;稅課收入-經常收入;罰款及賠償收入-經常收入;規費收入-經常收入;財產收入-經常收入;營業盈餘及事業收入-經常收入;捐獻及贈與收入-經常收入;其他收入-經常收入;財產收入-資本收入;經資收入合計,行政院主計總處
中央政府總決算各機關歲入來源別決算分析總表,104年度中央政府總決算各機關歲入來源別決算分析總表,33073,中央政府總決算各主管機關歲入來源別科目之決算數,科目名稱;稅課收入-經常收入;罰款及賠償收入-經常收入;規費收入-經常收入;財產收入-經常收入;營業盈餘及事業收入-經常收入;捐獻及贈與收入-經常收入;其他收入-經常收入;財產收入-資本收入;經資收入合計,行政院主計總處
中央政府總決算各機關歲入來源別決算分析總表,106年度中央政府總決算各機關歲入來源別決算分析總表,85083,中央政府總決算各機關歲入來源別決算分析總表,會計年度;科目_款;科目_名稱;經常收入_稅課收入;經常收入_罰款及賠償收入;經常收入_規費收入;經常收入_財產收入;經常收入_營業盈餘及收入;經常收入_捐獻及贈與收入;經常收入_其他收入;資本收入_財產收入;合計,行政院主計總處
中央政府總決算各機關歲入來源別決算分析總表,107年度中央政府總決算各機關歲入來源別決算分析總表,102152,中央政府總決算各主管機關歲入來源別科目之決算數,會計年度;科目_款;科目_名稱;經常收入_稅課收入;經常收入_罰款及賠償收入;經常收入_規費收入;經常收入_財產收入;經常收入_營業盈餘及收入;經常收入_捐獻及贈與收入;經常收入_其他收入;資本收入_財產收入;合計,行政院主計總處
中央政府總決算各機關歲入來源別決算分析總表,108年度中央政府總決算各機關歲入來源別決算分析總表,120984,中央政府總決算各主管機關歲入來源別科目之決算數,會計年度;科目_款;科目_名稱;經常收入_稅課收入;經常收入_罰款及賠償收入;經常收入_規費收入;經常收入_財產收入;經常收入_營業盈餘及收入;經常收入_捐獻及贈與收入;經常收入_其他收入;資本收入_財產收入;合計,行政院主計總處
中央政府總決算各機關歲出決算分析總表,103年度中央政府總決算各機關歲出政事別決算分析總表,23830,中央政府總決算各主管機關歲出政事別科目之決算數,科目名稱;政事別科目決算合計;總統府主管;行政院主管;立法院主管;司法院主管;考試院主管;監察院主管;內政部主管;外交部主管;國防部主管;財政部主管;教育部主管;法務部主管;經濟部主管;交通部主管;蒙藏委員會主管;僑務委員會主管;國家科學委員會主管;原子能委員會主管;農業委員會主管;勞工委員會主管;衛生福利部主管;環境保護署主管;文化部主管;海岸巡防署主管;金融監督管理委員會主管;國軍退除役官兵輔導委員會主管;省市地方政府;災害準備金,行政院主計總處
中央政府總決算各機關歲出決算分析總表,104年度中央政府總決算各機關歲出政事別決算分析總表,33074,中央政府總決算各主管機關歲出政事別科目之決算數,科目名稱;政事別科目決算合計;總統府主管;行政院主管;立法院主管;司法院主管;考試院主管;監察院主管;內政部主管;外交部主管;國防部主管;財政部主管;教育部主管;法務部主管;經濟部主管;交通部主管;勞動部主管;蒙藏委員會主管;僑務委員會主管;原子能委員會主管;農業委員會主管;衛生福利部主管;環境保護署主管;文化部主管;海岸巡防署主管;科技部主管;金融監督管理委員會主管;國軍退除役官兵輔導委員會主管;省市地方政府;災害準備金,行政院主計總處
中央政府總決算各機關歲出決算分析總表,105年度中央政府總決算各機關歲出政事別決算分析總表,45411,中央政府總決算各主管機關歲出政事別科目之決算數,科目名稱;政事別科目決算合計;總統府主管;行政院主管;立法院主管;司法院主管;考試院主管;監察院主管;內政部主管;外交部主管;國防部主管;財政部主管;教育部主管;法務部主管;經濟部主管;交通部主管;勞動部主管;蒙藏委員會主管;僑務委員會主管;原子能委員會主管;農業委員會主管;衛生福利部主管;環境保護署主管;文化部主管;海岸巡防署主管;科技部主管;金融監督管理委員會主管;國軍退除役官兵輔導委員會主管;省市地方政府;災害準備金,行政院主計總處
中央政府總決算各機關歲出決算分析總表,107年度中央政府總決算各機關歲出政事別決算分析總表,102153,中央政府總決算各主管機關歲出政事別科目之決算數,會計年度;科目_款;科目_名稱;主管機關編號;主管機關名稱;金額,行政院主計總處
中央政府總決算各機關歲出決算分析總表,108年度中央政府總決算各機關歲出政事別決算分析總表,120985,中央政府總決算各主管機關歲出政事別科目之決算數,會計年度;科目_款;科目_名稱;主管機關編號;主管機關名稱;金額,行政院主計總處
中央政府總決算各機關歲出用途別決算分析總表,103年度中央政府總決算各機關歲出用途別決算分析總表,23836,中央政府各主管機關經常支出、資本支出一級用途別科目之決算數,科目名稱;人事費-經常支出;業務費-經常支出;獎補助費-經常支出;債務費-經常支出;經常支出小計;業務費-資本支出;設備及投資-資本支出;獎補助費-資本支出;資本支出小計;歲出用途別決算合計,行政院主計總處
中央政府總決算各機關歲出用途別決算分析總表,104年度中央政府總決算各機關歲出用途別決算分析總表,33075,中央政府各主管機關經常支出、資本支出一級用途別科目之決算數,科目名稱;人事費-經常支出;業務費-經常支出;獎補助費-經常支出;債務費-經常支出;經常支出小計;業務費-資本支出;設備及投資-資本支出;獎補助費-資本支出;資本支出小計;歲出用途別決算合計,行政院主計總處
中央政府總決算各機關歲出用途別決算分析總表,105年度中央政府總決算各機關歲出用途別決算分析總表,45420,中央政府各主管機關經常支出、資本支出一級用途別科目之決算數,科目名稱;歲出用途別決算合計;人事費-經常支出;業務費-經常支出;獎補助費-經常支出;債務費-經常支出;經常支出小計;業務費-資本支出;設備及投資-資本支出;獎補助費-資本支出;資本支出小計,行政院主計總處
中央政府總決算各機關歲出用途別決算分析總表,106年度中央政府總決算各機關歲出用途別決算分析總表,80092,中央政府各主管機關經常支出、資本支出一級用途別科目之決算數,科目_款;科目_名稱;經常支出_人事費;經常支出_業務費;經常支出科目_獎補助費;經常支出科目_債務費;經常支出科目_小計;資本支出_業務費;資本支出_設備及投資;資本支出_獎補助費;資本支出_小計;合計,行政院主計總處
中央政府總決算各機關歲出用途別決算分析總表,107年度中央政府總決算各機關歲出用途別決算分析總表,102151,中央政府各主管機關經常支出、資本支出一級用途別科目之決算數,科目_款;科目_名稱;經常支出_人事費;經常支出_業務費;經常支出科目_獎補助費;經常支出科目_債務費;經常支出科目_小計;資本支出_業務費;資本支出_設備及投資;資本支出_獎補助費;資本支出_小計;合計,行政院主計總處
中央政府總決算各機關歲出用途別決算分析總表,108年度中央政府總決算各機關歲出用途別決算分析總表,120983,中央政府各主管機關經常支出、資本支出一級用途別科目之決算數,科目_款;科目_名稱;經常支出_人事費;經常支出_業務費;經常支出科目_獎補助費;經常支出科目_債務費;經常支出科目_小計;資本支出_業務費;資本支出_設備及投資;資本支出_獎補助費;資本支出_小計;合計,行政院主計總處
中央政府總決算收支簡明比較分析表,101年度中央政府總決算收支簡明比較分析表,6584,中央政府總決算收入及支出之預算數、決算數及其比較,項目;預算數;決算數;比較增減數,行政院主計總處
中央政府總決算收支簡明比較分析表,102年度中央政府總決算收支簡明比較分析表,9435,中央政府總決算收入及支出之預算數、決算數及其比較,項目;預算數;決算數;比較增減數,行政院主計總處
中央政府總決算收支簡明比較分析表,103年度中央政府總決算收支簡明比較分析表,17155,中央政府總決算收入及支出之預算數、決算數及其比較,項目;預算數;決算數;比較增減數,行政院主計總處
中央政府總決算收支簡明比較分析表,104年度中央政府總決算收支簡明比較分析表,33076,中央政府總決算收入及支出之預算數、決算數及其比較,項目;預算數;決算數;比較增減數,行政院主計總處
中央政府總決算收支簡明比較分析表,105年度中央政府總決算收支簡明比較分析表,45425,中央政府總決算收入及支出之預算數、決算數及其比較,項目;預算數;決算數;比較增減數,行政院主計總處
中央政府總決算收支簡明比較分析表,106年度中央政府總決算收支簡明比較分析表,80094,中央政府總決算收入及支出之預算數、決算數及其比較,項<br>目;預<br>算<br>數;決<br>算<br>數;比 較 增 減 數,行政院主計總處
中央政府總決算收支簡明比較分析表,107年度中央政府總決算收支簡明比較分析表,102143,中央政府總決算收入及支出之預算數、決算數及其比較,會計年度;項目;預算數;決算數;比較增減數,行政院主計總處
