103度中央政府總決算歲入歲出簡明比較分析表,['23850']
15歲以上女性民間人口之年齡,['36803']
15歲以上民間人口之勞動力狀況,['36799']
15歲以上民間人口之勞動力狀況與年齡,['36798']
15歲以上民間人口之教育程度與年齡,['33443']
「政府資料開放諮詢小組」會議紀錄,['17182']
一般廢棄物排放帳,['6891']
不動產業廠商空缺員工僱用條件概況,['37976']
中央政府各機關單位決算及附屬單位決算,['10986']
中央政府各機關單位預算及附屬單位預算,['10890']
中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算歲出預算執行情形,['127428']
中央政府普通公務單位會計制度會計科目,['15409']
中央政府流域綜合治理計畫特別預算,['62449']
中央政府總決算,['10982']
中央政府總決算各機關歲入來源別決算分析總表,"['23842', '33073', '85083', '102152', '120984']"
中央政府總決算各機關歲出決算分析總表,"['23830', '33074', '45411', '102153', '120985']"
中央政府總決算各機關歲出用途別決算分析總表,"['23836', '33075', '45420', '80092', '102151', '120983']"
中央政府總決算收支簡明比較分析表,"['6584', '9435', '17155', '33076', '45425', '80094', '102143', '120981']"
中央政府總決算收支簡明比較分析表-各年度,['40329']
中央政府總決算歲入來源別決算分析總表,['80091']
中央政府總決算歲入來源別決算分析總表-各年度,['45419']
中央政府總決算歲入來源別決算總表,"['6585', '9437', '17157', '33077', '45423', '102149', '120980']"
中央政府總決算歲入來源別決算總表-各年度,['40330']
中央政府總決算歲入歲出簡明比較分析表,"['6583', '9434', '17152', '33078', '45389', '79996', '102142', '120982']"
中央政府總決算歲出決算分析總表,['85084']
中央政府總決算歲出決算總表,"['6586', '6587', '9438', '9439', '17158', '17159', '33079', '33080', '45421', '45422', '80087', '80089', '102146', '102147', '120978', '120979']"
中央政府總決算歲出決算總表-各年度,"['40332', '40334']"
中央政府總決算附屬單位決算及綜計表(作業基金),"['6894', '9458', '21514', '33081', '45696', '81403', '101702', '120962']"
中央政府總決算附屬單位決算及綜計表(債務基金),"['6895', '9460', '21516', '33082', '45698', '81390', '101718', '120964']"
中央政府總決算附屬單位決算及綜計表(營業基金),['120961']
中央政府總決算附屬單位決算及綜計表(營業部分),"['6641', '9457', '24370', '33083', '45694', '81385', '101636']"
中央政府總決算附屬單位決算及綜計表(特別收入基金),"['6896', '9459', '21515', '33084', '45695', '81388', '101722', '120963']"
中央政府總決算附屬單位決算及綜計表(資本計畫基金),"['6897', '9461', '21517', '33085', '45697', '81389', '101719', '120965']"
中央政府總決算附屬單位決算及綜計表-營業部分-各年度,['40303']
中央政府總決算附屬單位決算及綜計表-非營業部分-各年度,['40304']
中央政府總結算,['10987']
中央政府總預算-人工表,"['44704', '79070', '100739', '121010']"
中央政府總預算-分析表,"['44705', '79072', '100742', '121009']"
中央政府總預算-參考表,"['44706', '79074', '100743', '121013']"
中央政府總預算-簡明表,"['44708', '79075', '100745', '121011']"
中央政府總預算-預算表,"['44707', '79076', '100746', '121012']"
中央政府總預算_人工表,"['15361', '28359']"
中央政府總預算_分析表,"['12036', '28361']"
中央政府總預算_參考表,"['12038', '28363']"
中央政府總預算_簡明表,"['12041', '28366']"
中央政府總預算_預算表,"['12040', '28364']"
中央政府總預算半年結算收支簡明比較分析表,"['23839', '35280', '54267', '80096', '108011', '129544']"
中央政府總預算半年結算歲入歲出簡明比較分析表,"['23837', '35281', '54270', '80097', '108012', '129545']"
中央政府總預算及附屬單位預算,['10503']
中央政府總預算案-人工表,"['38059', '57872', '92067', '108037']"
中央政府總預算案-分析表,"['38060', '57883', '92066', '108034']"
中央政府總預算案-參考表,"['38085', '57884', '92070', '108040']"
中央政府總預算案-各機關歲入來源別科目分析總表,['23804']
中央政府總預算案-各機關歲出1級用途別科目分析總表,['23810']
中央政府總預算案-各機關歲出2級用途別科目分析總表,['23811']
中央政府總預算案-各機關歲出科目分析總表,['23807']
中央政府總預算案-各機關資本支出分析總表,['23815']
中央政府總預算案-基金別預算分析表,['23781']
中央政府總預算案-收支併列案款對照表,['23816']
中央政府總預算案-收支簡明比較分析表,['23782']
中央政府總預算案-歲入來源別預算比較總表,['23789']
中央政府總預算案-歲入來源別預算總表,['23803']
中央政府總預算案-歲入歲出性質及餘絀簡明比較分析表,['23787']
中央政府總預算案-歲入歲出簡明對照表,['23788']
中央政府總預算案-歲入歲出簡明比較分析表,['23783']
中央政府總預算案-歲出按職能及經濟性綜合分類表,['23812']
中央政府總預算案-歲出預算比較總表,"['23805', '23808']"
中央政府總預算案-歲出預算總表,"['23806', '23809']"
中央政府總預算案-歷年中央政府收支概況表,['23814']
中央政府總預算案-歷年各級政府淨收支概況表,['23813']
中央政府總預算案-簡明表,"['38095', '57886', '92068', '108038']"
中央政府總預算案-預算表,"['38091', '57885', '92069', '108039']"
中央政府總預算案_分析表,['11851']
中央政府總預算案_參考表,['11852']
中央政府總預算案_簡明表,['11854']
中央政府總預算案_預算表,['11853']
中央政府總預算案相關表件,"['35302', '54861']"
中央政府總預算案附屬單位預算及綜計表(營業部分),['107896']
中央政府總預算案附屬單位預算及綜計表(非營業部分)-作業基金,"['34255', '54989', '90361', '107915']"
中央政府總預算案附屬單位預算及綜計表(非營業部分)-債務基金,"['34264', '54990', '90363']"
中央政府總預算案附屬單位預算及綜計表(非營業部分)-政事基金,['107916']
中央政府總預算案附屬單位預算及綜計表(非營業部分)-特別收入基金,"['34277', '55030']"
中央政府總預算案附屬單位預算及綜計表(非營業部分)-資本計畫基金,"['34265', '54991']"
中央政府總預算案附屬單位預算及綜計表-營業部分,"['11845', '23769', '23932', '30656', '34714', '55191']"
中央政府總預算案附屬單位預算及綜計表-營業部分之損益綜計表、盈虧撥補綜計表、現金流量綜計表,['90276']
中央政府總預算案附屬單位預算綜計表(非營業)，特別收入基金,['90368']
中央政府總預算案附屬單位預算綜計表(非營業)，資本計畫基金,['90367']
中央政府總預算法定預算附屬單位預算及綜計表(非營業部分)-作業基金,"['45085', '77041']"
中央政府總預算法定預算附屬單位預算及綜計表(非營業部分)-債務基金,"['45086', '77042']"
中央政府總預算法定預算附屬單位預算及綜計表(非營業部分)-特別收入基金,"['45088', '77044']"
中央政府總預算法定預算附屬單位預算及綜計表(非營業部分)-資本計畫基金,"['45087', '77043']"
中央政府總預算法定預算附屬單位預算及綜計表-營業部分,"['44971', '78209']"
中央政府總預算法定預算附屬單位預算綜計表(作業基金),"['6808', '6887', '9380', '9505']"
中央政府總預算法定預算附屬單位預算綜計表(債務基金),"['6632', '6888', '9382', '9506', '30647', '30652']"
中央政府總預算法定預算附屬單位預算綜計表(業權基金,['30651']
中央政府總預算法定預算附屬單位預算綜計表(特別收入基金),"['6633', '6892', '9383', '9507', '30648', '30653']"
中央政府總預算法定預算附屬單位預算綜計表(資本計畫基金),"['6634', '6893', '9384', '9508', '30649', '30654']"
中央政府總預算法定預算附屬單位預算綜計表(非營業)-業權基金,['30646']
中央政府總預算法定預算附屬單位預算綜計表(非營業部分)-作業基金,"['21550', '23866']"
中央政府總預算法定預算附屬單位預算綜計表(非營業部分)-債務基金,"['21552', '23867']"
中央政府總預算法定預算附屬單位預算綜計表(非營業部分)-特別收入基金,"['21551', '23861']"
中央政府總預算法定預算附屬單位預算綜計表(非營業部分)-資本計畫基金,"['21553', '23868']"
中央政府總預算相關表件,"['30509', '30512', '30513', '30514', '30516', '30517', '30518', '30520']"
中央政府總預算第2預備金動支數額表,['10889']
中央政府總預算附屬單位預算半年結算報告及綜計表(作業基金),"['21518', '35259', '54577', '91827', '107396', '129199']"
中央政府總預算附屬單位預算半年結算報告及綜計表(債務基金),"['21520', '35261', '54583', '91828', '107395', '129209']"
中央政府總預算附屬單位預算半年結算報告及綜計表(營業部分),"['24371', '35364', '52642', '91826', '107415', '129197']"
中央政府總預算附屬單位預算半年結算報告及綜計表(特別收入基金),"['21519', '35260', '54579', '91829', '107394', '129200']"
中央政府總預算附屬單位預算半年結算報告及綜計表(資本計畫基金),"['21521', '35263', '54586', '91830', '107391', '129210']"
