資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
行政院人事行政總處事求人機關徵才資料,7229,各機關提供徵才、職缺資訊,徵才機關;人員區分;官職等;職稱;職系;名額;性別;工作地點;有效期間;資格條件;工作項目;工作地址;聯絡E-Mail;聯絡方式,行政院人事行政總處
行政院所屬中央及地方機關代碼,7307,行政院所屬中央及地方機關、公立學校代碼,,行政院人事行政總處
政務人員給與表,11171,政務人員給與表,職務;月俸;公費;合計;備註,行政院人事行政總處
公務人員俸額表,11172,公務人員俸額表,人員類別;官等;職等;俸別;俸級;俸點;俸額;備註,行政院人事行政總處
雇員薪額表,11173,雇員薪額表,薪別;薪級;薪點;月支數額;備註,行政院人事行政總處
技工工友工餉表,11174,技工工友工餉表,人員類別;餉別;餉級;薪點;月支數額;備註,行政院人事行政總處
公務人員主管職務加給表,11175,公務人員主管職務加給表,官等;職等;級別;月支數額;備註,行政院人事行政總處
公務人員專業加給表(一),11176,公務人員專業加給表(一),官等;職等;月支數額;備註,行政院人事行政總處
各機關學校公教員工地域加給表,11177,各機關學校公教員工地域加給表,服務地區;級別;支給對象;基本數額;年資加成;備註;生效日期,行政院人事行政總處
公務人員婚喪生育補助表,11183,公務人員婚喪生育補助表,項目;補助基準,行政院人事行政總處
行政院所屬各機關公務人員概況,11188,行政院所屬各機關公務人員概況,離職;調職;新進;其他,行政院人事行政總處
行政院所屬各機關暨地方政府機關數,11193,行政院所屬各機關暨地方政府機關數,,行政院人事行政總處
行政院所屬各機關暨地方政府公教人員數,11194,行政院所屬各機關暨地方政府公教人員數,機關別;總計;行政機關;合計(事業機構);生產機構;金融機構;交通機構;各級學校,行政院人事行政總處
行政院所屬各機關暨地方政府人事機構數,11196,行政院所屬各機關暨地方政府人事機構數,,行政院人事行政總處
行政院所屬各機關暨地方政府人事機構數歷年統計,11199,行政院所屬各機關暨地方政府人事機構數歷年統計,,行政院人事行政總處
行政院所屬各機關暨地方政府人事人員數,11200,行政院所屬各機關暨地方政府人事人員數,,行政院人事行政總處
行政院所屬各機關暨地方政府人事人員年資統計,11224,行政院所屬各機關暨地方政府人事人員年資統計,機關類型及職等別;5年以下;6 – 9年;10 - 14年;15 - 19年;20 - 24年;25 - 29年;30- 34年;35 – 39 年;40年以上,行政院人事行政總處
行政院所屬各機關暨地方政府人事人員學歷統計,11225,行政院所屬各機關暨地方政府人事人員學歷統計,機關類型及職等別;博士;碩士;大<br>學<br>（含軍警校有學位）;專科;軍校;警校;高中(職);國(初)中;小學;其他;,行政院人事行政總處
行政院所屬各機關暨地方政府人事人員年齡統計,11226,行政院所屬各機關暨地方政府人事人員年齡統計,機關類型;年齡別;人數;統計日期;職等別,行政院人事行政總處
行政院所屬各機關暨地方政府人事人員依考試及格與其他法令進用人數統計,11227,行政院所屬各機關暨地方政府人事人員依考試及格與其他法令進用人數統計,機關類型;考試類別;人數;統計日期;職等類別,行政院人事行政總處
行政院所屬各機關暨地方政府人事人員與公務人員人數統計比較,11228,行政院所屬各機關暨地方政府人事人員與公務人員人數統計比較,年別;人員類別;人數;成長率%,行政院人事行政總處
行政院所屬各機關暨地方政府人事人員學歷歷年統計,11229,行政院所屬各機關暨地方政府人事人員學歷歷年統計,年別;學歷;人數,行政院人事行政總處
行政院所屬各機關暨地方政府人事人員年齡歷年統計,11230,行政院所屬各機關暨地方政府人事人員年齡歷年統計,年別;29歲以下;30-39歲;40-49歲;50-59歲;60歲以上;平均年齡,行政院人事行政總處
行政院所屬各機關暨地方政府人事人員依考試及格與其他法令進用人數歷年統計,11231,行政院所屬各機關暨地方政府人事人員依考試及格與其他法令進用人數歷年統計,年度;考試類別;人數,行政院人事行政總處
行政院所屬各機關暨地方政府人事人員未來五年退休人員統計,11248,行政院所屬各機關暨地方政府人事人員未來五年屆齡退休人員統計,年別;機關隸屬別;機關類型;人數,行政院人事行政總處
行政院所屬各機關暨地方政府歷年分配公務人員考試錄取人數統計,11249,行政院所屬各機關暨地方政府歷年分配公務人員考試錄取人數統計,年別;機關隸屬別;機關類型;人數,行政院人事行政總處
行政院所屬各機關暨地方政府歷年分配高普暨初等考試錄取人員性別統計,11250,行政院所屬各機關暨地方政府歷年分配高普暨初等考試錄取人員性別統計,年別;考試類別;性別;人數,行政院人事行政總處
行政院所屬各機關暨地方政府分配高普暨初等考試錄取人數統計,11251,行政院所屬各機關暨地方政府分配高普暨初等考試錄取人數統計,年度及各機關;總計;高等考試;普通考試;初等考試;特種考試,行政院人事行政總處
行政院所屬各機關暨地方政府公務人員訓練進修人數,11252,行政院所屬各機關暨地方政府公務人員訓練進修人數,機關別;總計;合計(國內訓練及進修);小計(國內訓練);初任各官等主管人員訓練(國內訓練);專業訓練(國內訓練);管理訓練(國內訓練);政策宣導訓練(國內訓練);小計(國內進修);部分辦公時間進修(國內);公餘時間進修(國內);全時進修(國內);選修學分(國內);專題研究(國內);合計(國外進修);入學進修(國外);選修學分(國外);專題研究(國外);,行政院人事行政總處
行政院所屬各機關暨地方政府公務人員獎懲人數,11253,行政院所屬各機關暨地方政府公務人員獎懲人數,機關別;獎勵(總計);懲戒(總計);懲處(總計);獎勵(行政機關);懲戒(行政機關);懲處(行政機關);獎勵(事業機構);懲戒(事業機構);懲處(事業機構);獎勵(各級學校);懲戒(各級學校);懲處(各級學校);,行政院人事行政總處
行政院所屬各機關暨地方政府公教人員獎懲人數統計,11254,行政院所屬各機關暨地方政府公教人員獎懲人數統計,機關類型及職等別;總計;合計(平時功過獎懲);小計(獎勵);記一大功;記功;嘉獎;小計(懲處);記一大過;記過(懲處);申誡(懲處);小計(專案考績);一次記二大功;一次記二大過;小計(懲戒處分);免除職務;撤職;剝奪、減少退休(職、伍)金;休職;降級;減俸;罰款;記過(懲戒處分);申誡(懲戒處分);請勳;褒揚;復職;停職;免職,行政院人事行政總處
行政院與所屬中央及地方各機關(構)學校服務獎章核頒數量統計表,11255,行政院與所屬中央及地方各機關(構)學校服務獎章核頒數量統計表,機關名稱;政務人員小計 (2)=(3)+(4)+(5)+(6);一等獎章(3);二等獎章(4);三等獎章(5);特等獎章(6);行政機關及公營事業機關小計 (8)=(10)+(11)+(12)+(13);一等獎章(10);二等獎章(11);三等獎章(12);特等獎章(13);各級學校小計 (9)=(14)+(15)+(16)+(17);一等獎章(14);二等獎章(15);三等獎章(16);特等獎章(17),行政院人事行政總處
公教人員待遇歷年調整狀況統計,11258,公教人員待遇歷年調整狀況統計,會計年度;職等;當年度待遇支給數額;備註,行政院人事行政總處
公教人員待遇調整參考因素,11260,公教人員待遇調整參考因素,年度;消費者物價指數較上一年變動情形(%);民間薪資水準(工業及服務業/單位:新台幣元);平均每人GDP(國內生產毛額/單位:美元);經濟成長率(%);平均每人國民所得(美元),行政院人事行政總處
中央各機關公教人員急難貸款統計,11261,中央各機關公教人員急難貸款統計,年度;項目;件數;金額,行政院人事行政總處
全國公教人員福利措施統計表,11263,全國公教人員福利措施統計表,年度;項目;人次;金額,行政院人事行政總處
行政院人事行政總處職員概況,11270,行政院人事行政總處職員概況,官等別;學歷;年齡;性別;人數;統計日期,行政院人事行政總處
各部會所屬委員會及所管政府捐助基金累計超過50%之財團法人及國營事業董事及監察人(監事)性別比例改善情形,11272,各部會所屬委員會及所管政府捐助基金累計超過50%之財團法人及國營事業董事及監察人(監事)性別比例改善情形,,行政院人事行政總處
行政院所屬各機關暨地方政府人事機構人事人員官職等統計（依官等及性別區分）,11274,行政院所屬各機關暨地方政府人事機構人事人員官職等統計（依官等及性別區分） (10903以前資料集名稱為行政院所屬各機關暨地方政府人事機構編制員額職等統計(依官等及性別區分)),機關類型;官等;性別;人數,行政院人事行政總處
行政院暨所屬機關進用女性閣員名冊,11275,行政院暨所屬機關進用女性閣員名冊,機關;職稱;姓名;資料時間,行政院人事行政總處
行政院暨所屬機關〈構〉學校進用女性情形表,11276,行政院暨所屬機關〈構〉學校進用女性情形表,職務;性別;人數,行政院人事行政總處
各主管機關(含所屬)育嬰留職停薪之性別統計表,11278,各主管機關(含所屬)育嬰留職停薪之性別統計表,主管機關別;人數;性別,行政院人事行政總處
各縣市所屬機關學校公教人員官等及性別統計表,11281,各縣市所屬機關學校公教人員官等及性別統計表,中央/地方別;主管機關;官等別;性別;人數,行政院人事行政總處
行政院所屬暨地方政府機關(構)學校、事業機構職（教）員官等及性別統計季報表,11282,"機關類別,官等,合計,總計,主管,非主管,男,女",機關構分類;是否為主管;性別;人數;類別,行政院人事行政總處
行政院所屬暨地方政府機關(構)學校各二級主管機關官等及性別季報表,11288,行政院所屬暨地方政府機關(構)學校各二級主管機關官等及性別季報表,中央(1)/地方(2)別;主管機關;民選首長;特任;比照簡任;公務人員-簡任(派)及相當官等;公務人員-薦任(派)及相當官等;公務人員-委任(派)及相當官等;警察人員-警監;警察人員-警正;警察人員-警佐;醫事人員;法官及檢察官;教師;性別;官等別;人數,行政院人事行政總處
行政院各部會性別平等專案小組運作情形暨組成性別統計,11289,行政院各部會性別平等專案小組運作情形暨組成性別統計,機關;召集人之層級;本屆委員任期起迄;總人數;女性人數;女性比例;外聘委員總人數;外聘民間委員總人數（不含外機關公務人員）;外聘民間委員同時為現任行政院性平會民間委員人數;是否公開接受相關團體推薦民間委員;是否公開委員名單;會議紀錄是否全文上網;是否開放民間提案,行政院人事行政總處
行政院人事總處保有個資料檔案公開項目彙整表,12000,行政院人事總處保有個資料檔案公開項目彙整表,個人資料檔案名稱;保有依據;個人資料之類別;保有單位,行政院人事行政總處
行政院人事行政總處單位決算,12004,行政院人事行政總處單位決算,,行政院人事行政總處
行政院人事行政總處施政計畫,12223,行政院人事行政總處各年度施政計畫,名稱;檔案連結,行政院人事行政總處
第四屆行政院所屬及地方人事機構人力資源管理創新獎勵獲獎名單,12224,第四屆行政院所屬及地方人事機構人力資源管理創新獎勵獲獎名單,組別;獎項名稱;主管機關人事機構;獲獎人事機構;獲獎項目名稱,行政院人事行政總處
