「政府資料開放諮詢小組」會議紀錄,['18374']
中央公教人員急難救助基金會計月報,['27806']
中央公教人員急難救助基金決算,['27191']
中央公教人員急難救助基金法定預算,['76685']
中央公教人員急難救助基金預算案,['21008']
中央公教人員請領育嬰貸款之性別統計表,['130257']
中央各機關公教人員急難貸款統計,['11261']
中華民國政府行政機關辦公日曆表,['14718']
中高階公務人員培訓課程參加人員性別統計表,['80065']
事求人機關徵才資料,['7229']
全國公教人員福利措施統計表,['11263']
公務人力發展中心法定預算,['30351']
公務人力發展學院受訓學員學歷性別統計表,['72897']
公務人力發展學院受訓學員年齡性別統計表,['73022']
公務人力發展學院單位決算,['118485']
公務人力發展學院單位預算,"['108171', '118487']"
公務人力發展學院單位預算案,['108172']
公務人力發展學院國家政務研究班及高階領導研究班研究員性別統計表,['97881']
公務人力發展學院會計月報,"['77744', '77985', '81332', '81334', '86172', '91002', '91003', '91004', '96196', '96198', '97621', '97934', '98752', '100085', '101435', '103464', '103721', '106003', '107303', '108169', '110403', '113009', '113012', '118484', '118892', '119546', '120707', '122650', '127278', '128455', '129213', '130144']"
公務人力發展學院歷年性別主流化各班課程師資,['73114']
公務人力發展學院職(教)員(合計)官等性別統計報表,['112645']
公務人力發展發展學院參加訓練研習學員性別統計表,['67312']
公務人員主管職務加給表,['11175']
公務人員俸額表,['11172']
公務人員婚喪生育補助表,['11183']
公務人員專業加給表,['11176']
公教人員保險及軍人保險請領育嬰留職停薪津貼人員性別比例資料,['63227']
公教人員待遇歷年調整狀況統計,['11258']
公教人員待遇調整參考因素,['11260']
及所屬機構資料開放行動策略,['27285']
及所屬機關資料盤點表,['27934']
各主管機關(含所屬)育嬰留職停薪之性別統計表,['11278']
各機關學校公教員工地域加給表,['11177']
各縣市所屬機關學校公教人員官等及性別統計表,['11281']
各部會性別平等專案小組交流會參加人員性別統計,['18557']
各部會所屬委員會及所管政府捐助基金累計超過50%之財團法人及國營事業董事及監察人(監事)性別比例改善情形,['11272']
員工協助方案滿意度調查之性別統計表,['80077']
單位決算,['12004']
單位決算(審定版),['18928']
單位預算案,['21005']
國民旅遊卡特約商店名冊,['12982']
地方政府1級主管及所屬機關首長性別統計表,['63225']
地方政府主管人數及性別統計表,['63223']
地方行政研習中心單位決算,['26969']
地方行政研習中心單位預算案,['12458']
地方行政研習中心會計月報,['21696']
天然災害停止上班、停止上課情形,['20457']
性別平等委員名單,['73112']
性別平等推動計畫,['120102']
技工工友工餉表,['11174']
推動性別主流化訓練辦理內容,['73111']
政務人員給與表,['11171']
政策宣導之廣告預算執行情形,['24466']
施政計畫,['12223']
會計報告,['18328']
本學院(原地方行政研習中心)單位決算,['77055']
本學院法定預算,['77054']
法定預算,['13311']
現行政務人員及一般公務人員(常務人員)各職等待遇對照表,['63245']
第4屆行政院所屬及地方人事機構人力資源管理創新獎勵獲獎名單,['12224']
職(教)員(合計)官等性別統計報表,['80072']
職員概況,['11270']
行政院人事總處保有個資料檔案公開項目彙整表,['12000']
行政院及所屬各主管機關臨時人員人數,['68029']
行政院及所屬各主管機關運用勞務承攬人數統計,['68027']
行政院及所屬各主管機關運用派遣勞工統計,['68024']
行政院各部會性別平等專案小組議案彙整表,['18689']
行政院各部會性別平等專案小組運作情形暨組成性別統計,['11289']
行政院所屬中央及地方主管機關簡任官等女性人數增減情形一覽表,['80075']
行政院所屬中央及地方機關代碼,['7307']
行政院所屬各機關公務人員概況,['11188']
行政院所屬各機關暨地方政府人事人員依考試及格與其他法令進用人數歷年統計,['11231']
行政院所屬各機關暨地方政府人事人員依考試及格與其他法令進用人數統計,['11227']
行政院所屬各機關暨地方政府人事人員學歷歷年統計,['11229']
行政院所屬各機關暨地方政府人事人員學歷統計,['11225']
行政院所屬各機關暨地方政府人事人員年資統計,['11224']
行政院所屬各機關暨地方政府人事人員年齡歷年統計,['11230']
行政院所屬各機關暨地方政府人事人員年齡統計,['11226']
行政院所屬各機關暨地方政府人事人員數,['11200']
行政院所屬各機關暨地方政府人事人員未來退休人員統計,['11248']
行政院所屬各機關暨地方政府人事人員與公務人員人數統計比較,['11228']
行政院所屬各機關暨地方政府人事機構人事人員官職等統計(依官等及性別區分),['11274']
行政院所屬各機關暨地方政府人事機構數,['11196']
行政院所屬各機關暨地方政府人事機構數歷年統計,['11199']
行政院所屬各機關暨地方政府公務人員獎懲人數,['11253']
行政院所屬各機關暨地方政府公務人員訓練進修人數,['11252']
行政院所屬各機關暨地方政府公務人員訓練進修性別統計分析表,['17128']
行政院所屬各機關暨地方政府公教人員數,['11194']
行政院所屬各機關暨地方政府公教人員獎懲人數統計,['11254']
行政院所屬各機關暨地方政府分配高普暨初等考試錄取人數統計,['11251']
行政院所屬各機關暨地方政府原住民族公務人員訓練進修性別統計表,['13252']
行政院所屬各機關暨地方政府機關數,['11193']
行政院所屬各機關暨地方政府歷年分配公務人員考試錄取人數統計,['11249']
行政院所屬各機關暨地方政府歷年分配高普暨初等考試錄取人員性別統計,['11250']
行政院所屬暨地方政府機關(構)學校、事業機構職(教)員官等及性別統計季報表,['11282']
行政院所屬暨地方政府機關(構)學校各2級主管機關官等及性別季報表,['11288']
行政院暨所屬機關〈構〉學校進用女性情形表,['11276']
行政院暨所屬機關學校分發考試及格人數統計表,['80067']
行政院暨所屬機關進用女性閣員名冊,['11275']
行政院與所屬中央及地方各機關(構)學校服務獎章核頒數量統計表,['11255']
辦理人民申請提供政府資訊案件統計,['90147']
近人事專業獎章獲獎人員性別統計表,['17129']
近績優人事人員性別統計表,['17130']
近行政院模範公務人員性別統計表,['73115']
雇員薪額表,['11173']
