資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
總統府內部保有及管理個人資料之項目彙整表,8691,總統府內部保有及管理個人資料之項目彙整表,,總統府
總統府執行節能減碳成效,9504,提供總統府自97年7月執行節能減碳─用電、用水、用油、用紙等四項迄今之執行成效,節能減碳年份;全年用量;增減量;增減率;用電;用水;用油;用紙,總統府
國史館104年度預算書,12129,國史館104年度預算書相關資料,,國史館
中央研究院104年度法定預算,12313,中央研究院104年度預算資料,Year;Type;Link,中央研究院
總統府104年度單位預算案書(XML檔),12450,總統府104年度單位預算案書(XML檔),總統府104年度單位預算案書,總統府
總統府104年度單位預算書(XML檔),12451,總統府104年度單位預算書(XML檔),總統府104年度單位預算書,總統府
國史館臺灣文獻館104年度法定預算,12474,國史館臺灣文獻館104年度法定預算資料,,國史館臺灣文獻館
國史館臺灣文獻館104年度預算案,12475,國史館臺灣文獻館104年度預算案資料,,國史館臺灣文獻館
中央研究院104年度預算案,12485,中央研究院104年度預算案資料,Year;Type;Link,中央研究院
國史館104年度預算案,12598,104年預算案相關資料,,國史館
104年度中央研究院科學研究基金預算案,13763,104年度中央研究院科學研究基金預算案,名稱;網址,中央研究院
103年度決算書,18451,103年度決算書,歲入來源別決算表;歲出政事別決算表;歲出機關別決算表;歲入類平衡表;經費類平衡表,國史館
104年1-6月會計月報,18559,104年1-6月會計月報,歲入類經費類平衡表;歲入類經費類現金出納表;歲入類經費類累計表,國史館
總統府104年會計月報,18704,總統府104年會計月報,總統府104年會計月報,總統府
國史館臺灣文獻館103年度單位決算,18875,國史館臺灣文獻館103年度單位決算資料,,國史館臺灣文獻館
國史館臺灣文獻館104年度1-7月份會計月報,18876,國史館臺灣文獻館104年度1-7月份會計月報資料,,國史館臺灣文獻館
中央研究院科學研究基金附屬單位決算,19375,中央研究院科學研究基金附屬單位決算,年度;網址,中央研究院
中央研究院科學研究基金會計報告,19588,中央研究院科學研究基金會計報告,年度;網址,中央研究院
104年7月會計月報,19642,104年7月會計月報,歲入經費類平衡表;歲入經費類現金出納表;歲入經費類累計表,國史館
