106中央研究院科學研究基金附屬單位決算,['86602']
中央研究院90 -退休(資遣)撫卹人數統計表,['89214']
中央研究院世界科學院台灣分會台灣TWAS 院士,['94020']
中央研究院世界科學院台灣分會各獎項得主名單,['94003']
中央研究院中文出版品清單 -中央研究院叢書,['86546']
中央研究院中文出版品清單 -院士叢書,['86547']
中央研究院中英文簡介網頁版及電子書,['91571']
中央研究院主題研究計畫核定通過名單,['86548']
中央研究院人文及社會科學學術性專書獎得獎名單,['86222']
中央研究院人文社會科學博士候選人培育計畫核定通過名單,['86361']
中央研究院人文社會科學研究中心GIS研究專題中心演講,['106316']
中央研究院人文社會科學研究中心主編之專書(論文集),['106785']
中央研究院人文社會科學研究中心亞太研究論壇,['106789']
中央研究院人文社會科學研究中心人文及社會科學集刊,['106788']
中央研究院人文社會科學研究中心他類論文,['106784']
中央研究院人文社會科學研究中心出版消息,['106818']
中央研究院人文社會科學研究中心叢刊,['106812']
中央研究院人文社會科學研究中心學術書評,['106787']
中央研究院人文社會科學研究中心學術會議(研討會)論文,['106783']
中央研究院人文社會科學研究中心專書(含原叢書),['106806']
中央研究院人文社會科學研究中心專書、論文集,['106325']
中央研究院人文社會科學研究中心專書系列,['106795']
中央研究院人文社會科學研究中心專題選刊,['106810']
中央研究院人文社會科學研究中心日本研究叢書,['106796']
中央研究院人文社會科學研究中心書目彙編系列,['106799']
中央研究院人文社會科學研究中心最新消息,['106815']
中央研究院人文社會科學研究中心期刊論文,['106317']
中央研究院人文社會科學研究中心東北亞研究論文,['106803']
中央研究院人文社會科學研究中心東南亞研究論文,['106801']
中央研究院人文社會科學研究中心研究計畫報告,['106786']
中央研究院人文社會科學研究中心研討會,['106817']
中央研究院人文社會科學研究中心調查研究—方法與應用,['106804']
中央研究院人文社會科學研究中心調查研究專題中心學術調查研究資料庫服務統計,['106314']
中央研究院人文科學組會議行事曆,['91481']
中央研究院人文組單位聯絡清單,['91741']
中央研究院人文組知識饗宴科普講座,['91557']
中央研究院停車收費標準,['90823']
中央研究院免費開放之學術資料庫清單,['89243']
中央研究院全院各處所用水紀錄表,['90925']
中央研究院全院各處所用電紀錄表,['90926']
中央研究院全院性核心設施及新創儀器計畫,['92189']
中央研究院公務會計月報,"['32939', '89819']"
中央研究院公用AED位置,['90808']
中央研究院公開之貴重儀器一覽表,['86277']
中央研究院其他著作目錄,['93892']
中央研究院出版品整合書目資料,['89753']
中央研究院利益衝突管理相關資料,['92100']
中央研究院前瞻計畫核定通過名單一覽表,['91614']
中央研究院南港院區王大閎設計建築物清單,['90756']
中央研究院原住民與身心障礙者人數統計表,['89444']
中央研究院各圖書館開放時間一覽表,['89232']
中央研究院各研究所 (處及研究中心 ) 與國內、外研究機構 (單位 ) 學術交流合作及締約資料,['89184']
