一般民眾對司法認知調查報告及調查資料檔,"['44187', '44188', '44189', '44191', '44192', '72928', '111640', '111641']"
公務員懲戒委員會單位決算,"['17397', '27696', '44161', '78686', '99734', '118275']"
公務員懲戒委員會單位預算,"['12534', '26946', '43724', '52285', '90274', '117502']"
公務員懲戒委員會單位預算(預算案),['12539']
公務員懲戒委員會單位預算案,"['33998', '107261']"
公務員懲戒委員會會計報告,['17409']
公務員懲戒委員會法定預算,"['76235', '98504']"
公務員懲戒委員會預算案,['20982']
公告本院會計月報,['23433']
公告臺灣宜蘭地方法院會計月報檔,['17497']
公告臺灣彰化地方法院單位決算,['101221']
公告臺灣花蓮地方法院單位決算,"['28751', '45083', '80264']"
公告臺灣花蓮地方法院單位決算(院修版),['36723']
公告臺灣花蓮地方法院單位法定預算,['12329']
公告臺灣花蓮地方法院單位預算案,"['21140', '34172']"
公告臺灣花蓮地方法院會計報告,"['25248', '27689']"
公告臺灣花蓮地方法院會計月報,"['21211', '24554', '27243', '28530', '30599', '31322', '32096', '33096', '33628', '35407', '37333', '39055', '41192', '42771', '43246', '44006', '44857', '45496', '46479', '48319', '51816', '54239', '56690', '61359', '71392', '75303', '76377', '78026', '79071']"
公告臺灣花蓮地方法院會計月報檔,"['17452', '17455']"
公告臺灣花蓮地方法院決算書表檔,['17448']
公告臺灣花蓮地方法院法定預算,"['27265', '43714', '76674']"
公告臺灣花蓮地方法院預算案,['12327']
公告臺灣花蓮地方法院預算案書,['52888']
