單位決算,國家安全會議單位決算,27072,國家安全會議單位決算,國家安全會議單位決算,國家安全會議
單位預算案,國家安全會議105年度單位預算案,22732,國家安全會議105年度單位預算案,國家安全會議105年度單位預算案,國家安全會議
單位預算案,國家安全會議106年度單位預算案,40018,國家安全會議106年度單位預算案,國家安全會議106年度單位預算案,國家安全會議
單位預算案,國家安全會議107年度單位預算案(XML),53072,國家安全會議107年度單位預算案(XML),,國家安全會議
單位預算案,國家安全會議108年度單位預算案,90952,國家安全會議108年度單位預算案,,國家安全會議
單位預算案,國家安全會議109年度單位預算案,107482,國家安全會議109年度單位預算案,,國家安全會議
單位預算案,國家安全會議110年度單位預算案,129984,國家安全會議110年度單位預算案,,國家安全會議
會計月報,國家安全會議會計月報,21702,國家安全會議會計月報,國家安全會議會計月報,國家安全會議
法定預算,國家安全會議105年度法定預算,33667,國家安全會議105年度法定預算,國家安全會議105年度法定預算,國家安全會議
法定預算,國家安全會議106年度法定預算,44721,國家安全會議106年度法定預算,國家安全會議106年度法定預算,國家安全會議
法定預算,國家安全會議107年度法定預算,77501,國家安全會議107年度法定預算,,國家安全會議
法定預算,國家安全會議108年度法定預算,98858,國家安全會議108年度法定預算,,國家安全會議
法定預算,國家安全會議109年度法定預算,118448,國家安全會議109年度法定預算,,國家安全會議
