資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
福建省政府104年度法定預算,13623,歲入來源別預算表、歲出機關別預算表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、補助經費分析表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫預算類別表－考察、視察、訪問,來源別科目與編號;工作計畫名稱及編號;分支計畫及用途別科目;預算金額;承辦單位;預算編列說明,福建省政府
福建省政府104年度預算案,15472,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、補助經費分析表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫預算類別表－考察、視察、訪問,來源別科目與編號;工作計畫名稱及編號;分支計畫及用途別科目;預算金額;承辦單位;預算編列說明,福建省政府
福建省政府103年度決算書,15484,福建省政府103年度決算書,福建省政府103年度決算書,福建省政府
福建省政府1月份會計報告,21197,現金出納表等,會計報告,福建省政府
福建省政府2月份會計報告,21213,現金出納表等6表格,2月份會計報告,福建省政府
3月份會計報告,21219,現金出納表等6表格,3月份會計報告,福建省政府
福建省政府4月份會計報告,21231,現金出納表等6表格,會計報告,福建省政府
本府5月份會計報告,21233,現金出納表等6表格,會計報告,福建省政府
6月份會計報告,21238,現金出納表等6表格,會計報告,福建省政府
7月份會計報告,21240,現金出納表等6表格,會計報告,福建省政府
103年度決算,21352,決算資料,現金出納表,福建省政府
八月份會計報告,21364,現金出納表等,會計報告,福建省政府
福建省政府105年預算案,21853,105年度預算案,105年度預算案,福建省政府
福建省政府105年度預算案(XML格式),22181,福建省政府105年度預算案(XML格式),福建省政府105年度預算案,福建省政府
福建省政府104年度9月份會計報告,23476,福建省政府104年度9月份會計報告,福建省政府104年度9月份會計報告,福建省政府
福建省政府104年度10月份會計報告,24692,福建省政府104年度10月份會計報告,珼金出納等表,福建省政府
福建省政府104年度11月份會計報告,26885,現金出納等7項報表,現金出納等7項報表,福建省政府
福建省政府104年度12月份會計報告,26886,現金出納等7種報表,現金出納等7種報表,福建省政府
福建省政府104年度決算書表,26890,歲入來源別等5種決算表,歲入來源別等5種決算表,福建省政府
福建省政府105年度單位預算書,26966,歲入來源別預算表13等,歲入來源別預算表13,福建省政府
福建省政府105年度法定預算書表,26968,歲入來源別預算表等14,歲入來源別預算表等14,福建省政府
福建省政府104年度單位決算書,27532,http://www.fkpg.gov.tw/mediafile/2150/news/83/2016-2/2016-2-5-14-15-54-nf1.pdf,http://www.fkpg.gov.tw/mediafile/2150/news/83/2016-2/2016-2-5-14-15-54-nf1.pdf,福建省政府
福建省政府105年1月份會計月報,27646,平衡表等,平衡表,福建省政府
福建省政府105年2月份會計月報.XML,28509,福建省政府105年2月份會計月報.XML,經費累計表,福建省政府
福建省政府105年3月份會計月報.XML,30354,平衡表等,平衡表,福建省政府
福建省政府105年4月份會計月報.XML,31583,福建省政府105年4月份會計月報.XML,歲入累計等表,福建省政府
福建省政府105年5月份會計月報.XML,32171,福建省政府105年5月份會計月報.XML,歲入累計表等表,福建省政府
福建省政府105年6月份會計月報.XML,33098,福建省政府105年6月份會計月報,歲入累計等表,福建省政府
福建省政府105年7月份會計月報.XML,33640,福建省政府105年7月份會計月報.XML,歲入累計表等表,福建省政府
福建省政府105年8月份會計月報,35426,福建省政府105年8月份會計月報,歲入累計表,福建省政府
福建省政府106年度單位預算案,35428,福建省政府106年度單位預算案,歲入來源別預算表,福建省政府
福建省政府105年度9月份會計月報,37560,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,歲入累計表等表,福建省政府
福建省政府105年度第3季補、捐(獎)助其他政府機關、團體或個人經費報告表.,37562,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,福建省政府105年度第3季補;捐助其他政府機關;團體或個人經費報告表.,福建省政府
