單位決算,"['43523', '76523']"
單位決算書,['27532']
單位預算,['78010']
單位預算書,['26966']
單位預算案,['35428']
會計報告,"['21197', '21213', '21219', '21231', '21238', '21240', '21364', '23476', '24692', '26885', '26886']"
會計月報,"['27646', '28509', '30354', '31583', '32171', '33098', '33640', '35426', '37560', '39372', '41233', '42989', '43522', '44091', '44950', '45506', '46475', '48895', '51859', '54199', '57695', '61272', '73672', '76484', '76489', '78008', '79027', '80819', '85588', '87746', '89799', '91861', '92468', '95082', '96577']"
本府會計報告,['21233']
決算,['21352']
決算書,['15484']
決算書表,['26890']
法定預算,"['13623', '44092']"
法定預算書表,['26968']
補、捐(獎)助其他政府機關、團體或個人經費報告表,"['37562', '44951', '48889', '57698', '76493', '79477', '88138']"
補、捐(獎)助經費報告表,['42999']
預算案,"['15472', '21853', '22181', '58105']"
