ID,開放建議標題,建議資料集名稱,建議開放的欄位,建議原因,瀏覽次數,建議者,發表時間,派發機關,分派狀態,回復狀態
5934,建議開放更多資料集,歡迎告訴我們需要什麼資料集,填寫您預期在這份資料集中必須存在的欄位,為什麼您覺得這個資料集需要開放？<br/>,10361,,2013/12/3019:51,本平臺營運窗口,已分派,已回復
7712,新增各區世貿中心展覽訊息,新增各區世貿中心展覽訊息,展覽地點，展覽名稱，展覽時間，票價，簡介，網頁連結,資料分散於各世貿中心網頁，高雄世貿開幕在即，是該進行整合了。PS台南世貿無法搜尋到展覽訊息,4604,,2014/01/0714:41,經濟部,已分派,已回復
7713,開放基金淨值查詢,基金淨值資訊,基金日期<br/>基金淨值<br/>基金基本資訊(包含發行機構、發行日期...等),基金淨值很多地方都可以查的到<br/>但是都沒有一個地方可以開放歷史淨值下載<br/>對研究的人相當不方便<br/>甚至有人以基金淨值的提供來當作獲利模式<br/>這不太合理<br/>金融市場的公開價值應該是開放給全民使用才對,5636,,2014/01/0718:13,金融監督管理委員會,已分派,已回復
7766,"見意開放政府醫療,工研院與資策會的資料","全球與台灣產業rawdata<br/>全球與台灣市場rawdata<br/>台灣基因資料庫rawdata<br/>醫療,疾病,藥物與監測器訊號rawdata<br/>","全球與台灣產業分析<br/>全球與台灣市場分析<br/>基因與人格特質,外觀,疾病與治療等相關性分析<br/>監測器訊號(血壓,脈搏等)與疾病相關性分析","1.從一些付費的研究機構得到的資訊都不一致,內容與深度都不足,為何要付費?<br/>2.開放這些資料,可以做更全面與正確的產業與市場分析,給與年輕學子開創創新性是業明確的方向<br/>3.在這個新世紀,企業與政府必須懂得Data-driven經營模式,透過結合衣食住行,(網路)消費,育樂,醫療,...等,datacollection,datamining,classification,binding,prediction,...<br/>逐步達到100%的行為預測,提供一對一的客製化行銷(服務,醫療,...)!<br/>開挖堪稱下個世紀的資訊石油,開創新的businessmodels,提高國民經濟力與國家競爭力!<br/>",2033,h***n,2014/01/1716:43,衛生福利部,已分派,已回復
7773,請開放證交所交易資料,每日收盤行情、個股基本資料、,證券代號<br/>證券名稱<br/>成交股數<br/>成交筆數<br/>成交金額<br/>開盤價<br/>最高價<br/>最低價<br/>收盤價<br/>漲跌(+/-)<br/>漲跌價差<br/>最後揭示買價<br/>最後揭示買量<br/>最後揭示賣價<br/>最後揭示賣量<br/>本益比,熱門資料,3791,,2014/01/2215:47,金融監督管理委員會,已分派,已回復
7875,全國圖書書目資料,"圖書書目資料,最新更新圖書書目資料,館藏資料","書名,作者,版本項,出版項,面數高廣,ISBN/ISSN,叢書名,館藏資料(館藏地,索書號,館藏現況)","我國圖書應用仍停留在十年前,EC/資料庫年代,連社群/UGC/LBS概念都尚無導入,且國人閱讀習慣日益退縮,唯有開放資料,使民間仍廣大關注圖書/閱讀/出版應用的熱心人士,參與此應用推動,創意實現,助於我國在此領域中的強化。<br/><br/>且我國圖書書目資料已電子化多年，系統完善，欲實現開放資料目標，是最易實現的資料之一。",2190,k****,2014/02/0709:49,教育部,已分派,已回復
7882,希望開放醫事人員執業資料,希望開放醫事人員執業資料<br/><br/>,1.姓名<br/>2.醫事人員類別(例如:西醫師)<br/>3.性別<br/>4.專科資格(例如:泌尿科)<br/>5.執業登記場所(例如:衛生福利部屏東醫院)<br/>6.執業登記場所地址<br/>7.執業登記科別(例如:泌尿科)<br/>8.執業狀況,希望透過開發資料，建立醫療社群，更可進一步導入LBS與醫療資源評價的概念。<br/>讓民眾更方便的查詢適合的醫生。也可以隨時瞭解該醫生的狀況。使醫療資源可以更有效的被應用，也可以讓民眾在就醫的時候有一個具體可以參考的評價依據。<br/><br/>而相關醫事人員的資料，其實在衛福部網站皆可搜尋，但有搜尋限制，導致資料使用不便。欲實現開放資料之目標，相信此為一具體可以實現的資料。<br/><br/><br/>,7070,A****,2014/02/1222:59,衛生福利部,已分派,已回復
7933,基金會名錄,基金會名錄,基金會名稱、行政區、地址、電話、負責人、網址、信箱、許可日期文號、成立宗旨,現在的基金會資料都是分開的，如果整合各部的基金會資料，更可以幫助民眾查詢使用。,6998,e****,2014/02/2512:03,"教育部,衛生福利部,行政院環境保護署",已分派,已回復
7934,請開放即時犯罪、車禍資料,即時犯罪、車禍資料,犯罪,美國、歐洲、日本都有相對應的開放資料集,4473,w****,2014/03/0219:13,內政部,已分派,已回復
7957,請開放氣候資料,台灣氣候資料,台灣各氣象測站，百年逐時歷史資料,美國日本都已經公開，免費可下載，台灣卻須購買!<br/>明顯不合理!,2785,w****,2014/03/0508:20,交通部,已分派,已回復
